DATE,IRLTLT01NZM156N
1970-01-01,5.54
1970-02-01,5.53
1970-03-01,5.54
1970-04-01,5.55
1970-05-01,5.53
1970-06-01,5.5
1970-07-01,5.47
1970-08-01,5.47
1970-09-01,5.49
1970-10-01,5.49
1970-11-01,5.49
1970-12-01,5.49
1971-01-01,5.51
1971-02-01,5.51
1971-03-01,5.51
1971-04-01,5.51
1971-05-01,5.51
1971-06-01,5.51
1971-07-01,5.52
1971-08-01,5.53
1971-09-01,5.52
1971-10-01,5.52
1971-11-01,5.52
1971-12-01,5.53
1972-01-01,5.53
1972-02-01,5.53
1972-03-01,5.53
1972-04-01,5.53
1972-05-01,5.52
1972-06-01,5.52
1972-07-01,5.45
1972-08-01,5.54
1972-09-01,5.54
1972-10-01,5.52
1972-11-01,5.53
1972-12-01,5.54
1973-01-01,5.54
1973-02-01,5.53
1973-03-01,5.55
1973-04-01,5.55
1973-05-01,5.55
1973-06-01,5.66
1973-07-01,5.99
1973-08-01,6.01
1973-09-01,6.03
1973-10-01,6.02
1973-11-01,6.05
1973-12-01,6.08
1974-01-01,6.06
1974-02-01,6.04
1974-03-01,6.04
1974-04-01,6.05
1974-05-01,6.05
1974-06-01,6.14
1974-07-01,6.12
1974-08-01,6.09
1974-09-01,6.08
1974-10-01,6.1
1974-11-01,6.11
1974-12-01,6.11
1975-01-01,6.11
1975-02-01,6.11
1975-03-01,6.1
1975-04-01,6.1
1975-05-01,6.1
1975-06-01,6.11
1975-07-01,6.1
1975-08-01,6.63
1975-09-01,6.63
1975-10-01,6.63
1975-11-01,6.64
1975-12-01,6.66
1976-01-01,6.92
1976-02-01,6.92
1976-03-01,8.6
1976-04-01,8.6
1976-05-01,8.6
1976-06-01,8.6
1976-07-01,8.58
1976-08-01,8.58
1976-09-01,8.58
1976-10-01,8.72
1976-11-01,8.7
1976-12-01,8.7
1977-01-01,8.7
1977-02-01,8.7
1977-03-01,8.71
1977-04-01,8.71
1977-05-01,8.71
1977-06-01,8.53
1977-07-01,8.53
1977-08-01,9.98
1977-09-01,10.05
1977-10-01,10.33
1977-11-01,9.92
1977-12-01,10
1978-01-01,10
1978-02-01,9.98
1978-03-01,10
1978-04-01,9.99
1978-05-01,9.99
1978-06-01,9.99
1978-07-01,9.79
1978-08-01,9.99
