Date,Open,High,Low,Close
2010-01-01,6.14,6.145,5.935,5.955
2010-02-01,5.955,5.955,0.0,5.795
2010-03-01,0.0,6.01,0.0,6.01
2010-04-01,5.995,6.035,0.0,5.94
2010-05-01,5.97,5.97,0.0,5.59
2010-06-01,5.59,5.645,0.0,5.365
2010-07-01,5.35,5.475,0.0,5.35
2010-08-01,5.375,5.405,0.0,5.16
2010-09-01,5.24,5.485,0.0,5.04
2010-10-01,5.05,5.26,5.05,5.26
2010-11-01,5.36,5.75,5.35,5.685
2010-12-01,5.695,5.915,5.69,5.9
2011-01-01,5.895,5.895,5.46,5.5
2011-02-01,5.505,5.69,5.465,5.565
2011-03-01,5.575,5.7,5.42,5.68
2011-04-01,5.695,5.85,5.465,5.465
2011-05-01,5.465,5.48,5.11,5.14
2011-06-01,5.14,6.025,4.96,5.1
2011-07-01,5.1,5.205,4.96,4.96
2011-08-01,4.96,4.975,4.41,4.55
2011-09-01,4.55,4.635,4.25,4.455
2011-10-01,4.445,4.745,4.37,4.525
2011-11-01,4.515,4.515,3.86,4.055
2011-12-01,4.095,4.125,3.77,3.85
2012-01-01,3.84,3.98,3.825,3.87
2012-02-01,3.845,4.185,3.785,4.115
2012-03-01,4.115,4.36,4.055,4.09
2012-04-01,4.09,4.145,3.795,3.83
2012-05-01,3.83,3.93,3.45,3.475
2012-06-01,3.45,3.605,3.275,3.485
2012-07-01,3.485,3.64,3.24,3.525
2012-08-01,3.515,3.87,3.485,3.488
2012-09-01,3.5,3.8,3.43,3.47
2012-10-01,3.465,3.655,3.395,3.495
2012-11-01,3.49,3.59,3.405,3.51
2012-12-01,3.535,3.685,3.525,3.653
2013-01-01,3.61,3.73,3.485,3.725
2013-02-01,3.725,4.005,3.722,3.762
2013-03-01,3.765,3.89,3.52,3.523
2013-04-01,3.525,3.56,3.195,3.2
2013-05-01,3.2,3.65,3.165,3.61
2013-06-01,3.615,4.28,3.57,4.16
2013-07-01,4.16,4.5,4.12,4.245
2013-08-01,4.26,4.75,4.23,4.59
2013-09-01,4.575,4.85,4.57,4.59
2013-10-01,4.59,4.86,4.499,4.575
2013-11-01,4.575,4.85,4.56,4.8
2013-12-01,4.8,4.88,4.729,4.755
2014-01-01,4.765,4.8,4.555,4.59
2014-02-01,4.565,4.64,4.53,4.58
2014-03-01,4.58,4.67,4.54,4.615
2014-04-01,4.62,4.685,4.43,4.43
2014-05-01,4.43,4.43,4.22,4.275
2014-06-01,4.275,4.525,4.265,4.44
2014-07-01,4.435,4.56,4.155,4.3
2014-08-01,4.29,4.32,4.08,4.08
2014-09-01,4.09,4.325,4.08,4.165
2014-10-01,4.165,4.17,3.95,4.015
2014-11-01,4.025,4.145,3.92,3.92
2014-12-01,3.93,3.93,3.67,3.67
2015-01-01,3.68,3.68,3.18,3.195
2015-02-01,3.205,3.385,3.085,3.31
2015-03-01,3.32,3.47,3.195,3.25
2015-04-01,3.255,3.485,3.115,3.475
2015-05-01,3.475,3.82,3.46,3.65
2015-06-01,3.66,3.975,3.61,3.64
2015-07-01,3.645,3.69,3.25,3.37
2015-08-01,3.38,3.425,3.165,3.27
2015-09-01,3.26,3.41,3.22,3.3
2015-10-01,3.31,3.485,3.28,3.33
2015-11-01,3.33,3.63,3.31,3.57
2015-12-01,3.57,3.68,3.515,3.605
2016-01-01,3.605,3.605,3.21,3.26
2016-02-01,3.245,3.245,2.985,2.985
2016-03-01,2.995,3.145,2.925,2.95
2016-04-01,2.96,2.975,2.825,2.86
2016-05-01,2.87,2.925,2.585,2.63
2016-06-01,2.63,2.695,2.32,2.37
2016-07-01,2.38,2.38,2.21,2.21
2016-08-01,2.22,2.335,2.135,2.265
2016-09-01,2.265,2.645,2.255,2.295
2016-10-01,2.325,2.74,2.325,2.725
