Month,Total Outstanding (bln),<=1 Year,%,1-5 Years,%,5-10 Years,%,10-20 Years,%,20+ Years,%,Avg Length (months)
2000-01-31,3184.8,1173.5,37.0,1052.3,33.0,433.1,14.0,161.1,5.0,364.8,11.0,68.0
2000-02-29,3203.7,1198.6,37.0,1038.9,32.0,429.0,13.0,171.3,5.0,365.8,11.0,69.0
2000-03-31,3246.2,1261.4,39.0,1020.4,31.0,429.2,13.0,169.8,5.0,365.4,11.0,67.0
2000-04-30,3132.3,1183.7,38.0,985.7,31.0,429.5,14.0,169.8,5.0,363.6,12.0,69.0
2000-05-31,3077.4,1136.8,37.0,994.9,32.0,419.1,14.0,175.2,6.0,351.5,11.0,70.0
2000-06-30,3055.7,1136.0,37.0,975.9,32.0,419.1,14.0,173.2,6.0,351.5,12.0,69.0
2000-07-31,3031.1,1130.3,37.0,956.3,32.0,424.2,14.0,171.8,6.0,348.4,11.0,69.0
2000-08-31,3041.5,1144.2,38.0,960.7,32.0,411.9,14.0,191.5,6.0,333.2,11.0,69.0
2000-09-30,3009.0,1146.3,38.0,927.4,31.0,412.1,14.0,190.2,6.0,333.1,11.0,69.0
2000-10-31,2978.9,1118.7,38.0,923.6,31.0,411.1,14.0,187.7,6.0,337.8,11.0,70.0
2000-11-30,3021.7,1181.6,39.0,915.0,30.0,400.6,13.0,187.7,6.0,336.8,11.0,69.0
2000-12-31,2984.2,1177.5,39.0,883.9,30.0,400.7,13.0,185.6,6.0,336.5,11.0,69.0
2001-01-31,2962.2,1154.8,39.0,881.1,30.0,406.0,14.0,185.6,6.0,334.7,11.0,69.0
2001-02-28,2974.1,1155.1,39.0,891.9,30.0,397.7,13.0,194.3,7.0,335.2,11.0,70.0
2001-03-31,3002.7,1218.0,41.0,860.5,29.0,398.1,13.0,193.2,6.0,333.0,11.0,68.0
2001-04-30,2862.8,1086.3,38.0,856.4,30.0,397.7,14.0,190.2,7.0,332.2,12.0,70.0
2001-05-31,2840.3,1065.2,38.0,865.2,30.0,389.3,14.0,200.7,7.0,320.0,11.0,71.0
2001-06-30,2840.6,1094.1,39.0,837.8,29.0,389.6,14.0,198.9,7.0,320.2,11.0,70.0
2001-07-31,2837.8,1105.1,39.0,845.4,30.0,371.2,13.0,197.8,7.0,318.3,11.0,70.0
2001-08-31,2913.7,1188.1,41.0,824.0,28.0,383.4,13.0,204.7,7.0,313.4,11.0,68.0
2001-09-30,2915.6,1218.3,42.0,796.1,27.0,383.2,13.0,204.7,7.0,313.3,11.0,68.0
2001-10-31,2906.1,1179.1,41.0,839.8,29.0,365.8,13.0,204.7,7.0,316.8,11.0,68.0
2001-11-30,2976.2,1228.3,41.0,857.3,29.0,370.6,12.0,233.7,8.0,286.3,10.0,67.0
2001-12-31,2967.9,1221.8,41.0,860.1,29.0,369.1,12.0,232.2,8.0,284.7,10.0,66.0
2002-01-31,2953.1,1198.9,41.0,880.0,30.0,357.4,12.0,232.2,8.0,284.6,10.0,66.0
2002-02-28,3018.4,1258.0,42.0,886.4,29.0,357.4,12.0,232.2,8.0,284.4,9.0,65.0
2002-03-31,3019.9,1288.0,43.0,857.6,28.0,357.5,12.0,232.2,8.0,284.5,9.0,64.0
2002-04-30,2977.6,1209.7,41.0,897.3,30.0,357.8,12.0,230.0,8.0,282.8,9.0,65.0
2002-05-31,3030.0,1222.0,40.0,939.3,31.0,355.6,12.0,230.0,8.0,283.1,9.0,64.0
2002-06-30,3037.2,1256.3,41.0,911.6,30.0,355.9,12.0,230.0,8.0,283.3,9.0,63.0
2002-07-31,3080.8,1238.5,40.0,962.9,31.0,366.0,12.0,230.0,7.0,283.3,9.0,63.0
2002-08-31,3130.5,1315.3,42.0,941.8,30.0,360.0,12.0,240.1,8.0,273.2,9.0,62.0
2002-09-30,3121.6,1259.7,40.0,988.4,32.0,360.1,12.0,240.1,8.0,273.3,9.0,62.0
2002-10-31,3148.5,1271.9,40.0,995.7,32.0,367.4,12.0,240.1,8.0,273.4,9.0,61.0
2002-11-30,3205.6,1344.5,42.0,971.9,30.0,375.5,12.0,247.6,8.0,266.1,8.0,61.0
2002-12-31,3205.1,1307.4,41.0,1008.3,31.0,375.6,12.0,247.6,8.0,266.1,8.0,60.0
2003-01-31,3197.1,1290.2,40.0,1030.3,32.0,362.8,11.0,247.6,8.0,266.1,8.0,60.0
2003-02-28,3273.6,1347.3,41.0,1044.1,32.0,368.6,11.0,263.4,8.0,250.3,8.0,60.0
2003-03-31,3316.8,1387.6,42.0,1046.6,32.0,368.9,11.0,263.4,8.0,250.5,8.0,59.0
2003-04-30,3301.2,1369.2,41.0,1048.5,32.0,369.4,11.0,263.4,8.0,250.8,8.0,58.0
2003-05-31,3338.8,1421.8,43.0,1041.6,31.0,360.9,11.0,263.4,8.0,251.1,8.0,58.0
2003-06-30,3379.0,1418.6,42.0,1085.2,32.0,360.8,11.0,263.4,8.0,251.0,7.0,58.0
2003-07-31,3413.0,1445.1,42.0,1081.9,32.0,371.7,11.0,263.4,8.0,250.9,7.0,57.0
2003-08-31,3454.1,1486.2,43.0,1073.1,31.0,380.4,11.0,286.0,8.0,228.3,7.0,57.0
2003-09-30,3460.6,1436.1,41.0,1116.7,32.0,393.4,11.0,286.0,8.0,228.4,7.0,57.0
2003-10-31,3519.2,1469.1,42.0,1132.7,32.0,402.8,11.0,286.0,8.0,228.5,6.0,56.0
2003-11-30,3562.9,1541.2,43.0,1110.3,31.0,396.7,11.0,286.0,8.0,228.7,6.0,56.0
2003-12-31,3575.1,1492.6,42.0,1159.2,32.0,408.6,11.0,286.0,8.0,228.6,6.0,56.0
2004-01-31,3581.7,1505.5,42.0,1159.2,32.0,402.4,11.0,286.0,8.0,228.5,6.0,56.0
2004-02-29,3662.7,1545.8,42.0,1183.0,32.0,419.4,11.0,286.0,8.0,228.5,6.0,55.0
2004-03-31,3721.1,1543.2,41.0,1232.4,33.0,430.8,12.0,286.0,8.0,228.7,6.0,55.0
2004-04-30,3697.3,1493.3,40.0,1248.8,34.0,440.3,12.0,286.0,8.0,228.9,6.0,55.0
2004-05-31,3744.6,1557.8,42.0,1232.5,33.0,439.0,12.0,286.0,8.0,229.3,6.0,55.0
2004-06-30,3755.4,1510.8,40.0,1279.9,34.0,449.3,12.0,286.0,8.0,229.4,6.0,55.0
2004-07-31,3808.4,1556.6,41.0,1265.2,33.0,459.9,12.0,286.0,8.0,240.7,6.0,55.0
2004-08-31,3840.6,1522.4,40.0,1347.1,35.0,444.2,12.0,286.0,7.0,240.9,6.0,55.0
2004-09-30,3846.0,1504.0,39.0,1362.1,35.0,453.0,12.0,286.0,7.0,240.8,6.0,55.0
2004-10-31,3902.6,1556.9,40.0,1344.8,34.0,474.1,12.0,286.0,7.0,240.8,6.0,54.0
2004-11-30,3949.2,1560.4,40.0,1376.0,35.0,485.8,12.0,295.6,7.0,231.3,6.0,54.0
2004-12-31,3945.7,1533.6,39.0,1389.3,35.0,495.5,13.0,295.6,7.0,231.6,6.0,54.0
2005-01-31,3960.8,1516.0,38.0,1413.7,36.0,492.7,12.0,317.9,8.0,220.5,6.0,55.0
2005-02-28,4040.2,1562.8,39.0,1455.0,36.0,494.7,12.0,316.8,8.0,210.9,5.0,54.0
2005-03-31,4089.7,1590.1,39.0,1467.8,36.0,503.9,12.0,316.9,8.0,210.9,5.0,53.0
2005-04-30,4056.6,1556.7,38.0,1470.2,36.0,501.6,12.0,317.0,8.0,211.2,5.0,54.0
2005-05-31,4036.0,1511.9,37.0,1476.4,37.0,519.0,13.0,317.2,8.0,211.6,5.0,55.0
2005-06-30,4017.0,1474.8,37.0,1485.1,37.0,527.8,13.0,317.3,8.0,211.9,5.0,55.0
2005-07-31,4063.8,1547.4,38.0,1444.3,36.0,536.7,13.0,323.5,8.0,211.9,5.0,54.0
2005-08-31,4092.3,1533.3,37.0,1494.8,37.0,532.8,13.0,330.7,8.0,200.7,5.0,54.0
2005-09-30,4070.8,1494.4,37.0,1503.2,37.0,541.4,13.0,330.8,8.0,200.9,5.0,54.0
2005-10-31,4117.2,1536.4,37.0,1498.4,36.0,550.2,13.0,330.9,8.0,201.2,5.0,54.0
2005-11-30,4171.2,1603.2,38.0,1467.7,35.0,572.7,14.0,325.7,8.0,201.8,5.0,53.0
2005-12-31,4169.9,1612.1,39.0,1449.0,35.0,581.1,14.0,325.8,8.0,201.9,5.0,53.0
2006-01-31,4180.8,1586.6,38.0,1478.9,35.0,576.5,14.0,337.3,8.0,201.5,5.0,53.0
2006-02-28,4263.5,1646.2,39.0,1497.6,35.0,571.7,13.0,344.6,8.0,203.3,5.0,54.0
2006-03-31,4326.3,1686.5,39.0,1510.7,35.0,580.7,13.0,344.8,8.0,203.7,5.0,53.0
2006-04-30,4269.2,1641.6,38.0,1489.9,35.0,589.0,14.0,344.9,8.0,203.8,5.0,53.0
2006-05-31,4255.1,1590.6,37.0,1510.2,35.0,623.9,15.0,326.3,8.0,204.0,5.0,54.0
2006-06-30,4239.9,1547.1,36.0,1528.5,36.0,633.2,15.0,326.6,8.0,204.5,5.0,54.0
2006-07-31,4266.3,1535.3,36.0,1546.4,36.0,644.6,15.0,335.2,8.0,204.7,5.0,54.0
2006-08-31,4330.6,1607.7,37.0,1538.3,36.0,632.9,15.0,344.2,8.0,207.6,5.0,55.0
2006-09-30,4289.0,1583.5,37.0,1512.0,35.0,641.4,15.0,344.3,8.0,207.7,5.0,55.0
2006-10-31,4323.9,1544.4,36.0,1576.0,36.0,651.2,15.0,344.4,8.0,207.8,5.0,55.0
2006-11-30,4366.9,1595.3,37.0,1554.2,36.0,684.4,16.0,336.2,8.0,196.7,5.0,54.0
2006-12-31,4327.7,1577.0,36.0,1526.9,35.0,691.5,16.0,336.0,8.0,196.4,5.0,54.0
2007-01-31,4333.3,1531.9,35.0,1564.3,36.0,695.7,16.0,345.1,8.0,196.4,5.0,55.0
2007-02-28,4394.5,1602.9,36.0,1554.9,35.0,685.3,16.0,354.7,8.0,196.7,4.0,55.0
2007-03-31,4454.7,1680.8,38.0,1528.3,34.0,693.9,16.0,354.9,8.0,196.9,4.0,54.0
2007-04-30,4398.3,1554.7,35.0,1590.4,36.0,700.8,16.0,355.2,8.0,197.2,4.0,55.0
2007-05-31,4364.2,1548.1,35.0,1535.9,35.0,735.6,17.0,340.2,8.0,204.4,5.0,56.0
2007-06-30,4325.1,1524.7,35.0,1510.2,35.0,744.9,17.0,340.6,8.0,204.7,5.0,56.0
2007-07-31,4389.3,1521.7,35.0,1586.7,36.0,727.4,17.0,348.4,8.0,205.0,5.0,56.0
2007-08-31,4482.1,1621.4,36.0,1565.0,35.0,739.1,16.0,346.8,8.0,209.8,5.0,56.0
2007-09-30,4434.0,1606.0,36.0,1524.4,34.0,747.1,17.0,346.8,8.0,209.8,5.0,56.0
