Date,Open,High,Low,Close
2010-01-01,1.0537,1.0701,1.0224,1.0698
2010-02-01,1.0704,1.0781,1.037,1.053
2010-03-01,1.0547,1.0575,1.0061,1.0153
2010-04-01,1.0151,1.0216,0.9928,1.0175
2010-05-01,1.0163,1.0853,1.0099,1.0451
2010-06-01,1.0439,1.0682,1.0137,1.0646
2010-07-01,1.0638,1.0678,1.0251,1.0297
2010-08-01,1.0294,1.0675,1.0105,1.0643
2010-09-01,1.0649,1.0659,1.0192,1.0291
2010-10-01,1.0295,1.0373,0.9973,1.0189
2010-11-01,1.0192,1.0289,0.9973,1.0266
2010-12-01,1.0266,1.0273,0.9925,0.997
2011-01-01,0.995,1.0059,0.9829,1.0012
2011-02-01,1.001,1.0013,0.9708,0.9717
2011-03-01,0.9715,0.9975,0.9666,0.9702
2011-04-01,0.9699,0.9722,0.9437,0.9446
2011-05-01,0.9458,0.9819,0.9446,0.9685
2011-06-01,0.9689,0.9914,0.9623,0.9634
2011-07-01,0.9639,0.9779,0.9405,0.9553
2011-08-01,0.9558,1.0011,0.949,0.9779
2011-09-01,0.9784,1.0506,0.9735,1.05
2011-10-01,1.0481,1.0658,0.9889,0.9996
2011-11-01,0.9997,1.0525,0.9972,1.0194
2011-12-01,1.019,1.0427,1.0052,1.0196
2012-01-01,1.021,1.032,0.9964,1.0029
2012-02-01,1.0026,1.0052,0.9843,0.9896
2012-03-01,0.9893,1.0034,0.9839,0.9979
2012-04-01,0.9954,1.0052,0.9798,0.9871
2012-05-01,0.9871,1.0368,0.9828,1.0333
2012-06-01,1.0329,1.0448,1.0156,1.0167
2012-07-01,1.0163,1.0252,1.0003,1.0031
2012-08-01,1.0033,1.0088,0.9841,0.9865
2012-09-01,0.9871,0.9921,0.9633,0.9838
2012-10-01,0.9837,1.0022,0.9734,0.9993
2012-11-01,0.9993,1.0057,0.9871,0.9943
2012-12-01,0.9939,0.9977,0.9822,0.9922
2013-01-01,0.9921,1.0102,0.9812,0.997
2013-02-01,0.9973,1.0315,0.9931,1.0306
2013-03-01,1.0309,1.0345,1.0145,1.0174
2013-04-01,1.0177,1.0295,1.0055,1.0073
2013-05-01,1.0075,1.0423,1.0014,1.0378
2013-06-01,1.0359,1.0557,1.0134,1.0519
2013-07-01,1.0516,1.061,1.0245,1.0277
2013-08-01,1.0277,1.0572,1.0267,1.0537
2013-09-01,1.0521,1.056,1.018,1.031
2013-10-01,1.0311,1.0498,1.027,1.0431
2013-11-01,1.0432,1.063,1.0395,1.0615
2013-12-01,1.0615,1.074,1.0559,1.0623
2014-01-01,1.0624,1.1227,1.0588,1.1129
2014-02-01,1.1128,1.118,1.0908,1.1065
2014-03-01,1.1055,1.128,1.0953,1.105
2014-04-01,1.1051,1.1074,1.0857,1.0961
2014-05-01,1.0963,1.1006,1.0812,1.0843
2014-06-01,1.0846,1.0963,1.0647,1.0671
2014-07-01,1.0672,1.0932,1.0618,1.0906
2014-08-01,1.0908,1.1,1.0811,1.0878
2014-09-01,1.0877,1.1222,1.082,1.1199
2014-10-01,1.1196,1.1386,1.1068,1.1266
2014-11-01,1.1264,1.1467,1.1191,1.1415
2014-12-01,1.1421,1.1675,1.1313,1.1621
2015-01-01,1.1622,1.2798,1.1598,1.2732
2015-02-01,1.2732,1.2774,1.2353,1.2508
2015-03-01,1.2479,1.2834,1.2406,1.2688
2015-04-01,1.2684,1.2711,1.1944,1.2076
2015-05-01,1.2079,1.2539,1.1919,1.2448
2015-06-01,1.2441,1.2564,1.2126,1.2493
2015-07-01,1.2494,1.3106,1.2473,1.3089
2015-08-01,1.3096,1.3354,1.295,1.3137
2015-09-01,1.3141,1.3458,1.301,1.3315
2015-10-01,1.3312,1.3333,1.2829,1.3078
2015-11-01,1.3075,1.3436,1.3034,1.3362
2015-12-01,1.3363,1.4001,1.3291,1.3841
2016-01-01,1.3841,1.4691,1.3814,1.3973
2016-02-01,1.3973,1.4103,1.3481,1.354
2016-03-01,1.3541,1.3554,1.2854,1.3006
2016-04-01,1.3004,1.3219,1.2497,1.2553
2016-05-01,1.255,1.319,1.2459,1.3094
2016-06-01,1.3094,1.3145,1.2653,1.2925
2016-07-01,1.2925,1.3253,1.2829,1.303
2016-08-01,1.3028,1.3202,1.2761,1.3106
2016-09-01,1.3107,1.3282,1.282,1.3129
2016-10-01,1.3134,1.3433,1.3004,1.341
2016-11-01,1.3407,1.359,1.3262,1.3435
2016-12-01,1.344,1.36,1.308,1.3433
2017-01-01,1.3438,1.3462,1.2969,1.303
2017-02-01,1.3033,1.3315,1.2978,1.33
2017-03-01,1.3301,1.3536,1.3264,1.3313
2017-04-01,1.3304,1.3699,1.3222,1.3652
2017-05-01,1.3655,1.3795,1.3387,1.3501
2017-06-01,1.3501,1.3549,1.2948,1.2965
2017-07-01,1.2966,1.3016,1.2414,1.2479
2017-08-01,1.2479,1.278,1.244,1.2482
2017-09-01,1.2479,1.253,1.206,1.247
2017-10-01,1.2475,1.2918,1.2431,1.2886
2017-11-01,1.289,1.2913,1.2665,1.2896
2017-12-01,1.2897,1.292,1.2513,1.2579
2018-01-01,1.2579,1.2591,1.2248,1.2315
2018-02-01,1.2315,1.2843,1.2254,1.2832
2018-03-01,1.2832,1.3127,1.2804,1.2894
2018-04-01,1.2902,1.2945,1.2524,1.284
2018-05-01,1.2844,1.3049,1.2727,1.2958
2018-06-01,1.2957,1.3387,1.2857,1.3132
2018-07-01,1.3141,1.3291,1.2983,1.3007
2018-08-01,1.3005,1.3176,1.2885,1.3039
2018-09-01,1.3039,1.3228,1.2882,1.2906
2018-10-01,1.2902,1.3173,1.278,1.3155
2018-11-01,1.3157,1.3362,1.3047,1.3296
2018-12-01,1.3256,1.3664,1.3157,1.3638
2019-01-01,1.3636,1.3664,1.3116,1.3124
2019-02-01,1.3123,1.3343,1.3066,1.3168
2019-03-01,1.3172,1.3471,1.3128,1.3346
2019-04-01,1.3355,1.3524,1.3273,1.3389
2019-05-01,1.3388,1.3566,1.3355,1.3514
2019-06-01,1.3523,1.353,1.3057,1.3092
2019-07-01,1.3094,1.3215,1.3014,1.3191
2019-08-01,1.3192,1.3346,1.3175,1.3312
2019-09-01,1.3315,1.3384,1.3131,1.3241
2019-10-01,1.3241,1.3349,1.3038,1.3161
2019-11-01,1.3164,1.3329,1.3109,1.3277
2019-12-01,1.3279,1.3323,1.2949,1.2988
2020-01-01,1.2984,1.3253,1.2953,1.3236
2020-02-01,1.3239,1.3466,1.32,1.3398
2020-03-01,1.3412,1.4669,1.3314,1.4061
2020-04-01,1.406,1.43,1.3848,1.3944
2020-05-01,1.3946,1.4174,1.3712,1.3771
2020-06-01,1.3782,1.3802,1.3313,1.3573
2020-07-01,1.3576,1.3648,1.3329,1.3413
2020-08-01,1.3401,1.3452,1.3018,1.3045
2020-09-01,1.3042,1.3421,1.2992,1.3319
2020-10-01,1.3321,1.3391,1.3079,1.3317
2020-11-01,1.3316,1.3371,1.2921,1.3
2020-12-01,1.3002,1.3008,1.2686,1.273
2021-01-01,1.2734,1.2882,1.2588,1.2777
2021-02-01,1.2777,1.2871,1.2466,1.2739
2021-03-01,1.2723,1.274,1.2363,1.2558
2021-04-01,1.2565,1.2653,1.2264,1.2286
2021-05-01,1.2282,1.235,1.2011,1.2068
