Date,Open,High,Low,Close
2010-01-01,1.5095,1.5099,1.4671,1.4831
2010-02-01,1.484,1.4903,1.4099,1.4343
2010-03-01,1.4373,1.438,1.3573,1.372
2010-04-01,1.3722,1.3762,1.3234,1.3531
2010-05-01,1.3564,1.3568,1.2621,1.2859
2010-06-01,1.2844,1.3058,1.2452,1.3028
2010-07-01,1.302,1.3698,1.2948,1.3436
2010-08-01,1.3453,1.3696,1.3153,1.3499
2010-09-01,1.3508,1.4103,1.3071,1.403
2010-10-01,1.4035,1.4352,1.3944,1.4213
2010-11-01,1.4228,1.4335,1.3258,1.3326
2010-12-01,1.333,1.3581,1.308,1.3345
2011-01-01,1.3282,1.378,1.2771,1.3703
2011-02-01,1.37,1.3754,1.3259,1.3408
2011-03-01,1.3406,1.398,1.3386,1.374
2011-04-01,1.3739,1.4175,1.3586,1.3976
2011-05-01,1.4018,1.4345,1.363,1.3939
2011-06-01,1.3941,1.4382,1.3822,1.397
2011-07-01,1.3972,1.3999,1.3405,1.3749
2011-08-01,1.3718,1.4315,1.3547,1.4056
2011-09-01,1.4061,1.4135,1.3395,1.4052
2011-10-01,1.3976,1.418,1.3779,1.3846
2011-11-01,1.3848,1.4112,1.3647,1.3694
2011-12-01,1.3688,1.3769,1.3152,1.3192
2012-01-01,1.3203,1.3252,1.2877,1.3108
2012-02-01,1.3114,1.3484,1.2996,1.3183
2012-03-01,1.3181,1.3338,1.2889,1.3314
2012-04-01,1.3197,1.3335,1.2927,1.3067
2012-05-01,1.307,1.314,1.2725,1.2767
2012-06-01,1.2764,1.3038,1.2741,1.2867
2012-07-01,1.2883,1.2894,1.2267,1.2334
2012-08-01,1.2337,1.2502,1.2124,1.2407
2012-09-01,1.2415,1.2804,1.235,1.2635
2012-10-01,1.2638,1.3027,1.2572,1.2952
2012-11-01,1.296,1.298,1.2643,1.292
2012-12-01,1.2895,1.3189,1.2711,1.3105
2013-01-01,1.3091,1.3642,1.2844,1.354
2013-02-01,1.3543,1.3712,1.3326,1.3463
2013-03-01,1.3461,1.354,1.2962,1.3035
2013-04-01,1.3042,1.3527,1.2951,1.3259
2013-05-01,1.3264,1.3507,1.3058,1.3482
2013-06-01,1.339,1.382,1.342,1.3682
2013-07-01,1.368,1.3771,1.3426,1.3666
2013-08-01,1.367,1.413,1.3599,1.3928
2013-09-01,1.3931,1.3997,1.3645,1.3941
2013-10-01,1.3945,1.4445,1.3937,1.4163
2013-11-01,1.4169,1.4459,1.3882,1.4423
2013-12-01,1.4425,1.4819,1.438,1.4593
2014-01-01,1.4599,1.531,1.4409,1.5003
2014-02-01,1.5018,1.5383,1.4899,1.5271
2014-03-01,1.5237,1.5589,1.5078,1.5213
2014-04-01,1.5217,1.531,1.5,1.5194
2014-05-01,1.52,1.5263,1.4724,1.4776
2014-06-01,1.4789,1.4957,1.4536,1.4604
2014-07-01,1.4612,1.4655,1.4414,1.4597
2014-08-01,1.4603,1.4736,1.4251,1.4281
2014-09-01,1.4291,1.4403,1.4014,1.4142
2014-10-01,1.4146,1.4502,1.4007,1.4108
2014-11-01,1.4103,1.4345,1.3884,1.4209
2014-12-01,1.4216,1.4646,1.3952,1.4054
2015-01-01,1.4059,1.4493,1.3752,1.4367
2015-02-01,1.4369,1.4478,1.3949,1.3998
2015-03-01,1.4004,1.4092,1.3379,1.3612
2015-04-01,1.3621,1.3759,1.3022,1.3551
2015-05-01,1.3554,1.3808,1.3401,1.3673
2015-06-01,1.3683,1.4164,1.3519,1.3909
2015-07-01,1.3917,1.4497,1.3809,1.4378
2015-08-01,1.4366,1.5561,1.4241,1.4728
2015-09-01,1.4733,1.5164,1.4595,1.4877
2015-10-01,1.4882,1.4985,1.4357,1.439
2015-11-01,1.4422,1.4492,1.4054,1.4114
2015-12-01,1.4122,1.5325,1.4041,1.5029
2016-01-01,1.5031,1.6108,1.495,1.5136
2016-02-01,1.5137,1.5915,1.4676,1.4717
2016-03-01,1.4721,1.5019,1.4384,1.4796
2016-04-01,1.4801,1.5032,1.4179,1.4376
2016-05-01,1.4369,1.4828,1.4359,1.457
2016-06-01,1.4576,1.4733,1.4246,1.4349
2016-07-01,1.4353,1.4669,1.4279,1.4563
2016-08-01,1.4561,1.4736,1.4427,1.4619
2016-09-01,1.4625,1.4925,1.4376,1.4752
2016-10-01,1.4744,1.4903,1.4261,1.4721
2016-11-01,1.4722,1.5287,1.4162,1.422
2016-12-01,1.4225,1.4368,1.3819,1.4119
2017-01-01,1.4155,1.4311,1.3853,1.4065
2017-02-01,1.4069,1.4135,1.3782,1.4064
2017-03-01,1.4066,1.4602,1.4005,1.418
2017-04-01,1.4202,1.4945,1.4051,1.4872
2017-05-01,1.4898,1.5216,1.4825,1.5174
2017-06-01,1.518,1.526,1.4725,1.4806
2017-07-01,1.4805,1.484,1.4477,1.4772
2017-08-01,1.4777,1.5079,1.4707,1.4861
2017-09-01,1.4866,1.4893,1.4439,1.4726
2017-10-01,1.4746,1.5149,1.4633,1.5002
2017-11-01,1.501,1.5375,1.4734,1.5346
2017-12-01,1.5352,1.5359,1.4919,1.5087
2018-01-01,1.5098,1.5419,1.4814,1.5293
2018-02-01,1.5296,1.5692,1.5258,1.5642
2018-03-01,1.5648,1.6156,1.5617,1.5883
2018-04-01,1.59,1.5929,1.5459,1.5509
2018-05-01,1.5509,1.552,1.4912,1.5146
2018-06-01,1.5149,1.5589,1.5081,1.534
2018-07-01,1.5309,1.5472,1.5172,1.5204
