Date,Open,High,Low,Close
2010-01-01,1.5965,1.597,1.5416,1.5674
2010-02-01,1.575,1.5958,1.5036,1.5224
2010-03-01,1.5205,1.5213,1.4576,1.4734
2010-04-01,1.4732,1.4782,1.4221,1.4382
2010-05-01,1.446,1.546,1.3925,1.4536
2010-06-01,1.4521,1.4738,1.3958,1.4567
2010-07-01,1.4572,1.5018,1.4325,1.4431
2010-08-01,1.4423,1.4548,1.4123,1.4247
2010-09-01,1.4217,1.4228,1.3657,1.4101
2010-10-01,1.4117,1.4381,1.4042,1.4182
2010-11-01,1.4177,1.4219,1.3519,1.3551
2010-12-01,1.354,1.3651,1.2915,1.3075
2011-01-01,1.3079,1.3885,1.2925,1.3732
2011-02-01,1.372,1.3791,1.33,1.3551
2011-03-01,1.3554,1.4344,1.3554,1.3717
2011-04-01,1.372,1.3881,1.3488,1.3496
2011-05-01,1.3509,1.393,1.3223,1.3493
2011-06-01,1.3509,1.3846,1.3376,1.3529
2011-07-01,1.3537,1.3578,1.2931,1.3093
2011-08-01,1.3045,1.4264,1.2937,1.3436
2011-09-01,1.3463,1.3974,1.3023,1.3852
2011-10-01,1.3796,1.4091,1.3112,1.3149
2011-11-01,1.3143,1.3813,1.3056,1.3079
2011-12-01,1.3074,1.3234,1.2628,1.2659
2012-01-01,1.2665,1.2707,1.2226,1.232
2012-02-01,1.2319,1.262,1.2127,1.2415
2012-03-01,1.242,1.2899,1.2261,1.2898
2012-04-01,1.2786,1.288,1.2566,1.27
2012-05-01,1.2701,1.3032,1.2662,1.2702
2012-06-01,1.2715,1.2886,1.2329,1.2364
2012-07-01,1.235,1.2364,1.1641,1.1722
2012-08-01,1.1727,1.2239,1.1606,1.2186
2012-09-01,1.2224,1.2555,1.2208,1.2389
2012-10-01,1.2386,1.2827,1.2361,1.249
2012-11-01,1.2487,1.251,1.2153,1.2463
2012-12-01,1.2434,1.281,1.2284,1.2692
2013-01-01,1.2689,1.3075,1.2352,1.3022
2013-02-01,1.302,1.3191,1.2671,1.2792
2013-03-01,1.279,1.2868,1.2219,1.2305
2013-04-01,1.2295,1.2781,1.2216,1.2696
2013-05-01,1.27,1.3599,1.2684,1.3579
2013-06-01,1.3484,1.4426,1.3371,1.4233
2013-07-01,1.425,1.4867,1.3866,1.4809
2013-08-01,1.4803,1.5036,1.4444,1.4858
2013-09-01,1.4804,1.4813,1.4197,1.452
2013-10-01,1.4513,1.4553,1.4106,1.4361
2013-11-01,1.4361,1.5033,1.4047,1.4916
2013-12-01,1.4919,1.5607,1.4803,1.5414
2014-01-01,1.5405,1.5838,1.5027,1.5404
2014-02-01,1.5413,1.5496,1.4982,1.5459
2014-03-01,1.5474,1.5541,1.4775,1.4864
2014-04-01,1.4871,1.503,1.4653,1.493
2014-05-01,1.4925,1.5039,1.4562,1.4639
2014-06-01,1.4633,1.4754,1.4358,1.4517
2014-07-01,1.4512,1.4624,1.4211,1.4403
2014-08-01,1.4405,1.4486,1.4051,1.4063
2014-09-01,1.4083,1.4591,1.3777,1.4443
2014-10-01,1.4446,1.471,1.4223,1.4237
2014-11-01,1.4308,1.4706,1.4223,1.4631
2014-12-01,1.4664,1.5336,1.4588,1.4808
2015-01-01,1.4812,1.4874,1.3963,1.4531
2015-02-01,1.4526,1.4902,1.4311,1.4332
2015-03-01,1.4282,1.4446,1.3715,1.4108
2015-04-01,1.4115,1.445,1.3673,1.4199
2015-05-01,1.4202,1.4391,1.3918,1.4381
2015-06-01,1.4368,1.4779,1.4204,1.4448
2015-07-01,1.4448,1.5283,1.4385,1.5042
2015-08-01,1.5022,1.6577,1.4724,1.5765
2015-09-01,1.5764,1.6255,1.5597,1.5923
2015-10-01,1.592,1.6149,1.5162,1.5415
2015-11-01,1.5455,1.5528,1.456,1.4615
2015-12-01,1.4623,1.5354,1.4379,1.4918
2016-01-01,1.4916,1.6081,1.4855,1.5296
2016-02-01,1.5277,1.6255,1.5159,1.5224
2016-03-01,1.5221,1.5317,1.4467,1.4861
2016-04-01,1.4861,1.5204,1.4427,1.5068
2016-05-01,1.5045,1.5656,1.4944,1.5391
2016-06-01,1.5385,1.5548,1.4793,1.4908
2016-07-01,1.4907,1.497,1.4471,1.4708
2016-08-01,1.4714,1.4902,1.4409,1.4849
2016-09-01,1.4866,1.5116,1.457,1.4667
2016-10-01,1.4666,1.4788,1.4124,1.443
2016-11-01,1.4429,1.4885,1.4067,1.4338
2016-12-01,1.4333,1.4725,1.4088,1.4573
2017-01-01,1.4615,1.465,1.4023,1.4236
2017-02-01,1.4236,1.4295,1.3623,1.3812
2017-03-01,1.3808,1.4312,1.3721,1.3964
2017-04-01,1.3985,1.4662,1.3954,1.4551
2017-05-01,1.4607,1.5136,1.4442,1.5131
2017-06-01,1.5136,1.5237,1.4628,1.4857
2017-07-01,1.4859,1.5078,1.4421,1.4797
2017-08-01,1.4797,1.5177,1.4701,1.4987
2017-09-01,1.4987,1.5112,1.4791,1.508
2017-10-01,1.5071,1.5397,1.495,1.521
2017-11-01,1.521,1.5755,1.5079,1.5732
2017-12-01,1.5732,1.5774,1.5276,1.5378
2018-01-01,1.5383,1.5496,1.5151,1.542
2018-02-01,1.5412,1.5821,1.5391,1.571
2018-03-01,1.5711,1.6195,1.5619,1.6047
2018-04-01,1.603,1.6147,1.5774,1.6033
2018-05-01,1.6039,1.6052,1.5312,1.5449
2018-06-01,1.5451,1.5833,1.5272,1.5781
2018-07-01,1.5739,1.5894,1.5656,1.5739
2018-08-01,1.5738,1.6168,1.5579,1.6132
2018-09-01,1.6109,1.6359,1.6022,1.6056
2018-10-01,1.6049,1.6361,1.595,1.5992
2018-11-01,1.5996,1.6008,1.5466,1.5466
2018-12-01,1.5363,1.6323,1.5339,1.6267
2019-01-01,1.6256,1.6718,1.5714,1.5733
2019-02-01,1.573,1.6061,1.5721,1.6026
2019-03-01,1.6032,1.6129,1.5777,1.5808
2019-04-01,1.5767,1.5957,1.5679,1.591
2019-05-01,1.5917,1.6269,1.5896,1.6114
2019-06-01,1.6108,1.6452,1.6062,1.6195
2019-07-01,1.6173,1.6261,1.5889,1.6182
2019-08-01,1.6183,1.679,1.6102,1.6315
2019-09-01,1.6355,1.6382,1.5905,1.6152
2019-10-01,1.6148,1.6437,1.6077,1.6177
2019-11-01,1.6177,1.6326,1.5973,1.6285
2019-12-01,1.6279,1.6317,1.5959,1.5968
2020-01-01,1.5966,1.6597,1.5947,1.6578
2020-02-01,1.6582,1.7071,1.6081,1.6938
2020-03-01,1.6961,1.9809,1.677,1.7977
2020-04-01,1.7977,1.813,1.6535,1.6829
2020-05-01,1.6827,1.72,1.6437,1.6648
2020-06-01,1.6662,1.6734,1.603,1.6267
2020-07-01,1.6272,1.6552,1.6099,1.6485
2020-08-01,1.6489,1.6563,1.6142,1.618
2020-09-01,1.6182,1.6595,1.612,1.6357
2020-10-01,1.6362,1.6832,1.6305,1.6572
2020-11-01,1.6569,1.6644,1.6115,1.6235
2020-12-01,1.6237,1.6423,1.5826,1.5869
2021-01-01,1.5876,1.6033,1.5588,1.5877
2021-02-01,1.5876,1.5939,1.525,1.5666
2021-03-01,1.5658,1.5682,1.5265,1.5432
2021-04-01,1.5443,1.5675,1.5404,1.5582
2021-05-01,1.5574,1.5836,1.5419,1.5802
