Date,Switzerland - SNB policy rate,Switzerland - SNB target range for the 3-month Libor rate in CHF - Lower limit,Switzerland - SNB target range for the 3-month Libor rate in CHF - Upper limit,United States - Fed target range - Lower limit,United States - Fed target range - Upper limit,Euro area/ECB - Main refinancing rate,United Kingdom - Bank of England - Bank rate,Japan - Bank of Japan - Uncollateralized overnight call rate
2000-01-31,,1.25,2.25,5.5,5.5,3.0,5.75,0.0
2000-02-29,,1.75,2.75,5.75,5.75,3.25,6.0,0.0
2000-03-31,,2.5,3.5,6.0,6.0,3.5,6.0,0.0
2000-04-30,,2.5,3.5,6.0,6.0,3.75,6.0,0.0
2000-05-31,,2.5,3.5,6.5,6.5,3.75,6.0,0.0
2000-06-30,,3.0,4.0,6.5,6.5,4.25,6.0,0.0
2000-07-31,,3.0,4.0,6.5,6.5,4.25,6.0,0.0
2000-08-31,,3.0,4.0,6.5,6.5,4.5,6.0,0.25
2000-09-30,,3.0,4.0,6.5,6.5,4.5,6.0,0.25
2000-10-31,,3.0,4.0,6.5,6.5,4.75,6.0,0.25
2000-11-30,,3.0,4.0,6.5,6.5,4.75,6.0,0.25
2000-12-31,,3.0,4.0,6.5,6.5,4.75,6.0,0.25
2001-01-31,,3.0,4.0,5.5,5.5,4.75,6.0,0.25
2001-02-28,,3.0,4.0,5.5,5.5,4.75,5.75,0.15
2001-03-31,,2.75,3.75,5.0,5.0,4.75,5.75,
2001-04-30,,2.75,3.75,4.5,4.5,4.75,5.5,
2001-05-31,,2.75,3.75,4.0,4.0,4.5,5.25,
2001-06-30,,2.75,3.75,3.75,3.75,4.5,5.25,
2001-07-31,,2.75,3.75,3.75,3.75,4.5,5.25,
2001-08-31,,2.75,3.75,3.5,3.5,4.25,5.0,
2001-09-30,,1.75,2.75,3.0,3.0,3.75,4.75,
2001-10-31,,1.75,2.75,2.5,2.5,3.75,4.5,
2001-11-30,,1.75,2.75,2.0,2.0,3.25,4.0,
2001-12-31,,1.25,2.25,1.75,1.75,3.25,4.0,
2002-01-31,,1.25,2.25,1.75,1.75,3.25,4.0,
2002-02-28,,1.25,2.25,1.75,1.75,3.25,4.0,
2002-03-31,,1.25,2.25,1.75,1.75,3.25,4.0,
2002-04-30,,1.25,2.25,1.75,1.75,3.25,4.0,
2002-05-31,,0.75,1.75,1.75,1.75,3.25,4.0,
2002-06-30,,0.75,1.75,1.75,1.75,3.25,4.0,
2002-07-31,,0.25,1.25,1.75,1.75,3.25,4.0,
2002-08-31,,0.25,1.25,1.75,1.75,3.25,4.0,
2002-09-30,,0.25,1.25,1.75,1.75,3.25,4.0,
2002-10-31,,0.25,1.25,1.75,1.75,3.25,4.0,
2002-11-30,,0.25,1.25,1.25,1.25,3.25,4.0,
2002-12-31,,0.25,1.25,1.25,1.25,2.75,4.0,
2003-01-31,,0.25,1.25,1.25,1.25,2.75,4.0,
2003-02-28,,0.25,1.25,1.25,1.25,2.75,3.75,
2003-03-31,,0.0,0.75,1.25,1.25,2.5,3.75,
2003-04-30,,0.0,0.75,1.25,1.25,2.5,3.75,
2003-05-31,,0.0,0.75,1.25,1.25,2.5,3.75,
2003-06-30,,0.0,0.75,1.0,1.0,2.0,3.75,
2003-07-31,,0.0,0.75,1.0,1.0,2.0,3.5,
2003-08-31,,0.0,0.75,1.0,1.0,2.0,3.5,
2003-09-30,,0.0,0.75,1.0,1.0,2.0,3.5,
2003-10-31,,0.0,0.75,1.0,1.0,2.0,3.5,
2003-11-30,,0.0,0.75,1.0,1.0,2.0,3.75,
2003-12-31,,0.0,0.75,1.0,1.0,2.0,3.75,
2004-01-31,,0.0,0.75,1.0,1.0,2.0,3.75,
2004-02-29,,0.0,0.75,1.0,1.0,2.0,4.0,
2004-03-31,,0.0,0.75,1.0,1.0,2.0,4.0,
2004-04-30,,0.0,0.75,1.0,1.0,2.0,4.0,
2004-05-31,,0.0,0.75,1.0,1.0,2.0,4.25,
2004-06-30,,0.0,1.0,1.25,1.25,2.0,4.5,
2004-07-31,,0.0,1.0,1.25,1.25,2.0,4.5,
2004-08-31,,0.0,1.0,1.5,1.5,2.0,4.75,
2004-09-30,,0.25,1.25,1.75,1.75,2.0,4.75,
2004-10-31,,0.25,1.25,1.75,1.75,2.0,4.75,
2004-11-30,,0.25,1.25,2.0,2.0,2.0,4.75,
2004-12-31,,0.25,1.25,2.25,2.25,2.0,4.75,
2005-01-31,,0.25,1.25,2.25,2.25,2.0,4.75,
2005-02-28,,0.25,1.25,2.5,2.5,2.0,4.75,
2005-03-31,,0.25,1.25,2.75,2.75,2.0,4.75,
2005-04-30,,0.25,1.25,2.75,2.75,2.0,4.75,
2005-05-31,,0.25,1.25,3.0,3.0,2.0,4.75,
2005-06-30,,0.25,1.25,3.25,3.25,2.0,4.75,
2005-07-31,,0.25,1.25,3.25,3.25,2.0,4.75,
2005-08-31,,0.25,1.25,3.5,3.5,2.0,4.5,
2005-09-30,,0.25,1.25,3.75,3.75,2.0,4.5,
2005-10-31,,0.25,1.25,3.75,3.75,2.0,4.5,
2005-11-30,,0.25,1.25,4.0,4.0,2.0,4.5,
2005-12-31,,0.5,1.5,4.25,4.25,2.25,4.5,
2006-01-31,,0.5,1.5,4.5,4.5,2.25,4.5,
