Date,Euro Stoxx 50,DAX,TecDAX,CAC 40,IBEX 35,Italy 40
2010-01-03,3017.85,6037.61,862.52,4045.14,12163.0,2329.2
2010-01-10,2940.25,5875.97,841.14,3954.38,11845.0,2296.0
2010-01-17,2836.8,5695.32,808.4,3820.78,11373.4,2207.6
2010-01-24,2776.83,5608.79,807.25,3739.46,10947.7,2141.9
2010-01-31,2631.64,5434.34,775.94,3563.76,10103.3,2036.2
2010-02-07,2674.46,5500.39,780.59,3599.07,10224.9,2057.7
2010-02-14,2793.37,5722.05,816.22,3769.54,10676.7,2129.7
2010-02-21,2728.47,5598.46,788.13,3708.8,10333.6,2060.9
2010-02-28,2877.44,5877.36,823.35,3910.42,11019.8,2179.2
2010-03-07,2898.36,5945.11,833.89,3927.4,11077.0,2207.3
2010-03-14,2897.95,5982.43,818.94,3925.44,10990.8,2219.2
2010-03-21,2940.94,6120.05,826.75,3988.93,11071.1,2256.1
2010-03-28,2978.5,6235.56,825.48,4034.23,11067.9,2270.0
2010-04-04,2993.54,6249.7,835.2,4050.54,11394.2,2260.0
2010-04-11,2949.65,6180.9,837.45,3986.63,11259.7,2250.5
2010-04-18,2918.11,6259.53,839.56,3951.3,10918.2,2223.0
2010-04-25,2816.86,6135.7,803.03,3816.99,10492.2,2109.2
2010-05-02,2500.18,5715.09,746.53,3392.59,9046.1,1843.5
2010-05-09,2633.92,6056.71,772.4,3560.36,9314.7,1935.0
2010-05-16,2574.18,5829.25,725.28,3430.74,9407.3,1911.0
2010-05-23,2614.06,5946.18,742.17,3515.06,9425.5,1905.1
2010-05-30,2553.59,5938.88,746.22,3455.61,8923.4,1832.6
2010-06-06,2638.31,6047.83,764.02,3555.52,9561.7,1923.1
2010-06-13,2737.02,6216.98,777.14,3687.21,9971.8,2030.0
2010-06-20,2629.25,6070.6,751.71,3519.73,9535.0,1952.6
2010-06-27,2522.36,5834.15,725.5,3348.37,9250.8,1865.8
2010-07-04,2681.2,6065.24,773.03,3554.48,10127.3,2003.2
2010-07-11,2645.61,6040.27,775.0,3500.16,9991.7,1972.1
2010-07-18,2719.13,6166.34,786.3,3607.05,10388.2,2015.5
