Date,XAUEUR,EURUSD,EURJPY,EURCAD,EURGBP,EURAUD,EURNZD,EURCHF
2010-01-03,,1.4413,133.53,1.485,0.8994,1.5591,1.9572,1.4751
2010-01-10,,1.4385,130.6,1.4809,0.8846,1.5585,1.9478,1.4767
2010-01-17,,1.4138,127.12,1.4964,0.8779,1.5693,1.9903,1.4726
2010-01-24,,1.3864,125.17,1.4831,0.8664,1.5674,1.9776,1.4706
2010-01-31,,1.3664,122.09,1.4604,0.8739,1.5743,1.9867,1.4664
2010-02-07,,1.3618,122.6,1.4316,0.8678,1.5351,1.9553,1.4662
2010-02-14,,1.3615,124.73,1.4156,0.88,1.5153,1.9474,1.4643
2010-02-21,,1.3626,121.1,1.4343,0.8934,1.5223,1.9522,1.463
2010-02-28,,1.3622,123.0,1.4036,0.9,1.5014,1.9555,1.4632
2010-03-07,,1.3763,124.5,1.4015,0.9062,1.5036,1.9624,1.4565
2010-03-14,,1.3534,122.54,1.3769,0.9016,1.4785,1.911,1.4364
2010-03-21,,1.3413,124.05,1.3777,0.9001,1.4836,1.9069999999999998,1.4281
2010-03-28,,1.3504,127.76,1.3657,0.8879,1.4687,1.9125,1.4329
2010-04-04,,1.3499,125.78,1.3538,0.878,1.4467,1.8857,1.4385
2010-04-11,,1.3499,124.43,1.3668,0.8788,1.4602,1.9057,1.4329
2010-04-18,,1.3386,125.74,1.3381,0.8703,1.4429,1.8661,1.4361
2010-04-25,,1.3298,124.78,1.3531,0.8709,1.4382,1.8287,1.4331
2010-05-02,,1.2762,116.88,1.3306,0.8621,1.4369,1.7865,1.4137
2010-05-09,,1.2363,114.34,1.2799,0.8503,1.3957,1.7475,1.4015
2010-05-16,,1.2573,113.19,1.3318,0.8690000000000001,1.5103,1.8528,1.4451
2010-05-23,,1.227,111.74,1.2933,0.8482,1.4477,1.8055,1.4221
2010-05-30,,1.1976,110.08,1.2725,0.828,1.4546,1.7857,1.3927
2010-06-06,,1.2113,111.01,1.251,0.8329,1.4245,1.7555,1.3921
2010-06-13,,1.2387,112.35,1.2655,0.8354,1.4204,1.7524,1.3731
2010-06-20,,1.2377,110.44,1.2818,0.8216,1.4147,1.7333,1.3528
2010-06-27,,1.2563,110.26,1.3351,0.8264,1.4927,1.8251,1.3351
2010-07-04,,1.2637,111.97,1.3056,0.8388,1.4401,1.7762,1.3367
2010-07-11,,1.2933,112.02,1.368,0.8458,1.4883,1.8198,1.3586
2010-07-18,,1.2907,112.89,1.3374,0.8361,1.4412,1.7746,1.3611
2010-07-25,,1.3048,112.82,1.3436,0.8319,1.4432,1.7973,1.3592
2010-08-01,,1.3285,113.6,1.3652,0.8331,1.4468,1.8115,1.3803
2010-08-08,,1.2752,109.93,1.3294,0.8175,1.4283,1.8068,1.3402
2010-08-15,,1.2708,108.81,1.3315,0.8181,1.4213,1.7984,1.3143
2010-08-22,,1.2765,108.78,1.3419,0.8223,1.4199,1.7958,1.3123
2010-08-29,,1.2896,108.73,1.3397,0.8349,1.4069999999999998,1.7883,1.3113
2010-09-05,,1.268,106.73,1.3151,0.826,1.3684,1.7406,1.2928
2010-09-12,,1.3048,112.03,1.3486,0.8349,1.3937,1.7974,1.3178
2010-09-19,,1.3491,113.6,1.382,0.8527,1.4067,1.838,1.3263
2010-09-26,,1.3792,114.77,1.4069999999999998,0.872,1.4192,1.8525,1.3429
2010-10-03,,1.3943,114.23,1.4094,0.8733,1.4156,1.8445,1.3421
2010-10-10,,1.3979,113.87,1.4118,0.8741,1.411,1.8497,1.3407
2010-10-17,,1.3952,113.53,1.4314,0.8895,1.4197,1.8686,1.3631
2010-10-24,,1.395,112.15,1.4213,0.8697,1.4182,1.8201,1.3701
2010-10-31,,1.4034,114.06,1.4040000000000001,0.8674,1.3809,1.7609,1.3495
2010-11-07,,1.3693,112.98,1.3819,0.8487,1.3880000000000001,1.7679,1.3430000000000002
2010-11-14,,1.3687,114.23,1.3928,0.8561,1.3872,1.7575,1.3565
2010-11-21,,1.3243,111.38,1.3511,0.8492,1.3727,1.7649,1.328
2010-11-28,,1.3415,110.85,1.3466,0.8502,1.3514,1.7514,1.3081
2010-12-05,,1.3234,111.07,1.3363,0.8367,1.3428,1.7689,1.2973
2010-12-12,,1.3182,110.67,1.3355,0.8490000000000001,1.3339,1.7897,1.2795
2010-12-19,,1.3118,108.73,1.3223,0.8496,1.3057,1.7514,1.2631
2010-12-26,,1.3379,108.65,1.3345,0.8575,1.3075,1.7163,1.2495
2011-01-02,,1.2919,107.25,1.2816,0.8299,1.2952,1.6971,1.2487
2011-01-09,,1.3377,111.0,1.3237,0.8432,1.3522,1.7453,1.29
2011-01-16,,1.3618,112.47,1.3539,0.8509,1.376,1.7966,1.3056
2011-01-23,,1.3613,111.8,1.3626,0.8583,1.3706,1.7617,1.2829
2011-01-30,,1.3586,111.66,1.3419999999999999,0.8438,1.3407,1.7667,1.2973
2011-02-06,,1.3549,113.03,1.3388,0.8463,1.351,1.7812,1.3181
2011-02-13,,1.3697,113.81,1.3514,0.8434,1.3503,1.7982,1.2949
2011-02-20,,1.3751,112.34,1.3447,0.8531,1.3515,1.8311,1.2768
2011-02-27,,1.3985,115.06,1.3592,0.8594,1.3783,1.893,1.2944
2011-03-06,,1.391,113.94,1.3519999999999999,0.8649,1.371,1.871,1.2929
2011-03-13,,1.4179,114.29,1.396,0.8732,1.4226,1.9396,1.2777
2011-03-20,,1.4084,114.53,1.3814,0.8781,1.3725,1.8694,1.2957
2011-03-27,,1.4231,119.62,1.3712,0.8831,1.3696,1.8541,1.3147
2011-04-03,,1.4481,122.69,1.3840000000000001,0.8838,1.3708,1.8497,1.3119999999999998
2011-04-10,,1.4432,119.97,1.3853,0.8842,1.3656,1.8053,1.2881
2011-04-17,,1.4556,119.13,1.3899,0.8817,1.3552,1.815,1.2898
2011-04-24,,1.4802,120.24,1.3981,0.8861,1.3496,1.8276,1.2814
2011-05-01,,1.431,115.38,1.3831,0.8742,1.3384,1.8090000000000002,1.2576
2011-05-08,,1.4121,114.09,1.3674,0.8718,1.3355,1.7953,1.2602
2011-05-15,,1.4155,115.66,1.3788,0.8722,1.3279,1.7776,1.2421
2011-05-22,,1.4324,115.73,1.3988,0.8677,1.3385,1.7485,1.2167
2011-05-29,,1.4637,117.5,1.4316,0.8909,1.3659,1.7944,1.22
2011-06-05,,1.4348,115.25,1.4062,0.8838,1.3619,1.7471,1.2096
2011-06-12,,1.4311,114.56,1.4017,0.8836,1.3459999999999999,1.7597,1.215
2011-06-19,1058.38,1.4193,114.16,1.4029,0.8892,1.3519,1.75,1.1828
2011-06-26,1023.41,1.4525,117.41,1.3926,0.9035,1.3477,1.7551,1.2315
2011-07-03,1082.16,1.4269999999999998,115.07,1.3721,0.8885,1.3268,1.7029,1.1934
2011-07-10,1126.34,1.4153,111.98,1.3497,0.8771,1.3294,1.6732,1.1538
2011-07-17,1113.99,1.4356,112.75,1.3612,0.8805,1.3236,1.6602,1.1753
2011-07-24,1129.92,1.4396,110.5,1.3752,0.8767,1.3093,1.6375,1.1309
2011-07-31,1165.81,1.4282,111.97,1.4019,0.8713,1.3677,1.6934,1.0963
2011-08-07,1225.72,1.4249,109.28,1.4065,0.8754,1.376,1.7123,1.1086
2011-08-14,1286.65,1.4398,110.21,1.4255,0.8745,1.3841,1.7597,1.1303
2011-08-21,1261.15,1.4499,111.1,1.4232,0.8856,1.3714,1.7239,1.169
2011-08-28,1326.38,1.4205,109.1,1.4002,0.8759,1.3343,1.6749,1.1198
2011-09-04,1360.73,1.3653,105.92,1.3603,0.8597,1.3034,1.661,1.2067
2011-09-11,1313.06,1.38,105.97,1.3494,0.8740000000000001,1.3317,1.6641,1.2085
2011-09-18,1227.23,1.3498,103.41,1.3878,0.8727,1.3803,1.7377,1.2228
2011-09-25,1213.03,1.3386,103.16,1.4056,0.8589,1.3852,1.7591,1.2155
2011-10-02,1225.53,1.3377,102.64,1.3906,0.8597,1.369,1.7383,1.2403
2011-10-09,1210.6,1.3877,107.17,1.4011,0.8771,1.3415,1.723,1.2374
2011-10-16,1180.93,1.3896,106.01,1.3994,0.871,1.3397,1.7299,1.227
2011-10-23,1231.89,1.4148,107.28,1.4034,0.8777,1.3219999999999998,1.7204,1.2214
2011-10-30,1271.49,1.3796,107.94,1.4057,0.8605,1.3297,1.7377,1.2207
2011-11-06,1300.66,1.3752,106.05,1.3932,0.8556,1.3369,1.7505,1.239
2011-11-13,1274.19,1.351,103.97,1.3881,0.8554,1.3508,1.787,1.239
2011-11-20,1269.61,1.3234,102.9,1.3883,0.8568,1.3643,1.7908,1.2322
2011-11-27,1302.2,1.3403,104.59,1.3664,0.8589,1.3123,1.7266,1.2343
2011-12-04,1278.8,1.3375,103.74,1.3629,0.8542,1.3098,1.7268,1.2366
2011-12-11,1225.83,1.3035,101.41,1.3532,0.8397,1.3077,1.7145,1.2206
2011-12-18,1231.86,1.3043,101.84,1.3305,0.8366,1.2858,1.6848,1.2225
2011-12-25,1208.33,1.2948,99.59,1.3195,0.8329,1.266,1.663,1.2139
2012-01-01,1271.01,1.2721,97.93,1.3078,0.8244,1.2437,1.6295,1.2151
2012-01-08,1293.22,1.2677,97.5,1.2961,0.8269,1.228,1.5955,1.2079
2012-01-15,1288.53,1.2938,99.53,1.3095,0.8306,1.2336,1.6042,1.2084
2012-01-22,1314.32,1.3226,101.42,1.3243,0.8407,1.2416,1.6055,1.2063
2012-01-29,1312.77,1.3144,100.66,1.3066,0.831,1.2205,1.5729,1.2077
2012-02-05,1305.23,1.3175,102.36,1.3212,0.8374,1.2362,1.5949,1.2089
2012-02-12,1309.83,1.3152,104.57,1.3102,0.8307,1.2275,1.5789,1.2084
2012-02-19,1317.92,1.3457,109.02,1.3449,0.8472,1.2579,1.6101,1.2049
2012-02-26,1297.54,1.3203,107.96,1.3054,0.8335,1.2294,1.5917,1.2067
2012-03-04,1306.12,1.3114,108.17,1.3001,0.8369,1.2409,1.5978,1.2058
2012-03-11,1260.51,1.3175,109.94,1.3068,0.8315,1.2436,1.598,1.2062
2012-03-18,1252.93,1.3273,109.3,1.3248,0.8365,1.2685,1.6201,1.2051
2012-03-25,1250.67,1.3344,110.51,1.3316,0.8333,1.2898,1.6303,1.2039
2012-04-01,1251.9,1.3096,106.91,1.3061,0.8244,1.2708,1.5981,1.2009
2012-04-08,1268.59,1.3077,105.84,1.3072,0.8252,1.2605,1.5884,1.2023
2012-04-15,1242.26,1.3224,107.84,1.3114,0.82,1.2736,1.6144,1.2022
2012-04-22,1253.95,1.3255,106.39,1.2996,0.8148,1.2658,1.6115,1.2015
2012-04-29,1255.65,1.3083,104.47,1.3025,0.8098,1.2854,1.6445,1.2014
2012-05-06,1223.23,1.2917,103.28,1.2927,0.8036,1.2891,1.6509,1.2009999999999998
2012-05-13,1246.26,1.2783,101.02,1.3067,0.8082,1.2986,1.689,1.2014
2012-05-20,1257.05,1.2517,99.74,1.2884,0.7993,1.2825,1.6602,1.2009999999999998
2012-05-27,1307.86,1.2435,97.01,1.2938,0.8094,1.2813,1.6465,1.2012
2012-06-03,1273.78,1.2517,99.5,1.2847,0.8089,1.2622,1.625,1.2013
2012-06-10,1287.2,1.2638,99.48,1.2913,0.804,1.2534,1.6042,1.1997
2012-06-17,1250.71,1.2570000000000001,101.09,1.2876,0.8063,1.2489,1.589,1.2006
2012-06-24,1262.71,1.266,101.03,1.2871,0.8059,1.2364,1.5793,1.2009
