Date,XAGUSD,XAGEUR,XAGGBP,XAGCAD,XAGCHF,XAGAUD
2015-12-01,13.83,12.72,9.3697,19.11,13.835999999999999,18.958
2016-01-01,14.259,13.16,10.007,19.92,14.584000000000001,20.121
2016-02-01,14.88,13.7,10.7035,20.17,14.866,20.845
2016-03-01,15.415999999999999,13.55,10.7358,20.05,14.822000000000001,20.128
2016-04-01,17.82,15.55,12.1921,22.37,17.098,23.435
2016-05-01,15.981,14.35,11.0374,20.92,15.875,22.081999999999997
2016-06-01,18.69,16.83,14.0389,24.15,18.24,25.08
2016-07-01,20.31,18.2,15.3723,26.5,19.699,26.756999999999998
2016-08-01,18.61,16.7,14.1868,24.43,18.331,24.8
2016-09-01,19.145,17.01,14.7403,25.11,18.583,24.928
2016-10-01,17.87,16.27,14.5925,23.96,17.672,23.479
2016-11-01,16.48,15.57,13.1836,22.15,16.777,22.316999999999997
2016-12-01,15.934000000000001,15.15,12.9114,21.4,16.218,22.078000000000003
2017-01-01,17.53,16.22,13.9258,22.83,17.331,23.092
2017-02-01,18.305999999999997,17.27,14.7557,24.3,18.371,23.853
2017-03-01,18.22,17.07,14.4823,24.21,18.237000000000002,23.835
2017-04-01,17.19,15.77,13.269,23.46,17.104,22.941
2017-05-01,17.285999999999998,15.37,13.4083,23.33,16.726,23.259
2017-06-01,16.57,14.52,12.7408,21.52,15.905,21.572
2017-07-01,16.79,14.17,12.7028,20.94,16.230999999999998,20.975
2017-08-01,17.566,14.75,13.5834,21.92,16.835,22.101
2017-09-01,16.605,14.05,12.3936,20.7,16.074,21.193
2017-10-01,16.69,14.34,12.5723,21.52,16.659000000000002,21.805999999999997
2017-11-01,16.42,13.77,12.1186,21.14,16.122,21.662
2017-12-01,16.945999999999998,14.12,12.5368,21.31,16.51,21.717
2018-01-01,17.31,13.93,12.1882,21.3,16.11,21.475
2018-02-01,16.405,13.42,11.8936,21.0,15.458,21.085
2018-03-01,16.319000000000003,13.24,11.6398,21.04,15.559000000000001,21.249000000000002
2018-04-01,16.308,13.5,11.8397,20.94,16.153,21.64
2018-05-01,16.35,13.98,12.2905,21.18,16.116,21.598000000000003
2018-06-01,16.08,13.76,12.1726,21.11,15.922,21.709
2018-07-01,15.514000000000001,13.27,11.8166,20.18,15.36,20.877
2018-08-01,14.5,12.49,11.1831,18.9,14.043,20.153
2018-09-01,14.6,12.58,11.2092,18.85,14.345,20.198
2018-10-01,14.220999999999998,12.57,11.1389,18.7,14.339,20.102999999999998
2018-11-01,14.171,12.52,11.1058,18.84,14.152999999999999,19.359
2018-12-01,15.48,13.46,12.1008,21.06,15.155999999999999,21.892
2019-01-01,16.065,14.0,12.2193,21.02,15.929,22.017
2019-02-01,15.603,13.68,11.7301,20.49,15.53,21.928
2019-03-01,15.135,13.49,11.610999999999999,20.2,15.062000000000001,21.32
2019-04-01,14.935,13.31,11.4529,19.98,15.214,21.177
2019-05-01,14.57,13.03,11.5287,19.69,14.58,20.985
2019-06-01,15.307,13.46,12.056,20.04,14.94,21.802
2019-07-01,16.255,14.68,13.3681,21.44,16.156,23.75
2019-08-01,18.35,16.7,15.0987,24.44,18.175,27.248
2019-09-01,16.995,15.58,13.8116,22.48,16.942999999999998,25.151999999999997
2019-10-01,18.125,16.22,13.9794,23.81,17.847,26.244
2019-11-01,17.02,15.41,13.1272,22.54,16.977,25.096
2019-12-01,17.83,15.9,13.4353,23.15,17.256,25.392
2020-01-01,18.031,16.25,13.657,23.86,17.364,26.941
2020-02-01,16.662,15.11,12.9945,22.32,16.082,25.59
2020-03-01,13.97,12.63,11.2149,19.58,13.384,22.698
2020-04-01,15.02,13.65,11.8768,20.86,14.439,22.973000000000003
2020-05-01,17.84,16.07,14.4477,24.56,17.148,26.755
2020-06-01,18.13,16.19,14.6658,24.69,17.227999999999998,26.346999999999998
2020-07-01,24.37,20.66,18.5986,32.65,22.215,34.07
2020-08-01,28.22,23.56,21.0259,36.68,25.406,38.118
2020-09-01,23.21,19.82,17.9757,30.93,21.39,32.426
2020-10-01,23.63,20.28,18.2542,31.47,21.662,33.623000000000005
2020-11-01,22.604,18.95,16.9681,29.39,20.552,30.774
2020-12-01,26.358,21.55,19.2499,33.52,23.305,34.213
2021-01-01,27.000999999999998,22.25,19.7048,34.5,24.039,35.324
2021-02-01,26.62,22.04,19.1016,33.91,24.176,34.54
2021-03-01,24.39,20.79,17.6919,30.63,23.01,32.092
2021-04-01,25.9,21.54,18.7437,31.83,23.654,33.558
2021-05-01,28.051,22.94,19.7336,33.84,25.224,36.27
2021-06-01,27.274,22.5,19.3466,33.04,24.69,35.637
