Date,XAGUSD,XAGEUR,XAGGBP,XAGCAD,XAGCHF,XAGAUD
2010-01-01,16.185,11.67,,17.33,17.177,18.296
2010-02-01,16.475,12.09,,17.34,17.688,18.406
2010-03-01,17.5,12.95,,17.77,18.44,19.086
2010-04-01,18.645,14.02,,18.97,20.094,20.164
2010-05-01,18.57,15.09,,19.41,21.449,21.928
2010-06-01,18.6,15.2,,19.8,20.037,22.131
2010-07-01,17.99,13.79,,18.53,18.74,19.897000000000002
2010-08-01,19.38,15.28,,20.62,19.665,21.72
2010-09-01,21.75,15.96,13.8093,22.38,21.365,22.448
2010-10-01,24.725,17.72,15.3961,25.19,24.285,25.104
2010-11-01,28.085,21.59,18.0136,28.78,28.174,29.191
2010-12-01,30.91,23.11,19.777,30.82,28.875,30.122
2011-01-01,28.055,20.5,17.4958,28.09,26.489,28.116999999999997
2011-02-01,33.825,24.49,20.7849,32.85,31.416999999999998,33.173
2011-03-01,37.65,26.57,23.4487,36.52,34.58,36.379
2011-04-01,47.95,32.38,28.6185,45.14,41.356,43.71
2011-05-01,38.45,26.71,23.3743,37.23,32.821,36.049
2011-06-01,34.65,23.89,21.6009,33.38,29.127,32.323
2011-07-01,39.82,27.66,24.2465,38.03,31.267,36.193000000000005
2011-08-01,41.47,28.83,25.5184,40.55,33.404,38.768
2011-09-01,29.89,22.33,19.1762,31.37,27.136999999999997,30.913
2011-10-01,34.16,24.67,21.2398,34.12,29.969,32.398
2011-11-01,32.81,24.41,20.8981,33.44,29.959,31.916
2011-12-01,27.69,21.39,17.8185,28.22,25.962,27.075
2012-01-01,33.12,25.31,21.0102,33.2,30.478,31.183000000000003
2012-02-01,34.59,25.95,21.7238,34.21,31.26,32.203
2012-03-01,32.22,24.14,20.1174,32.15,29.061999999999998,31.13
2012-04-01,30.95,23.37,19.0649,30.54,28.078000000000003,29.683000000000003
2012-05-01,27.65,22.37,17.9476,28.57,26.868000000000002,28.416999999999998
2012-06-01,27.44,21.67,17.4644,27.89,26.021,26.779
2012-07-01,27.91,22.73,17.835,28.04,27.295,26.631
2012-08-01,31.69,25.19,19.9761,31.27,30.27,30.69
2012-09-01,34.46,26.79,21.3062,33.88,32.369,33.195
2012-10-01,32.21,24.85,19.9641,32.19,30.006999999999998,31.034000000000002
2012-11-01,33.4,25.7,20.8638,33.21,30.976,32.03
2012-12-01,30.31,22.97,18.6672,30.1,27.734,29.139
2013-01-01,31.41,23.12,19.807000000000002,31.32,28.576999999999998,30.1
2013-02-01,28.51,21.8,18.7714,29.34,26.669,27.878
2013-03-01,28.32,22.04,18.5799,28.74,26.822,27.118000000000002
2013-04-01,24.28,18.45,15.6401,24.47,22.576999999999998,23.430999999999997
2013-05-01,22.21,17.08,14.609000000000002,23.03,21.208000000000002,23.198
2013-06-01,19.61,15.07,12.8894,20.63,18.526,21.458000000000002
2013-07-01,19.8,14.88,13.0195,20.34,18.331,22.031999999999996
2013-08-01,23.46,17.74,15.1209,24.72,21.813000000000002,26.351
2013-09-01,21.64,16.0,13.3654,22.31,19.576,23.191
2013-10-01,21.85,16.09,13.623,22.79,19.816,23.105
2013-11-01,19.95,14.68,12.1936,21.18,18.087,21.892
2013-12-01,19.41,14.16,11.7636,20.69,17.385,21.823
2014-01-01,19.1,14.17,11.6213,21.27,17.316,21.84
2014-02-01,21.19,15.32,12.6336,23.41,18.602,23.714000000000002
2014-03-01,19.71,14.33,11.8392,21.8,17.451,21.291
2014-04-01,19.11,13.81,11.3475,20.98,16.862000000000002,20.607
2014-05-01,18.68,13.77,11.2033,20.35,16.797,20.159000000000002
2014-06-01,20.97,15.34,12.2801,22.41,18.632,22.271
2014-07-01,20.35,15.22,12.0677,22.22,18.515,21.919
2014-08-01,19.43,14.79,11.7048,21.13,17.840999999999998,20.796
2014-09-01,16.94,13.42,10.4533,18.98,16.187,19.378
2014-10-01,16.14,12.86,10.0688,18.15,15.511,18.305
2014-11-01,15.41,12.37,9.846,17.59,14.878,18.104
2014-12-01,15.66,12.95,10.0597,18.21,15.578,19.175
2015-01-01,17.22,15.23,11.4126,21.9,15.834000000000001,22.134
2015-02-01,16.6,14.79,10.7275,20.71,15.782,21.193
2015-03-01,16.62,15.49,11.2146,21.08,16.163,21.845
2015-04-01,16.12,14.37,10.5061,19.48,15.038,20.4
2015-05-01,16.695,15.2,10.92,20.78,15.700999999999999,21.840999999999998
2015-06-01,15.74,14.09,9.9911,19.61,14.684000000000001,20.355
2015-07-01,14.77,13.42,9.4394,19.3,14.241,20.183
2015-08-01,14.6,13.01,9.5151,19.18,14.117,20.514
2015-09-01,14.51,12.97,9.583,19.3,14.104000000000001,20.649
2015-10-01,15.52,14.1,10.0583,20.29,15.325999999999999,21.730999999999998
2015-11-01,14.085,13.32,9.3426,18.8,14.470999999999998,19.456
