Date,PHLX Yen,PHLX Swiss Franc,Japan 10Y,Switzerland 10Y
2010-01-03,,97.65,1.369,2.126
2010-01-10,,97.52,1.33,2.0669999999999997
2010-01-17,,96.02,1.335,2.0140000000000002
2010-01-24,,94.3,1.33,2.003
2010-01-31,,93.19,1.364,1.9709999999999999
2010-02-07,,93.06,1.3330000000000002,1.954
2010-02-14,,92.97,1.34,1.9909999999999999
2010-02-21,,93.14,1.3090000000000002,1.916
2010-02-28,,93.12,1.314,1.889
2010-03-07,,94.59,1.35,1.942
2010-03-14,,94.23,1.367,1.946
2010-03-21,,93.83,1.385,1.9240000000000002
2010-03-28,,94.85,1.3630000000000002,1.9240000000000002
2010-04-04,,93.75,1.395,1.9340000000000002
2010-04-11,,94.2,1.35,1.939
2010-04-18,106.42,93.25,1.325,1.89
2010-04-25,106.55,92.78,1.29,1.831
2010-05-02,109.09,90.23,1.2890000000000001,1.6569999999999998
2010-05-09,108.13,88.21,1.296,1.729
2010-05-16,111.1,87.1,1.246,1.5190000000000001
2010-05-23,109.81,86.28,1.26,1.57
2010-05-30,108.81,85.97,1.272,1.5330000000000001
2010-06-06,109.12,87.0,1.236,1.557
2010-06-13,110.23,90.23,1.21,1.619
2010-06-20,112.14,91.5,1.15,1.55
2010-06-27,113.88,94.14,1.1079999999999999,1.475
2010-07-04,112.88,94.5,1.169,1.453
2010-07-11,115.5,95.18,1.0959999999999999,1.4469999999999998
2010-07-18,114.23,94.83,1.075,1.4769999999999999
2010-07-25,115.65,96.0,1.062,1.4809999999999999
2010-08-01,116.88,96.25,1.0659999999999998,1.396
2010-08-08,115.89,95.0,0.985,1.2590000000000001
2010-08-15,116.75,96.58,0.93,1.145
2010-08-22,117.18,97.1,1.01,1.169
2010-08-29,118.46,98.3,1.146,1.265
2010-09-05,118.78,98.05,1.165,1.4880000000000002
2010-09-12,116.54,98.99,1.082,1.455
2010-09-19,118.67,101.51,1.01,1.406
2010-09-26,120.03,102.52,0.965,1.41
2010-10-03,121.83,103.74,0.86,1.393
2010-10-10,122.82,104.31,0.88,1.508
2010-10-17,122.9,102.05,0.88,1.548
2010-10-24,124.27,101.61,0.935,1.535
2010-10-31,123.05,104.01,0.9309999999999999,1.4609999999999999
2010-11-07,121.32,102.0,1.003,1.544
2010-11-14,119.8,100.81,1.088,1.554
2010-11-21,118.98,99.78,1.195,1.679
2010-11-28,120.89,102.52,1.21,1.72
2010-12-05,119.12,102.01,1.2,1.758
2010-12-12,119.23,103.08,1.204,1.911
2010-12-19,120.55,104.3,1.158,1.715
2010-12-26,123.24,107.08,1.1159999999999999,1.7630000000000001
2011-01-02,120.43,103.41,1.204,1.778
2011-01-09,120.49,103.69,1.2009999999999998,1.874
2011-01-16,121.1,104.34,1.2109999999999999,1.899
2011-01-23,121.76,106.17,1.218,1.857
2011-01-30,121.66,104.75,1.2819999999999998,1.912
2011-02-06,119.83,102.75,1.306,1.919
2011-02-13,120.34,105.73,1.31,1.916
2011-02-20,122.46,107.72,1.247,1.886
2011-02-27,121.49,108.0,1.3,1.859
2011-03-06,122.16,107.56,1.2830000000000001,1.827
2011-03-13,124.01,110.8,1.21,1.79
2011-03-20,122.92,108.7,1.217,1.854
2011-03-27,118.88,108.28,1.285,1.992
2011-04-03,117.99,110.23,1.3230000000000002,2.119
2011-04-10,120.2,112.07,1.285,2.088
2011-04-17,122.17,112.83,1.217,2.061
2011-04-24,123.11,115.11,1.206,2.035
