Date,US Dollar Index,PHLX Canadian Dollar,U.S. 10Y,Canada 10Y
2010-01-01,79.46,93.43,3.588,3.3510000000000004
2010-02-01,80.36,95.08,3.6189999999999998,3.389
2010-03-01,81.07,98.5,3.833,3.5660000000000003
2010-04-01,81.87,98.24,3.659,3.65
2010-05-01,86.59,94.84,3.303,3.3539999999999996
2010-06-01,86.02,93.95,2.935,3.0869999999999997
2010-07-01,81.54,97.12,2.905,3.113
2010-08-01,83.2,93.97,2.47,2.7760000000000002
2010-09-01,78.72,97.16,2.512,2.76
2010-10-01,77.27,98.04,2.603,2.805
2010-11-01,81.19,97.45,2.7969999999999997,3.06
2010-12-01,79.03,100.2,3.2880000000000003,3.117
2011-01-01,77.74,99.99,3.3739999999999997,3.293
2011-02-01,76.89,102.9,3.4219999999999997,3.298
2011-03-01,75.86,103.06,3.47,3.353
2011-04-01,72.93,105.8,3.29,3.213
2011-05-01,74.64,103.23,3.0589999999999997,3.077
2011-06-01,74.3,103.79,3.16,3.1260000000000003
2011-07-01,73.9,104.77,2.793,2.787
2011-08-01,74.12,102.27,2.234,2.4930000000000003
2011-09-01,78.55,95.24,1.9169999999999998,2.157
2011-10-01,76.17,99.97,2.116,2.285
2011-11-01,78.38,98.17,2.072,2.15
2011-12-01,80.18,97.92,1.876,1.944
2012-01-01,79.29,99.73,1.795,1.893
2012-02-01,78.74,101.11,1.974,1.986
2012-03-01,79.0,100.21,2.214,2.109
2012-04-01,78.78,101.29,1.919,2.037
2012-05-01,83.04,96.75,1.5630000000000002,1.74
2012-06-01,81.63,98.37,1.643,1.7369999999999999
2012-07-01,82.64,99.69,1.47,1.676
2012-08-01,81.21,101.45,1.548,1.776
2012-09-01,79.93,101.67,1.633,1.7280000000000002
2012-10-01,79.92,100.02,1.694,1.7830000000000001
2012-11-01,80.15,100.57,1.6159999999999999,1.7009999999999998
2012-12-01,79.77,100.78,1.757,1.804
2013-01-01,79.21,100.3,1.985,1.994
2013-02-01,81.95,97.04,1.881,1.84
2013-03-01,83.22,98.37,1.8519999999999999,1.875
2013-04-01,81.75,99.29,1.673,1.6969999999999998
2013-05-01,83.26,96.42,2.1319999999999997,2.068
2013-06-01,83.14,95.13,2.487,2.4419999999999997
2013-07-01,81.45,97.32,2.588,2.455
2013-08-01,82.09,94.91,2.7889999999999997,2.62
2013-09-01,80.22,96.96,2.615,2.542
2013-10-01,80.19,95.86,2.552,2.423
2013-11-01,80.68,94.22,2.7460000000000004,2.55
2013-12-01,80.04,94.16,3.0260000000000002,2.7739999999999996
