Date,US Coffee C,US Cotton #2,US Sugar #11,Orange Juice,US Cocoa,Lumber,London Cocoa,London Coffee,London Sugar
2010-01-03,145.35,75.7,27.53,146.7,3296.0,209.0,2270.0,1360.0,726.2
2010-01-10,140.75,72.55,27.62,131.75,3400.0,229.9,2305.0,1336.0,723.6
2010-01-17,139.6,72.05,28.78,138.65,3425.0,250.4,2340.0,1325.0,747.0
2010-01-24,131.7,69.17,29.9,136.1,3184.0,248.5,2233.0,1295.0,742.9
2010-01-31,128.8,,26.17,133.95,2972.0,271.1,2205.0,1295.0,724.5
2010-02-07,132.75,66.7,26.95,135.35,3093.0,270.9,2286.0,1297.0,741.2
2010-02-14,134.75,74.95,26.8,136.7,3098.0,268.3,2263.0,1269.0,706.3
2010-02-21,129.05,79.02,24.13,143.65,2917.0,257.0,2181.0,1238.0,669.9
2010-02-28,128.0,82.55,22.19,152.7,2855.0,257.0,2156.0,1200.0,609.5
2010-03-07,130.15,82.39,19.67,151.85,2910.0,267.2,2203.0,1203.0,540.9
2010-03-14,130.3,80.63,18.64,145.55,2834.0,288.2,2198.0,1226.0,528.1
2010-03-21,135.85,82.04,17.0,136.2,2854.0,290.0,2216.0,1307.0,486.0
2010-03-28,137.4,79.82,16.7,135.35,2990.0,287.0,2251.0,1356.0,481.6
2010-04-04,132.7,81.64,16.39,129.8,2856.0,296.5,2131.0,1340.0,500.3
2010-04-11,129.1,79.65,15.95,130.3,2965.0,315.0,2180.0,1345.0,486.3
2010-04-18,131.8,81.57,15.66,134.35,3182.0,315.5,2305.0,1297.0,481.8
2010-04-25,135.2,85.77,15.05,134.35,3229.0,291.5,2370.0,1292.0,470.1
2010-05-02,133.0,84.26,13.75,132.5,3000.0,272.6,2329.0,1331.0,437.8
2010-05-09,134.25,80.53,14.13,142.6,2812.0,263.0,2218.0,1328.0,466.0
2010-05-16,132.4,80.9,15.65,146.7,2895.0,239.4,2315.0,1289.0,503.7
2010-05-23,134.25,82.93,14.19,142.9,2965.0,225.5,2420.0,1301.0,468.6
2010-05-30,133.75,80.01,14.52,136.2,2919.0,228.0,2559.0,1336.0,468.2
2010-06-06,144.95,77.29,15.83,141.65,2919.0,204.0,2458.0,1560.0,524.0
2010-06-13,160.25,81.5,15.58,142.5,2932.0,196.8,2456.0,1543.0,510.4
2010-06-20,167.0,78.37,17.29,142.9,3092.0,188.9,2554.0,1671.0,544.1
2010-06-27,162.3,78.1,16.7,151.2,2921.0,206.0,2555.0,1729.0,560.8
2010-07-04,161.2,78.08,16.61,137.5,2963.0,198.2,2613.0,1682.0,606.5
2010-07-11,164.8,79.9,17.11,140.15,3165.0,206.9,2445.0,1741.0,582.7
2010-07-18,166.0,80.46,18.26,145.65,2966.0,209.5,2297.0,1710.0,559.2
2010-07-25,176.3,82.68,19.57,146.6,3091.0,209.0,2273.0,1741.0,585.7
2010-08-01,167.4,,18.24,144.0,3006.0,201.0,2193.0,1718.0,539.8
2010-08-08,175.5,88.0,19.42,137.95,2854.0,202.0,2109.0,1731.0,549.9
2010-08-15,181.55,87.19,19.95,134.8,2790.0,219.5,2061.0,1751.0,575.4
2010-08-22,177.05,89.02,19.96,134.5,2675.0,211.5,1981.0,1597.0,577.3
2010-08-29,185.05,90.85,20.6,139.05,2727.0,207.5,1953.0,1604.0,592.3
2010-09-05,188.25,91.31,22.73,147.65,2595.0,223.0,1839.0,1565.0,635.2
2010-09-12,187.85,,24.61,149.9,2746.0,218.0,1884.0,1660.0,608.3
2010-09-19,180.6,98.72,25.44,158.2,2794.0,240.5,1883.0,1716.0,633.1
2010-09-26,181.1,100.27,23.36,155.65,2783.0,220.0,1868.0,1725.0,620.1
2010-10-03,182.15,97.79,26.32,153.75,2803.0,233.0,1870.0,1655.0,677.6
2010-10-10,186.4,107.34,27.06,145.85,2805.0,243.3,1850.0,1651.0,696.2
2010-10-17,198.85,109.83,28.22,147.75,2846.0,242.0,1925.0,1804.0,706.9
2010-10-24,203.45,119.73,29.12,161.7,2797.0,257.0,1856.0,1965.0,722.6
2010-10-31,205.15,124.62,31.76,162.25,2734.0,263.7,1786.0,1972.0,776.1
2010-11-07,200.45,142.27,26.21,156.0,2735.0,273.0,1800.0,1885.0,709.1
2010-11-14,209.85,140.08,26.15,151.65,2826.0,255.2,1881.0,1889.0,679.1
2010-11-21,202.15,123.08,28.25,151.35,2756.0,250.0,1870.0,1800.0,718.4
2010-11-28,204.5,112.21,29.5,156.8,2905.0,249.3,1954.0,1864.0,740.0
2010-12-05,209.35,136.74,29.13,160.6,2857.0,266.5,1899.0,1921.0,722.5
2010-12-12,225.25,,32.5,156.6,2951.0,298.5,1983.0,1973.0,790.7
2010-12-19,235.9,150.56,33.98,169.1,3020.0,308.8,2036.0,1970.0,820.4
2010-12-26,240.5,148.06,32.12,172.35,3035.0,302.0,2017.0,2082.0,777.5
2011-01-02,230.7,143.7,31.53,188.6,2850.0,305.0,1928.0,2018.0,765.1
2011-01-09,234.6,140.31,30.89,173.05,3019.0,288.0,2006.0,2121.0,773.0
2011-01-16,240.4,156.97,32.33,174.0,3184.0,313.4,2148.0,2140.0,790.7
2011-01-23,245.0,,33.94,165.9,3277.0,315.0,2164.0,2100.0,814.4
2011-01-30,249.3,165.36,32.64,172.6,3251.0,301.5,2139.0,2207.0,794.4
2011-02-06,251.95,168.05,31.3,165.25,3374.0,313.2,2223.0,2216.0,773.8
2011-02-13,271.65,186.3,31.02,178.2,3546.0,306.0,2280.0,2288.0,720.6
2011-02-20,267.7,194.99,31.52,183.35,3698.0,290.1,2378.0,2288.0,726.4
2011-02-27,272.9,184.04,29.88,175.25,3697.0,303.2,2353.0,2349.0,735.7
2011-03-06,273.7,212.71,28.86,168.6,3460.0,285.0,2216.0,2380.0,720.0
2011-03-13,276.8,204.9,27.71,163.45,3127.0,319.4,2003.0,2550.0,710.6
2011-03-20,268.6,199.81,27.86,162.45,3242.0,319.4,2111.0,2540.0,711.8
2011-03-27,259.9,204.62,27.44,162.9,3011.0,297.0,1947.0,2421.0,713.2
2011-04-03,274.95,195.77,25.66,166.75,2974.0,257.2,1898.0,2468.0,699.7
2011-04-10,288.1,203.49,24.59,169.6,3239.0,250.3,1972.0,2462.0,697.9
2011-04-17,291.3,177.3,25.48,169.4,3130.0,231.0,1874.0,2408.0,639.1
2011-04-24,299.35,168.0,23.38,176.55,3390.0,237.0,1975.0,2531.0,615.1
2011-05-01,287.05,,20.47,175.0,3137.0,231.1,1866.0,2590.0,582.0
2011-05-08,269.3,146.46,21.45,182.85,3000.0,213.0,1857.0,2520.0,602.8
2011-05-15,259.15,145.93,22.41,181.75,2902.0,227.2,1816.0,2534.0,625.3
2011-05-22,263.7,156.12,22.99,185.35,2969.0,238.7,1813.0,2575.0,658.3
2011-05-29,270.95,153.53,23.95,181.9,2878.0,227.0,1779.0,2489.0,693.4
2011-06-05,264.95,161.14,25.64,184.9,2997.0,226.5,1848.0,2462.0,723.5
2011-06-12,249.55,149.98,26.37,181.45,2917.0,223.6,1822.0,2302.0,727.6
2011-06-19,249.0,130.13,27.54,199.05,2958.0,236.0,1869.0,2282.0,734.6
2011-06-26,263.45,126.88,27.25,198.05,3137.0,244.0,1963.0,2427.0,769.6
2011-07-03,263.15,121.43,29.36,204.0,3099.0,248.8,1926.0,2397.0,818.3
2011-07-10,252.55,116.49,28.97,197.35,3168.0,258.0,1992.0,2231.0,846.4
2011-07-17,241.5,102.16,31.34,197.3,3065.0,259.2,1901.0,2029.0,812.7
2011-07-24,239.55,99.19,29.81,199.75,2974.0,248.5,1852.0,2039.0,777.4
2011-07-31,238.0,100.55,27.54,181.15,2936.0,223.9,1852.0,2062.0,730.1
2011-08-07,240.35,100.76,27.84,166.5,2879.0,224.0,1838.0,2248.0,743.5
2011-08-14,266.15,100.86,30.96,175.15,2998.0,216.5,1871.0,2270.0,786.9
