Date,XAUEUR,EURUSD,EURJPY,EURCAD,EURGBP,EURAUD,EURNZD,EURCHF
2010-01-01,,1.4326,133.26,1.5071,0.8859999999999999,1.5966,1.9733,1.4825
2010-01-04,,1.4413,133.44,1.5013,0.8953,1.5791,1.9625,1.4848
2010-01-05,,1.4369,131.77,1.4935,0.8982,1.5755,1.9563,1.4856
2010-01-06,,1.4413,133.09,1.4869,0.8993,1.5664,1.9526,1.4809999999999999
2010-01-07,,1.4318,133.59,1.4813,0.8984,1.5619999999999998,1.9551,1.4803
2010-01-08,,1.4413,133.53,1.485,0.8994,1.5591,1.9572,1.4751
2010-01-11,,1.4514,133.61,1.5003,0.9012,1.5581,1.9531,1.475
2010-01-12,,1.4495,131.84,1.5071,0.8961,1.5747,1.9614,1.4754
2010-01-13,,1.4512,132.64,1.4962,0.8909999999999999,1.57,1.9609999999999999,1.4775
2010-01-14,,1.4503,132.24,1.4843,0.8881,1.5567,1.9528,1.4769
2010-01-15,,1.4385,130.6,1.4809,0.8846,1.5585,1.9478,1.4767
2010-01-18,,1.4386,130.59,1.4765,0.8806,1.5528,1.9459,1.4742
2010-01-19,,1.4301,130.29,1.4739,0.8735,1.5461,1.9346,1.4759
2010-01-20,,1.4101,128.69,1.4754,0.8658,1.5514,1.959,1.4724
2010-01-21,,1.4091,127.43,1.4828,0.87,1.5641,1.9834,1.4691
2010-01-22,,1.4138,127.12,1.4964,0.8779,1.5693,1.9903,1.4726
2010-01-25,,1.4152,127.69,1.4975,0.8714,1.5652,1.982,1.4715
2010-01-26,,1.4076,126.18,1.4956,0.872,1.5662,1.9885,1.4728
2010-01-27,,1.4019,126.22,1.4915,0.8673,1.5666,1.9857,1.4722
2010-01-28,,1.3963,125.53,1.4893,0.866,1.5623,1.9826,1.4695
2010-01-29,,1.3864,125.17,1.4831,0.8664,1.5674,1.9776,1.4706
2010-02-01,,1.3929,126.26,1.4792,0.8728,1.5621,1.964,1.4708
2010-02-02,,1.3963,126.2,1.4772,0.8739,1.5754,1.9609,1.4735
2010-02-03,,1.3899,126.47,1.4764,0.8740000000000001,1.5742,1.9642,1.4718
2010-02-04,,1.3736,122.21,1.4729,0.872,1.5889,2.0002,1.4644
2010-02-05,,1.3664,122.09,1.4604,0.8739,1.5743,1.9867,1.4664
2010-02-08,,1.3653,121.94,1.4682,0.8753,1.5792,1.9979,1.4652
2010-02-09,,1.379,123.62,1.4721,0.8777,1.57,1.9838,1.4674
2010-02-10,,1.3727,123.52,1.4591,0.8809999999999999,1.5686,1.9812,1.4661
2010-02-11,,1.3682,122.79,1.4379,0.872,1.5358,1.9492,1.4659
2010-02-12,,1.3618,122.6,1.4316,0.8678,1.5351,1.9553,1.4662
2010-02-15,,1.3599,122.38,1.4268,0.8684,1.5295,1.9503,1.4655
2010-02-16,,1.3769,124.08,1.4377,0.8721,1.5265,1.9466,1.4680000000000002
2010-02-17,,1.3606,124.27,1.423,0.8679,1.5122,1.9336,1.4671
2010-02-18,,1.3617,124.22,1.4183,0.8714,1.5099,1.9291,1.4669
2010-02-19,,1.3615,124.73,1.4156,0.88,1.5153,1.9474,1.4643
2010-02-22,,1.3598,123.92,1.4177,0.8782,1.5105,1.9394,1.4632
2010-02-23,,1.3506,121.88,1.4262,0.8764,1.5179,1.9518,1.4641
2010-02-24,,1.3531,122.05,1.4266,0.8784,1.5156,1.9533,1.4631
2010-02-25,,1.3556,120.74,1.4374,0.8878,1.5254,1.9603,1.464
2010-02-26,,1.3626,121.1,1.4343,0.8934,1.5223,1.9522,1.463
2010-03-01,,1.3561,120.82,1.4135,0.9044,1.5046,1.9388,1.4635
2010-03-02,,1.3605,120.76,1.4097,0.9094,1.506,1.9548,1.4636
2010-03-03,,1.37,121.18,1.4127,0.9071,1.5129,1.9732,1.4623
2010-03-04,,1.358,120.98,1.4004,0.9033,1.5078,1.9779,1.4628
2010-03-05,,1.3622,123.0,1.4036,0.9,1.5014,1.9555,1.4632
2010-03-08,,1.3630000000000002,123.03,1.4011,0.9049,1.499,1.9473,1.4642
2010-03-09,,1.3601,122.37,1.396,0.9068,1.4885,1.9352,1.4626
2010-03-10,,1.3659999999999999,123.61,1.4009,0.9119,1.4934,1.9461,1.4617
2010-03-11,,1.3679,123.82,1.4012,0.9082,1.4946,1.952,1.4615
2010-03-12,,1.3763,124.5,1.4015,0.9062,1.5036,1.9624,1.4565
2010-03-15,,1.3676,123.8,1.3933,0.9085,1.4953,1.9481,1.4522
2010-03-16,,1.3772,124.37,1.3965,0.9031,1.4981,1.9348,1.4522
2010-03-17,,1.3738,124.04,1.3871,0.897,1.4882,1.9249,1.4478
2010-03-18,,1.3607,122.94,1.38,0.8924,1.4776,1.9051,1.4394
2010-03-19,,1.3534,122.54,1.3769,0.9016,1.4785,1.911,1.4364
2010-03-22,,1.3556,122.16,1.3802,0.8978,1.4776,1.9188,1.4346
2010-03-23,,1.35,122.11,1.3718,0.8977,1.4697,1.9091,1.4276
2010-03-24,,1.3314,122.83,1.3658,0.8954,1.4678,1.8977,1.4289
2010-03-25,,1.3279,123.11,1.3605,0.8965,1.4629,1.8863,1.4263
2010-03-26,,1.3413,124.05,1.3777,0.9001,1.4836,1.9069999999999998,1.4281
2010-03-29,,1.3478,124.62,1.3764,0.8993,1.469,1.8998,1.4323
2010-03-30,,1.3413,124.55,1.3683,0.8902,1.4608,1.8888,1.431
2010-03-31,,1.3512,126.31,1.3719999999999999,0.89,1.4735,1.9017,1.4241
2010-04-01,,1.3582,127.5,1.37,0.8881,1.4752,1.9181,1.4321
2010-04-02,,1.3504,127.76,1.3657,0.8879,1.4687,1.9125,1.4329
2010-04-05,,1.3486,127.19,1.3506,0.882,1.463,1.9161,1.4325
2010-04-06,,1.3399,125.63,1.3416,0.8775,1.4439,1.8985,1.432
2010-04-07,,1.334,124.56,1.3413,0.8755,1.4391,1.8862,1.4331
2010-04-08,,1.3359999999999999,124.78,1.3387,0.8746,1.4379,1.889,1.4335
2010-04-09,,1.3499,125.78,1.3538,0.878,1.4467,1.8857,1.4385
2010-04-12,,1.3586,126.67,1.3630000000000002,0.884,1.4665,1.9097,1.4397
2010-04-13,,1.3607,126.91,1.3626,0.8851,1.4661,1.9095,1.4352
2010-04-14,,1.3653,127.28,1.3639,0.8826,1.46,1.9097,1.4366
2010-04-15,,1.358,126.36,1.3607,0.8762,1.4526,1.9062,1.4339
2010-04-16,,1.3499,124.43,1.3668,0.8788,1.4602,1.9057,1.4329
2010-04-19,,1.3485,124.67,1.3683,0.8792,1.4594,1.8934,1.4339
2010-04-20,,1.3438,125.31,1.3413,0.8742,1.4414,1.8881,1.4362
2010-04-21,,1.3387,124.68,1.3384,0.8690000000000001,1.4461,1.8871,1.4335
2010-04-22,,1.3293,124.22,1.3296,0.8638,1.4335,1.8706,1.4332
2010-04-23,,1.3386,125.74,1.3381,0.8703,1.4429,1.8661,1.4361
2010-04-26,,1.3397,125.88,1.3405,0.8669,1.4455,1.8523,1.4362
2010-04-27,,1.3165,122.61,1.3396,0.8634,1.4392,1.8511,1.4332
2010-04-28,,1.3214,124.28,1.3341,0.8693,1.4280000000000002,1.8412,1.4343
2010-04-29,,1.3225,124.34,1.3304,0.8631,1.4262,1.8279,1.4340000000000002
2010-04-30,,1.3298,124.78,1.3531,0.8709,1.4382,1.8287,1.4331
2010-05-03,,1.3194,124.75,1.3336,0.8654,1.4239,1.8054,1.4327
2010-05-04,,1.2982,122.84,1.3301,0.8577,1.4287,1.8027,1.4325
2010-05-05,,1.2814,120.32,1.3209,0.8486,1.4161,1.7843,1.4329
2010-05-06,,1.2656,114.61,1.3294,0.8571,1.4293,1.7806,1.4066
2010-05-07,,1.2762,116.88,1.3306,0.8621,1.4369,1.7865,1.4137
2010-05-10,,1.2782,119.26,1.3079,0.8609,1.4155,1.7688,1.4192
2010-05-11,,1.2655,117.31,1.2932,0.8461,1.4146,1.7667,1.4069
2010-05-12,,1.2622,117.62,1.2867,0.8513,1.4123,1.7704,1.4024
2010-05-13,,1.253,116.12,1.2788,0.8578,1.3994,1.7547,1.401
2010-05-14,,1.2363,114.34,1.2799,0.8503,1.3957,1.7475,1.4015
2010-05-17,,1.2395,114.75,1.278,0.856,1.413,1.7776,1.4023
2010-05-18,,1.2183,112.24,1.2672,0.8518,1.4121,1.7623,1.4006
2010-05-19,,1.2429,113.92,1.2967,0.8599,1.4662,1.8305,1.4289
