Date,Euro Stoxx 50,DAX,TecDAX,CAC 40,IBEX 35,Italy 40
2010-01-01,2776.83,5608.79,807.25,3739.46,10947.7,2141.9
2010-02-01,2728.47,5598.46,788.13,3708.8,10333.6,2060.9
2010-03-01,2931.16,6153.55,815.97,3974.01,10871.3,2235.0
2010-04-01,2816.86,6135.7,803.03,3816.99,10492.2,2109.2
2010-05-01,2610.26,5964.33,747.94,3507.56,9359.4,1911.8
2010-06-01,2573.32,5965.52,734.48,3442.89,9263.4,1889.0
2010-07-01,2742.14,6147.97,764.89,3643.14,10499.8,2056.3
2010-08-01,2622.95,5925.22,741.85,3490.79,10187.0,1930.4
2010-09-01,2747.9,6229.02,781.47,3715.18,10514.5,2005.8
2010-10-01,2844.99,6601.37,825.09,3833.5,10812.9,2098.3
2010-11-01,2650.99,6688.49,768.51,3610.44,9267.2,1868.9
2010-12-01,2792.82,6914.19,850.67,3804.78,9859.1,1973.3
2011-01-01,2953.63,7077.48,867.75,4005.5,10806.0,2156.9
2011-02-01,3013.09,7272.32,901.79,4110.35,10850.8,2197.6
2011-03-01,2910.91,7041.31,930.61,3989.18,10576.5,2125.3
2011-04-01,3011.25,7514.46,935.1,4106.92,10878.9,2192.9
2011-05-01,2861.92,7293.69,916.68,4006.94,10476.0,2064.9
2011-06-01,2848.53,7376.24,893.78,3982.21,10359.9,1974.7
2011-07-01,2670.37,7158.77,820.7,3671.28,9630.7,1803.2
2011-08-01,2302.08,5784.85,753.96,3256.76,8718.6,1522.4
2011-09-01,2179.66,5502.02,662.63,2981.96,8546.6,1451.3
2011-10-01,2385.22,6141.34,705.68,3242.84,8954.9,1566.8
2011-11-01,2330.43,6088.84,704.84,3154.62,8449.5,1493.6
2011-12-01,2316.55,5898.35,685.06,3159.81,8566.3,1476.1
2012-01-01,2416.66,6458.91,743.86,3298.55,8509.2,1548.3
2012-02-01,2512.11,6856.08,771.96,3452.45,8465.9,1599.5
2012-03-01,2477.28,6946.83,789.87,3423.81,8008.0,1563.1
