Date,PHLX Yen,PHLX Swiss Franc,Japan 10Y,Switzerland 10Y
2010-01-04,108.08,97.11,1.329,2.068
2010-01-05,108.98,96.7,1.338,2.105
2010-01-06,108.31,97.31,1.3419999999999999,2.115
2010-01-07,106.87,96.67,1.3519999999999999,2.105
2010-01-08,107.91,97.65,1.369,2.126
2010-01-11,108.59,98.43,,2.12
2010-01-12,109.84,98.2,1.3519999999999999,2.094
2010-01-13,109.45,98.18,1.345,2.041
2010-01-14,109.64,98.14,1.338,2.051
2010-01-15,110.16,97.52,1.33,2.0669999999999997
2010-01-18,,,1.318,2.062
2010-01-19,109.74,96.88,1.334,2.051
2010-01-20,109.6,95.75,1.338,2.003
2010-01-21,110.59,95.92,1.3459999999999999,2.024
2010-01-22,111.32,96.02,1.335,2.0140000000000002
2010-01-25,110.76,96.14,1.339,2.03
2010-01-26,111.53,95.58,1.329,2.0140000000000002
2010-01-27,111.15,95.24,1.306,2.008
2010-01-28,111.22,95.04,1.317,1.9969999999999999
2010-01-29,110.83,94.3,1.33,2.003
2010-02-01,110.33,94.71,1.337,2.013
2010-02-02,110.64,94.76,1.355,2.013
2010-02-03,109.92,94.38,1.365,2.013
2010-02-04,112.41,93.7,1.379,1.992
2010-02-05,112.06,93.19,1.364,1.9709999999999999
2010-02-08,112.04,93.11,1.36,1.949
2010-02-09,111.38,93.97,1.347,1.9340000000000002
2010-02-10,111.11,93.65,1.334,1.939
2010-02-11,111.48,93.38,,1.939
2010-02-12,111.14,93.06,1.3330000000000002,1.954
2010-02-15,,,1.3319999999999999,1.9380000000000002
2010-02-16,110.86,93.8,1.331,1.933
2010-02-17,109.62,92.72,1.331,1.9169999999999998
2010-02-18,108.75,92.23,1.3230000000000002,1.954
2010-02-19,109.26,92.97,1.34,1.9909999999999999
2010-02-22,109.72,92.98,1.348,
2010-02-23,110.86,92.28,1.338,1.959
2010-02-24,110.9,92.52,1.324,1.9480000000000002
