Date,PHLX Australian Dollar,PHLX New Zealand Dollar,Australia 10Y,New Zealand 10Y
2010-01-01,88.35,70.1,5.45,5.955
2010-02-01,89.57,69.85,5.5,5.795
2010-03-01,91.68,71.04,5.792999999999999,6.01
2010-04-01,92.46,72.71,5.715,5.94
2010-05-01,84.71,67.88,5.3870000000000005,5.59
2010-06-01,84.01,68.48,5.1080000000000005,5.365
2010-07-01,90.41,72.6,5.205,5.35
2010-08-01,89.05,69.91,4.773,5.16
2010-09-01,96.99,73.43,4.985,5.04
2010-10-01,97.97,76.25,5.1979999999999995,5.26
2010-11-01,95.81,74.21,5.42,5.685
2010-12-01,102.32,78.03,5.515,5.9
2011-01-01,99.74,77.26,5.4879999999999995,5.5
2011-02-01,101.84,75.33,5.472,5.565
2011-03-01,103.3,76.15,5.5120000000000005,5.68
2011-04-01,109.72,80.93,5.445,5.465
2011-05-01,106.68,82.36,5.218,5.14
2011-06-01,107.22,82.92,5.242000000000001,5.1
2011-07-01,110.01,87.97,4.835,4.96
2011-08-01,107.02,85.39,4.395,4.55
2011-09-01,97.05,76.37,4.25,4.455
2011-10-01,105.46,80.87,4.535,4.525
2011-11-01,102.63,77.96,3.965,4.055
2011-12-01,102.23,77.79,3.8,3.85
2012-01-01,106.17,82.47,3.865,3.87
2012-02-01,107.66,83.76,4.1080000000000005,4.115
2012-03-01,103.59,81.91,4.082,4.09
2012-04-01,104.21,81.76,3.705,3.83
2012-05-01,97.39,75.35,2.908,3.475
2012-06-01,102.42,80.21,3.088,3.485
2012-07-01,105.14,81.05,3.02,3.525
2012-08-01,103.26,80.32,3.043,3.488
2012-09-01,103.8,82.95,3.043,3.47
2012-10-01,103.79,82.23,3.1319999999999997,3.495
2012-11-01,104.25,81.99,3.168,3.51
2012-12-01,103.96,82.76,3.285,3.653
2013-01-01,104.41,84.02,3.455,3.725
2013-02-01,102.27,82.75,3.3680000000000003,3.762
2013-03-01,104.11,83.66,3.425,3.523
2013-04-01,103.73,85.66,3.092,3.2
2013-05-01,95.77,79.48,3.3760000000000003,3.61
2013-06-01,91.5,77.45,3.77,4.16
2013-07-01,89.91,79.98,3.734,4.245
2013-08-01,89.02,77.35,3.9130000000000003,4.59
2013-09-01,93.32,83.17,3.8960000000000004,4.59
2013-10-01,94.58,82.64,4.044,4.575
2013-11-01,91.08,81.31,4.239,4.8
2013-12-01,89.18,82.24,4.2410000000000005,4.755
2014-01-01,87.56,80.86,4.0360000000000005,4.59
2014-02-01,89.22,83.9,4.033,4.58
2014-03-01,92.69,86.74,4.098,4.615
2014-04-01,92.86,86.16,3.965,4.43
2014-05-01,93.1,85.0,3.682,4.275
2014-06-01,94.32,87.59,3.5460000000000003,4.44
2014-07-01,92.96,84.97,3.522,4.3
2014-08-01,93.39,83.63,3.3,4.08
2014-09-01,87.46,78.06,3.4810000000000003,4.165
2014-10-01,87.99,77.9,3.2910000000000004,4.015
2014-11-01,85.06,78.42,3.0580000000000003,3.92
2014-12-01,81.68,77.97,2.83,3.67
2015-01-01,77.69,72.61,2.474,3.195
2015-02-01,78.12,75.64,2.485,3.31
2015-03-01,76.07,74.74,2.331,3.25
2015-04-01,79.12,76.21,2.662,3.475
2015-05-01,76.44,71.07,2.738,3.65
2015-06-01,77.05,67.68,2.99,3.64
2015-07-01,73.09,65.93,2.765,3.37
2015-08-01,71.09,63.46,2.685,3.27
2015-09-01,70.17,63.99,2.6,3.3
2015-10-01,71.37,67.78,2.633,3.33
2015-11-01,72.24,65.86,2.855,3.57
2015-12-01,72.7,68.4,2.889,3.605
2016-01-01,70.84,64.85,2.67,3.26
2016-02-01,71.4,65.92,2.399,2.985
2016-03-01,76.58,69.09,2.489,2.95
2016-04-01,76.07,69.8,2.521,2.86
2016-05-01,72.32,67.62,2.303,2.63
2016-06-01,74.44,71.3,2.0069999999999997,2.37
2016-07-01,76.01,72.09,1.871,2.21
2016-08-01,75.19,72.49,1.895,2.265
2016-09-01,76.59,72.83,1.972,2.295
2016-10-01,76.07,71.53,2.362,2.725
2016-11-01,73.84,70.83,2.74,3.145
2016-12-01,72.04,69.27,2.773,3.4
2017-01-01,75.85,73.08,2.7310000000000003,3.38
2017-02-01,76.52,71.89,2.742,3.255
2017-03-01,76.29,70.07,2.719,3.21
2017-04-01,74.89,68.69,2.5860000000000003,3.075
2017-05-01,74.36,70.85,2.395,2.805
2017-06-01,76.91,73.31,2.603,2.995
2017-07-01,80.02,75.13,2.695,3.005
