Date,US Dollar Index,PHLX Euro,PHLX Australian Dollar,PHLX Canadian Dollar,PHLX Swiss Franc,PHLX British Pound,PHLX Yen,PHLX New Zealand Dollar
2010-01-01,79.46,138.62,88.35,93.43,94.3,159.92,110.83,70.1
2010-02-01,80.36,136.3,89.57,95.08,93.14,152.36,112.44,69.85
2010-03-01,81.07,135.1,91.68,98.5,94.88,151.84,106.96,71.04
2010-04-01,81.87,132.97,92.46,98.24,92.78,152.7,106.55,72.71
2010-05-01,86.59,122.73,84.71,94.84,86.28,144.5,109.81,67.88
2010-06-01,86.02,122.36,84.01,93.95,92.81,149.47,113.11,68.48
2010-07-01,81.54,130.51,90.41,97.12,96.0,155.53,115.65,72.6
2010-08-01,83.2,126.86,89.05,93.97,98.55,153.49,118.8,69.91
2010-09-01,78.72,136.3,96.99,97.16,101.77,157.1,119.8,73.43
2010-10-01,77.27,139.16,97.97,98.04,101.61,160.23,124.27,76.25
2010-11-01,81.19,129.84,95.81,97.45,99.63,155.6,119.59,74.21
2010-12-01,79.03,133.91,102.32,100.2,107.08,156.19,123.24,78.03
2011-01-01,77.74,136.97,99.74,99.99,105.97,160.23,121.88,77.26
2011-02-01,76.89,138.04,101.84,102.9,107.65,162.6,122.21,75.33
2011-03-01,75.86,141.67,103.3,103.06,108.86,160.3,120.24,76.15
2011-04-01,72.93,148.05,109.72,105.8,115.11,167.03,123.11,80.93
2011-05-01,74.64,143.96,106.68,103.23,117.1,164.52,122.65,82.36
2011-06-01,74.3,145.08,107.22,103.79,119.04,160.52,124.19,82.92
2011-07-01,73.9,144.03,110.01,104.77,127.23,164.34,130.17,87.97
2011-08-01,74.12,143.79,107.02,102.27,124.08,162.56,130.51,85.39
2011-09-01,78.55,133.88,97.05,95.24,110.16,155.79,129.79,76.37
2011-10-01,76.17,138.6,105.46,99.97,114.03,160.88,127.92,80.87
2011-11-01,78.38,134.41,102.63,98.17,109.44,156.93,128.92,77.96
2011-12-01,80.18,129.61,102.23,97.92,106.47,155.38,130.06,77.79
2012-01-01,79.29,130.82,106.17,99.73,108.68,157.61,131.14,82.47
2012-02-01,78.74,133.32,107.66,101.11,110.61,159.19,123.19,83.76
2012-03-01,79.0,133.42,103.59,100.21,110.86,160.15,120.69,81.91
2012-04-01,78.78,132.41,104.21,101.29,110.21,162.33,125.34,81.76
2012-05-01,83.04,123.61,97.39,96.75,102.92,154.06,127.62,75.35
2012-06-01,81.63,126.65,102.42,98.37,105.45,157.06,125.32,80.21
2012-07-01,82.64,123.02,105.14,99.69,102.42,156.78,128.03,81.05
2012-08-01,81.21,125.79,103.26,101.45,104.75,158.67,127.61,80.32
2012-09-01,79.93,128.59,103.8,101.67,106.42,161.7,128.35,82.95
2012-10-01,79.92,129.58,103.79,100.02,107.37,161.29,125.31,82.23
2012-11-01,80.15,129.88,104.25,100.57,107.76,160.13,121.26,81.99
2012-12-01,79.77,131.95,103.96,100.78,109.3,162.62,115.25,82.76
2013-01-01,79.21,135.79,104.41,100.3,109.87,158.5,109.13,84.02
2013-02-01,81.95,130.56,102.27,97.04,106.76,151.62,107.93,82.75
2013-03-01,83.22,128.18,104.11,98.37,105.31,151.95,106.21,83.66
2013-04-01,81.75,131.67,103.73,99.29,107.58,155.34,102.64,85.66
2013-05-01,83.26,129.98,95.77,96.42,104.71,152.03,99.58,79.48
2013-06-01,83.14,130.15,91.5,95.13,105.85,152.13,100.69,77.45
2013-07-01,81.45,133.02,89.91,97.32,107.99,152.07,102.18,79.98
2013-08-01,82.09,132.23,89.02,94.91,107.56,155.08,101.86,77.35
2013-09-01,80.22,135.27,93.32,96.96,110.53,161.89,101.77,83.17
2013-10-01,80.19,135.85,94.58,95.86,110.27,160.4,101.68,82.64
2013-11-01,80.68,135.89,91.08,94.22,110.31,163.68,97.57,81.31
2013-12-01,80.04,137.56,89.18,94.16,111.96,165.58,94.91,82.24
2014-01-01,81.31,134.85,87.56,89.88,110.36,164.37,98.02,80.86
2014-02-01,79.69,137.99,89.22,90.38,113.34,167.45,98.25,83.9
2014-03-01,80.1,137.72,92.69,90.49,113.1,166.65,96.89,86.74
2014-04-01,79.47,138.67,92.86,91.25,113.61,168.72,97.84,86.16
2014-05-01,80.37,136.37,93.1,92.2,111.74,167.53,98.26,85.0
2014-06-01,79.78,136.92,94.32,93.71,112.76,171.06,98.69,87.59
2014-07-01,81.46,133.89,92.96,91.71,110.03,168.88,97.27,84.97
2014-08-01,82.75,131.36,93.39,91.91,106.75,165.98,96.08,83.63
2014-09-01,85.94,126.3,87.46,89.3,104.7,162.12,91.21,78.06
2014-10-01,86.92,125.19,87.99,88.76,103.68,159.95,89.04,77.9
2014-11-01,88.36,124.44,85.06,87.6,103.63,156.45,84.33,78.42
2014-12-01,90.27,120.97,81.68,86.07,100.57,155.9,83.55,77.97
2015-01-01,94.8,112.86,77.69,78.55,108.56,150.68,85.14,72.61
2015-02-01,95.32,111.96,78.12,79.89,104.86,154.35,83.59,75.64
2015-03-01,98.36,107.37,76.07,78.87,102.86,148.23,83.28,74.74
2015-04-01,94.6,112.2,79.12,82.87,107.22,153.51,83.73,76.21
2015-05-01,96.91,109.88,76.44,80.29,106.37,152.91,80.56,71.07
2015-06-01,95.49,111.38,77.05,80.09,106.85,157.08,81.65,67.68
2015-07-01,97.34,109.83,73.09,76.39,103.47,156.22,80.7,65.93
2015-08-01,95.82,112.11,71.09,76.1,103.4,153.42,82.47,63.46
2015-09-01,96.35,111.79,70.17,75.04,102.73,151.26,83.42,63.99
2015-10-01,96.95,110.07,71.37,76.5,101.24,154.26,82.91,67.78
2015-11-01,100.17,105.7,72.24,74.86,97.2,150.59,81.25,65.86
2015-12-01,98.63,108.59,72.7,71.94,99.86,147.37,83.12,68.4
2016-01-01,99.61,108.31,70.84,71.58,97.75,142.46,82.56,64.85
2016-02-01,98.21,108.76,71.4,73.86,100.18,139.17,88.74,65.92
2016-03-01,94.59,113.81,76.58,76.93,103.99,143.64,88.83,69.09
2016-04-01,93.08,114.47,76.07,79.67,104.22,146.1,94.02,69.8
2016-05-01,95.89,111.29,72.32,76.36,100.62,144.79,90.33,67.62
2016-06-01,96.14,111.07,74.44,77.32,102.48,133.09,96.86,71.3
2016-07-01,95.53,111.73,76.01,76.68,103.13,132.26,97.97,72.09
2016-08-01,96.02,111.58,75.19,76.31,101.66,131.41,96.7,72.49
2016-09-01,95.46,112.42,76.59,76.17,102.95,129.79,98.68,72.83
2016-10-01,98.44,109.85,76.07,74.57,101.12,122.43,95.4,71.53
2016-11-01,101.5,105.94,73.84,74.43,98.35,125.09,87.38,70.83
2016-12-01,102.21,105.25,72.04,74.39,98.24,123.5,85.48,69.27
2017-01-01,99.51,107.96,75.85,76.71,101.03,125.76,88.6,73.08
2017-02-01,101.12,105.78,76.52,75.18,99.39,123.83,88.65,71.89
2017-03-01,100.35,106.59,76.29,75.06,99.71,125.54,89.77,70.07
2017-04-01,99.05,108.98,74.89,73.26,100.48,129.51,89.65,68.69
2017-05-01,96.92,112.43,74.36,74.11,103.33,128.82,90.29,70.85
2017-06-01,95.63,114.24,76.91,77.14,104.38,131.75,89.0,73.31
2017-07-01,92.86,118.45,80.02,80.11,103.46,132.12,90.72,75.13
2017-08-01,92.67,119.13,79.48,80.1,104.33,129.27,90.95,71.81
2017-09-01,93.08,118.13,78.29,80.2,103.29,133.98,88.92,71.62
2017-10-01,94.55,116.45,76.55,77.58,100.25,132.82,87.98,68.47
2017-11-01,93.05,119.06,75.66,77.53,101.64,135.31,88.85,68.37
2017-12-01,92.12,120.05,78.04,79.53,102.61,135.1,88.73,70.99
2018-01-01,89.13,124.08,80.55,81.21,107.3,141.92,91.54,73.63
2018-02-01,90.61,121.97,77.59,77.94,105.86,137.63,93.75,72.08
2018-03-01,89.97,123.05,76.8,77.61,104.55,140.31,93.94,72.34
2018-04-01,91.84,120.79,75.31,77.88,100.94,137.66,91.5,70.37
2018-05-01,93.99,116.94,75.67,77.17,101.45,132.92,91.9,70.0
2018-06-01,94.64,116.95,74.0,76.1,100.97,132.09,90.1,67.7
2018-07-01,94.49,116.93,74.27,76.85,100.99,131.2,89.42,68.15
2018-08-01,95.14,116.13,71.93,76.65,103.21,129.64,90.19,66.19
2018-09-01,95.13,115.97,72.22,77.44,101.84,130.3,87.96,66.19
2018-10-01,97.13,113.14,70.76,75.99,99.16,127.68,88.54,65.18
2018-11-01,97.27,112.81,73.12,75.24,100.17,127.53,88.06,68.79
2018-12-01,96.17,114.72,70.47,73.33,101.88,127.54,91.2,67.24
2019-01-01,95.58,114.48,72.7,76.16,100.61,131.09,91.88,69.12
2019-02-01,96.16,113.71,70.97,75.92,100.18,132.64,89.78,68.1
2019-03-01,97.28,112.26,70.96,74.96,100.52,130.44,90.17,68.01
2019-04-01,97.48,112.17,70.5,74.66,98.11,130.36,89.75,66.76
2019-05-01,97.75,111.81,69.4,73.94,99.96,126.38,92.26,65.35
2019-06-01,96.13,113.78,70.23,76.29,102.42,126.95,92.68,67.22
2019-07-01,98.52,110.76,68.45,75.82,100.59,121.53,91.95,65.62
2019-08-01,98.92,110.03,67.38,74.85,101.02,121.58,94.1,63.13
2019-09-01,99.38,108.99,67.5,75.51,100.22,122.89,92.49,62.58
2019-10-01,97.35,111.55,68.92,75.97,101.39,129.4,92.55,64.16
2019-11-01,98.27,110.17,67.64,75.28,99.99,129.33,91.35,64.2
2019-12-01,96.39,112.13,70.15,76.82,103.44,132.59,92.02,67.23
2020-01-01,97.39,110.97,66.88,75.55,103.8,132.06,92.3,64.65
2020-02-01,98.13,110.28,65.08,74.58,103.66,128.21,92.5,62.42
2020-03-01,99.05,110.24,61.48,71.09,103.91,124.29,92.96,59.72
2020-04-01,99.02,109.55,65.09,71.73,103.58,125.95,93.3,61.24
2020-05-01,98.34,111.0,66.67,72.61,103.99,123.44,92.75,62.04
2020-06-01,97.39,112.35,69.04,73.65,105.59,123.93,92.62,64.53
2020-07-01,93.35,117.79,71.38,74.56,109.47,130.83,94.49,66.3
2020-08-01,92.14,119.37,73.78,76.66,110.67,133.67,94.41,67.42
2020-09-01,93.89,117.24,71.59,75.08,108.55,129.22,94.82,66.15
2020-10-01,94.04,116.59,70.3,75.09,109.07,129.42,95.54,66.18
2020-11-01,91.87,119.32,73.47,76.88,110.08,133.3,95.87,70.15
2020-12-01,89.94,122.39,77.19,78.51,113.14,136.72,96.87,72.04
2021-01-01,90.58,121.38,76.42,78.25,112.24,137.05,95.49,72.33
2021-02-01,90.88,120.74,77.06,78.5,110.07,139.29,93.82,72.33
2021-03-01,93.23,117.28,75.98,79.6,105.96,137.8,90.3,69.82
2021-04-01,91.28,120.18,77.21,81.36,109.54,138.17,91.5,71.62
2021-05-01,90.03,121.94,77.11,82.82,111.12,142.01,91.02,72.65
2021-06-01,90.09,121.8,77.4,82.59,111.53,141.57,91.35,71.97
