Date,XAUUSD,XAUEUR,XAUGBP,XAUCAD,XAUCHF,XAUJPY,XAUAUD,XAUNZD
2010-01-01,1097.35,,,,,,,
2010-01-04,1120.4,,,,,,,
2010-01-05,1119.05,,,,,,,
2010-01-06,1138.9,,,,,,,
2010-01-07,1132.3,,,,,,,
2010-01-08,1136.6,,,,,,,
2010-01-11,1153.0,,,,,,,
2010-01-12,1127.7,,,,,,,
2010-01-13,1138.8,,,,,,,
2010-01-14,1143.25,,,,,,,
2010-01-15,1130.9,,,,,,,
2010-01-18,1133.0,,,,,,,
2010-01-19,1138.1,,,,,,,
2010-01-20,1111.7,,,,,,,
2010-01-21,1095.15,,,,,,,
2010-01-22,1093.0,,,,,,,
2010-01-25,1098.25,,,,,,,
2010-01-26,1098.05,,,,,,,
2010-01-27,1086.85,,,,,,,
2010-01-28,1086.3,,,,,,,
2010-01-29,1081.55,,,,,,,
2010-02-01,1107.35,,,,,,,
2010-02-02,1115.2,,,,,,,
2010-02-03,1109.65,,,,,,,
2010-02-04,1063.45,,,,,,,
2010-02-05,1065.45,,,,,,,
2010-02-08,1063.75,,,,,,,
2010-02-09,1077.3,,,,,,,
2010-02-10,1072.85,,,,,,,
2010-02-11,1095.35,,,,,,,
2010-02-12,1093.4,,,,,,,
2010-02-15,1101.0,,,,,,,
2010-02-16,1119.95,,,,,,,
2010-02-17,1115.2,,,,,,,
2010-02-18,1123.9,,,,,,,
2010-02-19,1118.85,,,,,,,
2010-02-22,1113.7,,,,,,,
2010-02-23,1102.05,,,,,,,
2010-02-24,1096.4,,,,,,,
2010-02-25,1106.1,,,,,,,
2010-02-26,1116.5,,,,,,,
2010-03-01,1117.35,,,,,,,
2010-03-02,1134.65,,,,,,,
2010-03-03,1139.5,,,,,,,
2010-03-04,1132.0,,,,,,,
2010-03-05,1132.05,,,,,,,
2010-03-08,1122.4,,,,,,,
2010-03-09,1120.1,,,,,,,
2010-03-10,1108.2,,,,,,,
2010-03-11,1109.45,,,,,,,
2010-03-12,1102.45,,,,,,,
2010-03-15,1109.1,,,,,,,
2010-03-16,1125.7,,,,,,,
2010-03-17,1125.05,,,,,,,
2010-03-18,1125.95,,,,,,,
2010-03-19,1107.55,,,,,,,
2010-03-22,1102.3,,,,,,,
2010-03-23,1102.65,,,,,,,
2010-03-24,1087.5,,,,,,,
2010-03-25,1091.35,,,,,,,
2010-03-26,1106.6,,,,,,,
2010-03-29,1109.2,,,,,,,
2010-03-30,1103.6,,,,,,,
2010-03-31,1113.8,,,,,,,
2010-04-01,1126.5,,,,,,,
2010-04-02,1120.5,,,,,,,
2010-04-05,1130.7,,,,,,,
2010-04-06,1134.2,,,,,,,
2010-04-07,1148.0,,,,,,,
2010-04-08,1151.15,,,,,,,
2010-04-09,1160.9,,,,,,,
2010-04-12,1152.0,,,,,,,
2010-04-13,1151.15,,,,,,,
2010-04-14,1154.9,,,,,,,
2010-04-15,1158.95,,,,,,,
2010-04-16,1137.45,,,,,,,
2010-04-19,1135.6,,,,,,,
2010-04-20,1140.5,,,,,,,
2010-04-21,1146.3,,,,,,,
2010-04-22,1141.45,,,,,,,
2010-04-23,1157.4,,,,,,,
2010-04-26,1154.88,,,,,,,
2010-04-27,1172.93,,,,,,,
2010-04-28,1165.45,,,,,,,
2010-04-29,1167.1,,,,,,,
2010-04-30,1179.25,,,,,,,
2010-05-03,1182.4,,,,,,,
2010-05-04,1171.65,,,,,,,
2010-05-05,1175.2,,,,,,,
2010-05-06,1208.75,,,,,,,
2010-05-07,1208.3,,,,,,,
2010-05-10,1202.4,,,,,,,
2010-05-11,1232.55,,,,,,,
2010-05-12,1237.35,,,,,,,
2010-05-13,1232.33,,,,,,,
2010-05-14,1233.05,,,,,,,
2010-05-17,1223.75,,,,,,,
2010-05-18,1221.7,,,,,,,
2010-05-19,1191.75,,,,,,,
2010-05-20,1183.1,,,,,,,
2010-05-21,1177.15,,,,,,,
2010-05-24,1192.05,,,,,,,
2010-05-25,1201.1,,,,,,,
2010-05-26,1210.9,,,,,,,
2010-05-27,1212.1,,,,,,,
2010-05-28,1214.81,,,,,,,
2010-05-31,1216.21,,,,,,,
2010-06-01,1225.3,,,,,,,
2010-06-02,1223.85,,,,,,,
2010-06-03,1208.05,,,,,,,
2010-06-04,1220.0,,,,,,,
2010-06-07,1240.05,,,,,,,
2010-06-08,1235.63,,,,,,,
2010-06-09,1232.35,,,,,,,
2010-06-10,1217.8,,,,,,,
2010-06-11,1227.4,,,,,,,
2010-06-14,1222.15,,,,,,,
2010-06-15,1234.45,,,,,,,
2010-06-16,1231.6,,,,,,,
2010-06-17,1245.35,,,,,,,
2010-06-18,1257.35,,,,,,,
2010-06-21,1232.15,,,,,,,
2010-06-22,1239.5,,,,,,,
2010-06-23,1237.2,,,,,,,
2010-06-24,1244.55,,,,,,,
2010-06-25,1255.5,,,,,,,
2010-06-28,1238.05,,,,,,,
2010-06-29,1240.95,,,,,,,
2010-06-30,1242.35,,,,,,,
2010-07-01,1199.65,,,,,,,
2010-07-02,1211.6,,,,,,,
2010-07-05,1208.95,,,,,,,
2010-07-06,1194.25,,,,,,,
2010-07-07,1202.35,,,,,,,
2010-07-08,1198.45,,,,,,,
2010-07-09,1212.0,,,,,,,
2010-07-12,1196.85,,,,,,,
2010-07-13,1211.65,,,,,,,
2010-07-14,1208.5,,,,,,,
2010-07-15,1208.55,,,,,,,
2010-07-16,1193.65,,,,,,,
2010-07-19,1183.7,,,,,,,
2010-07-20,1192.3,,,,,,,
2010-07-21,1186.0,,,,,,,
2010-07-22,1194.95,,,,,,,
2010-07-23,1189.1,,,,,,,
2010-07-26,1182.5,,,,,,,
2010-07-27,1162.3,,,,,,,
2010-07-28,1163.55,,,,,,,
2010-07-29,1166.93,,,,,,,
2010-07-30,1180.9,,,,,,,
2010-08-02,1181.85,,,,,,,
2010-08-03,1185.7,,,,,,,
2010-08-04,1195.75,,,,,,,
2010-08-05,1195.1,,,,,,,
2010-08-06,1205.3,,,,,,,
2010-08-09,1201.4,,,,,,,
2010-08-10,1203.85,,,,,,,
2010-08-11,1197.75,,,,,,,
2010-08-12,1213.2,,,,,,,
2010-08-13,1215.55,,,,,,,
2010-08-16,1224.85,,,,,,,
2010-08-17,1224.9,,,,,,,
2010-08-18,1229.55,,,,,,,
2010-08-19,1232.1,,,,,,,
2010-08-20,1228.05,,,,,,,
2010-08-23,1225.4,,,,,,,
2010-08-24,1229.75,,,,,,,
2010-08-25,1240.1,,,,,,,
2010-08-26,1236.05,,,,,,,
2010-08-27,1238.2,,,,,,,
2010-08-30,1236.8,,,,,,,
2010-08-31,1247.65,,,,,,,
2010-09-01,1244.35,,,,,,,
2010-09-02,1251.25,,,,,,,
2010-09-03,1247.1,,,,,,,
2010-09-06,1250.05,,,,,,,
2010-09-07,1255.4,,,,,,,
2010-09-08,1255.2,,,,,,,
2010-09-09,1244.1,,,,,,,
2010-09-10,1246.45,,,,,,,
