Date,US Dollar Index,PHLX Euro,PHLX Australian Dollar,PHLX Canadian Dollar,PHLX Swiss Franc,PHLX British Pound,PHLX Yen
2010-01-04,77.53,144.14,91.26,96.04,97.11,160.96,108.08
2010-01-05,77.62,143.61,91.07,96.19,96.7,159.95,108.98
2010-01-06,77.49,144.13,91.97,96.85,97.31,160.23,108.31
2010-01-07,77.91,143.1,91.81,96.68,96.67,159.34,106.87
2010-01-08,77.47,144.1,92.49,97.11,97.65,160.22,107.91
2010-01-11,77.0,145.15,92.97,96.7,98.43,161.16,108.59
2010-01-12,76.95,144.85,92.03,96.18,98.2,161.64,109.84
2010-01-13,76.85,145.1,92.36,97.02,98.18,162.77,109.45
2010-01-14,76.73,144.98,93.16,97.69,98.14,163.34,109.64
2010-01-15,77.32,143.88,92.24,97.17,97.52,162.74,110.16
2010-01-18,77.06,,,,,,
2010-01-19,77.5,142.92,92.36,96.96,96.88,163.66,109.74
2010-01-20,78.34,141.01,91.02,95.54,95.75,162.88,109.6
2010-01-21,78.32,140.91,90.04,95.05,95.92,162.02,110.59
2010-01-22,78.28,141.39,90.08,94.53,96.02,161.23,111.32
2010-01-25,78.19,141.5,90.43,94.54,96.14,162.45,110.76
2010-01-26,78.43,140.76,89.86,94.09,95.58,161.48,111.53
2010-01-27,78.67,140.26,89.53,93.98,95.24,161.68,111.15
2010-01-28,78.9,139.7,89.43,93.74,95.04,161.39,111.22
2010-01-29,79.46,138.62,88.35,93.43,94.3,159.92,110.83
2010-02-01,79.24,139.32,89.14,94.24,94.71,159.6,110.33
2010-02-02,79.01,139.65,88.68,94.56,94.76,159.74,110.64
2010-02-03,79.37,138.91,88.2,94.13,94.38,158.96,109.92
2010-02-04,79.92,137.2,86.49,93.09,93.7,157.67,112.41
2010-02-05,80.44,136.78,86.84,93.39,93.19,156.55,112.06
2010-02-08,80.3,136.45,86.21,92.91,93.11,155.75,112.04
2010-02-09,79.86,137.91,87.94,93.8,93.97,157.18,111.38
2010-02-10,80.03,137.33,87.51,94.15,93.65,155.95,111.11
2010-02-11,79.99,136.86,89.09,95.26,93.38,156.99,111.48
2010-02-12,80.32,136.32,88.89,95.19,93.06,157.07,111.14
2010-02-15,80.33,,,,,,
2010-02-16,79.7,137.7,90.14,95.82,93.8,157.92,110.86
