Date,PHLX British Pound,PHLX Euro,U.K. 10Y,Germany 10Y
2010-01-03,,144.1,4.069,3.3789999999999996
2010-01-10,,143.88,3.937,3.258
2010-01-17,,141.39,3.9139999999999997,3.218
2010-01-24,,138.62,3.9,3.19
2010-01-31,,136.78,3.8819999999999997,3.114
2010-02-07,,136.32,4.034,3.1919999999999997
2010-02-14,,136.14,4.276,3.2889999999999997
2010-02-21,,136.3,4.032,3.0989999999999998
2010-02-28,,136.23,4.06,3.148
2010-03-07,,137.67,4.087,3.162
2010-03-14,,135.34,3.955,3.109
2010-03-21,,134.1,4.0280000000000005,3.15
2010-03-28,,135.82,3.923,3.0860000000000003
2010-04-04,,134.99,4.041,3.165
2010-04-11,,135.02,3.9819999999999998,3.0860000000000003
2010-04-18,153.79,133.83,4.04,3.053
2010-04-25,152.7,132.97,3.9139999999999997,3.0189999999999997
2010-05-02,147.8,127.55,3.8369999999999997,2.785
2010-05-09,145.35,123.57,3.741,2.8680000000000003
2010-05-16,144.78,125.64,3.56,2.665
2010-05-23,144.5,122.73,3.5780000000000003,2.676
2010-05-30,144.6,119.69,3.509,2.568
2010-06-06,145.49,121.11,3.4730000000000003,2.573
2010-06-13,148.28,123.91,3.54,2.73
2010-06-20,150.66,123.71,3.3739999999999997,2.6180000000000003
2010-06-27,152.02,125.68,3.35,2.5869999999999997
2010-07-04,150.65,126.41,3.3360000000000003,2.636
2010-07-11,153.04,129.29,3.3160000000000003,2.6039999999999996
2010-07-18,154.36,129.03,3.443,2.708
2010-07-25,155.53,130.51,3.322,2.6710000000000003
2010-08-01,159.48,132.82,3.225,2.516
2010-08-08,155.91,127.51,3.1260000000000003,2.394
2010-08-15,155.32,127.08,2.972,2.267
2010-08-22,155.13,127.32,2.911,2.2030000000000003
2010-08-29,154.61,128.94,3.0060000000000002,2.355
2010-09-05,153.54,127.09,3.115,2.4090000000000003
2010-09-12,156.2,130.35,3.1189999999999998,2.4219999999999997
2010-09-19,158.26,134.9,3.0469999999999997,2.3480000000000003
2010-09-26,158.34,137.77,2.965,2.279
2010-10-03,159.55,139.27,2.878,2.255
2010-10-10,159.82,139.72,2.9560000000000004,2.378
2010-10-17,156.79,139.26,2.952,2.479
2010-10-24,160.23,139.16,3.069,2.522
2010-10-31,161.79,140.31,2.978,2.423
2010-11-07,161.34,136.9,3.216,2.516
2010-11-14,159.89,136.86,3.383,2.705
2010-11-21,156.03,132.33,3.342,2.738
2010-11-28,157.71,134.12,3.4160000000000004,2.861
2010-12-05,158.11,132.28,3.5189999999999997,2.9530000000000003
2010-12-12,155.19,131.85,3.556,3.023
2010-12-19,154.27,131.14,3.51,2.9819999999999998
2010-12-26,156.19,133.91,3.395,2.949
2011-01-02,155.46,129.1,3.516,2.862
2011-01-09,158.74,133.73,3.609,3.033
2011-01-16,160.04,136.14,3.696,3.1830000000000003
2011-01-23,158.61,136.08,3.6510000000000002,3.17
2011-01-30,160.98,135.88,3.823,3.259
2011-02-06,160.02,135.47,3.873,3.2889999999999997
2011-02-13,162.34,136.85,3.805,3.253
2011-02-20,161.16,137.53,3.7030000000000003,3.145
2011-02-27,162.71,139.85,3.713,3.2889999999999997
2011-03-06,160.81,139.03,3.6319999999999997,3.2039999999999997
2011-03-13,162.34,141.82,3.509,3.1889999999999996
2011-03-20,160.41,140.87,3.615,3.2710000000000004
2011-03-27,161.13,142.36,3.734,3.385
2011-04-03,163.84,144.83,3.8110000000000004,3.486
2011-04-10,163.23,144.27,3.6,3.383
2011-04-17,165.19,145.52,3.5260000000000002,3.27
2011-04-24,167.03,148.05,3.4810000000000003,3.236
2011-05-01,163.74,143.13,3.383,3.18
2011-05-08,161.89,141.15,3.366,3.0839999999999996
2011-05-15,162.33,141.58,3.346,3.068
2011-05-22,165.02,143.21,3.293,2.9789999999999996
2011-05-29,164.25,146.34,3.287,3.0589999999999997
2011-06-05,162.26,143.46,3.2260000000000004,2.966
2011-06-12,161.93,143.07,3.198,2.955
2011-06-19,159.59,141.88,3.1319999999999997,2.8339999999999996
2011-06-26,160.76,145.24,3.3960000000000004,3.054
2011-07-03,160.59,142.64,3.194,2.835
2011-07-10,161.37,141.58,3.08,2.7039999999999997
2011-07-17,163.03,143.62,3.1060000000000003,2.8169999999999997
2011-07-24,164.34,144.03,2.861,2.544
2011-07-31,163.91,142.9,2.6860000000000004,2.36
2011-08-07,162.81,142.5,2.536,2.334
2011-08-14,164.57,144.02,2.39,2.099
2011-08-21,163.72,144.98,2.504,2.1519999999999997
2011-08-28,162.2,142.05,2.444,2.012
2011-09-04,158.82,136.51,2.265,1.777
2011-09-11,157.89,137.94,2.483,1.857
2011-09-18,154.57,134.91,2.363,1.745
2011-09-25,155.79,133.88,2.431,1.886
2011-10-02,155.63,133.78,2.471,2.005
2011-10-09,158.31,138.77,2.6010000000000004,2.198
2011-10-16,159.54,138.96,2.532,2.116
2011-10-23,161.26,141.49,2.609,2.1959999999999997
2011-10-30,160.23,137.94,2.312,1.821
2011-11-06,160.64,137.5,2.279,1.8530000000000002
2011-11-13,158.1,135.24,2.276,1.969
2011-11-20,154.38,132.26,2.3209999999999997,2.262
2011-11-27,155.97,133.94,2.312,2.17
2011-12-04,156.7,133.86,2.145,2.1109999999999998
2011-12-11,155.46,130.48,2.066,1.876
2011-12-18,155.91,130.49,2.0380000000000003,1.9480000000000002
2011-12-25,155.38,129.61,1.9769999999999999,1.8159999999999998
2012-01-01,154.25,127.13,2.029,1.85
2012-01-08,153.18,126.75,1.9709999999999999,1.764
2012-01-15,155.75,129.31,2.12,1.936
2012-01-22,157.24,132.2,2.05,1.859
2012-01-29,158.18,131.55,2.185,1.9409999999999998
2012-02-05,157.56,131.98,2.1430000000000002,1.9469999999999998
2012-02-12,158.25,131.45,2.1790000000000003,1.929
2012-02-19,158.68,134.47,2.069,1.881
2012-02-26,158.33,131.98,2.149,1.805
2012-03-04,156.7,131.24,2.154,1.801
2012-03-11,158.49,131.79,2.445,2.049
2012-03-18,158.7,132.7,2.275,1.8730000000000002
