Date,XAUEUR,EURUSD,EURJPY,EURCAD,EURGBP,EURAUD,EURNZD,EURCHF
2010-01-01,780.0,1.3863,125.17,1.4831,0.8665,1.5674,1.9776,1.4706
2010-02-01,819.23,1.3626,121.1,1.4343,0.8934,1.5224,1.9522,1.463
2010-03-01,824.34,1.3512,126.31,1.3719999999999999,0.89,1.4734,1.9017,1.4241
2010-04-01,886.79,1.3298,124.78,1.3531,0.8709,1.4382,1.8287,1.4331
2010-05-01,988.39,1.2306,112.28,1.2859,0.8463,1.4536,1.8074,1.4213
2010-06-01,1015.41,1.2236,108.19,1.3028,0.8185,1.4567,1.787,1.3185
2010-07-01,905.04,1.3048,112.83,1.3436,0.8319,1.4431,1.7973,1.3592
2010-08-01,983.72,1.2687,106.82,1.3499,0.8266,1.4247,1.8144,1.2874
2010-09-01,960.33,1.3633,113.78,1.403,0.8677,1.4101,1.8564,1.3393
2010-10-01,974.59,1.395,112.15,1.4213,0.8697,1.4182,1.8201,1.3701
2010-11-01,1066.49,1.298,108.63,1.3326,0.8346,1.3551,1.7477,1.3034
2010-12-01,1061.85,1.3379,108.65,1.3345,0.8575,1.3075,1.7163,1.2495
2011-01-01,973.34,1.3686,112.36,1.3703,0.8547,1.3732,1.7746,1.2921
2011-02-01,1022.67,1.3802,112.87,1.3408,0.8489,1.3551,1.8348,1.2824
2011-03-01,1012.62,1.4165,117.77,1.374,0.8833,1.3713,1.8587,1.3009
2011-04-01,1055.48,1.4799,120.18,1.3976,0.8858,1.349,1.8261,1.2801
2011-05-01,1065.49,1.4394,117.36,1.3939,0.8749,1.3489,1.7463,1.2285
2011-06-01,1033.99,1.4504,116.79,1.3969999999999998,0.9037,1.3519999999999999,1.7485,1.2185
2011-07-01,1129.5,1.4395,110.45,1.3749,0.8765,1.3084,1.6364,1.1303
2011-08-01,1267.77,1.4377,110.16,1.4056,0.8844,1.3434,1.6821,1.1585
2011-09-01,1212.47,1.3384,103.11,1.4052,0.8587,1.3842,1.7574,1.2151
2011-10-01,1237.09,1.3856,108.34,1.3846,0.861,1.3144,1.7174,1.2153
2011-11-01,1298.15,1.3441,104.21,1.3694,0.8563,1.3076,1.7201,1.2277
2011-12-01,1207.75,1.2945,99.57,1.3192,0.8328,1.2657,1.6619,1.2133
2012-01-01,1329.43,1.3078,99.66,1.3108,0.8297,1.2314,1.5843,1.2033
2012-02-01,1271.19,1.3324,108.15,1.3183,0.8371,1.2412,1.597,1.2046
2012-03-01,1250.12,1.3343,110.47,1.3314,0.8331,1.2892,1.6296,1.2035
2012-04-01,1256.52,1.324,105.63,1.3067,0.8156,1.2698,1.6176,1.2011
2012-05-01,1261.08,1.2356,96.82,1.2767,0.8021,1.2698,1.6406,1.2007
2012-06-01,1262.2,1.2658,100.97,1.2867,0.8056,1.2353,1.5771,1.2004
2012-07-01,1311.62,1.2303,96.08,1.2334,0.7847,1.1719,1.5205,1.2009
2012-08-01,1343.62,1.2575,98.57,1.2407,0.7926,1.2177,1.5652,1.2011
2012-09-01,1377.41,1.2858,100.13,1.2635,0.795,1.2386,1.5455,1.2078
2012-10-01,1326.9,1.2958,103.37,1.2952,0.8032,1.2487,1.5758,1.2066
2012-11-01,1318.37,1.2984,107.23,1.2919999999999998,0.8117,1.2461,1.5839,1.2051
2012-12-01,1268.07,1.3194,114.46,1.3105,0.8127,1.2690000000000001,1.5926,1.2074
2013-01-01,1224.41,1.3578,124.27,1.354,0.8561,1.3019999999999998,1.6172,1.2359
2013-02-01,1208.62,1.3056,120.97,1.3463,0.8614,1.2790000000000001,1.5794,1.2235
2013-03-01,1245.8,1.2818,120.73,1.3035,0.8427,1.23,1.5301,1.2166
2013-04-01,1120.96,1.3166,128.25,1.3259,0.8475,1.2693,1.5388,1.2233
2013-05-01,1066.38,1.2995,130.55,1.3482,0.8549,1.3572,1.6358,1.2409
2013-06-01,947.69,1.3008,128.94,1.3682,0.855,1.4223,1.68,1.2289
2013-07-01,993.72,1.33,130.15,1.3666,0.8744,1.4802,1.6652,1.2317
2013-08-01,1055.5,1.3219999999999998,129.77,1.3928,0.8524,1.4851,1.7096,1.2294
2013-09-01,981.11,1.3524,132.82,1.3941,0.8355,1.4509,1.6309,1.2237
2013-10-01,973.71,1.3582,133.58,1.4163,0.8465,1.4356,1.6433,1.2313
2013-11-01,921.53,1.3589,139.16,1.4423,0.8301,1.4912,1.6704,1.2313
2013-12-01,876.24,1.3745,144.73,1.4593,0.83,1.5404,1.673,1.2272
2014-01-01,921.89,1.3485,137.59,1.5003,0.8203,1.5397,1.6663,1.2217
2014-02-01,959.41,1.3802,140.5,1.5271,0.8241,1.5454,1.6449,1.2139
2014-03-01,931.88,1.3769999999999998,142.09,1.5213,0.8263,1.4859,1.5868,1.218
2014-04-01,930.93,1.3866,141.77,1.5194,0.8216,1.4921,1.6086,1.2206
2014-05-01,916.45,1.3630000000000002,138.73,1.4776,0.8135,1.4634,1.6030000000000002,1.2197
2014-06-01,969.11,1.3691,138.69,1.4604,0.8003,1.4512,1.5629,1.2141
2014-07-01,957.65,1.3388,137.62,1.4597,0.7928,1.4399,1.5739,1.2163
2014-08-01,979.88,1.3132,136.64,1.4281,0.7911,1.4055,1.5695,1.2058
2014-09-01,956.11,1.2631,138.49,1.4142,0.779,1.444,1.6175,1.2063
2014-10-01,936.45,1.2524,140.64,1.4108,0.7828,1.423,1.6061,1.2058
