Date,XAUUSD,XAUEUR,XAUGBP,XAUCAD,XAUCHF,XAUJPY,XAUAUD,XAUNZD
2010-01-01,1081.55,780.0,675.22,1156.66,1146.51,97606.0,1222.02,1542.33
2010-02-01,1116.5,819.23,732.06,1175.01,1198.57,99228.5,1247.06,1600.03
2010-03-01,1113.8,824.34,733.56,1130.73,1173.61,104096.0,1214.55,1567.63
2010-04-01,1179.25,886.79,772.24,1199.94,1270.88,110655.0,1275.35,1621.63
2010-05-01,1216.21,988.39,836.52,1270.88,1404.6,110942.5,1436.15,1785.39
2010-06-01,1242.35,1015.41,831.17,1322.05,1338.32,109824.0,1478.72,1814.18
2010-07-01,1180.9,905.04,752.47,1215.34,1229.15,102112.5,1305.32,1624.78
2010-08-01,1247.65,983.72,811.29,1325.12,1264.58,104990.0,1398.19,1779.75
2010-09-01,1309.5,960.33,832.75,1345.92,1284.55,109317.0,1353.43,1781.48
2010-10-01,1359.55,974.59,847.13,1384.46,1334.59,109301.0,1381.29,1771.9
2010-11-01,1384.85,1066.49,889.53,1420.65,1388.93,115863.5,1443.55,1862.27
2010-12-01,1421.45,1061.85,909.67,1415.76,1325.06,115457.0,1386.18,1818.41
2011-01-01,1332.19,973.34,831.24,1332.58,1256.78,109336.0,1335.75,1725.13
2011-02-01,1411.65,1022.67,867.87,1370.56,1310.82,115429.5,1385.38,1873.74
2011-03-01,1432.0,1012.62,895.78,1386.96,1319.26,119142.5,1390.46,1877.38
2011-04-01,1563.6,1055.48,935.5,1476.66,1352.51,126980.0,1425.34,1928.02
2011-05-01,1533.35,1065.49,931.9,1484.9,1308.71,124999.0,1437.07,1862.22
2011-06-01,1499.6,1033.99,934.74,1445.16,1260.26,120733.0,1399.4,1809.14
2011-07-01,1626.14,1129.5,990.16,1553.13,1276.85,124774.0,1478.04,1848.52
2011-08-01,1823.3,1267.77,1121.96,1783.01,1468.67,139683.0,1704.5,2135.76
2011-09-01,1623.25,1212.47,1041.41,1703.76,1473.75,125055.0,1678.82,2131.37
2011-10-01,1713.25,1237.09,1065.26,1711.02,1503.03,133925.0,1624.86,2121.93
2011-11-01,1745.1,1298.15,1111.53,1778.43,1593.45,135333.0,1697.57,2234.44
2011-12-01,1563.8,1207.75,1006.31,1593.51,1466.22,120303.0,1529.09,2009.51
2012-01-01,1739.03,1329.43,1103.52,1743.9,1600.78,132549.0,1637.81,2106.89
2012-02-01,1694.7,1271.19,1064.35,1675.94,1531.59,137521.0,1577.8,2029.76
2012-03-01,1668.29,1250.12,1041.64,1664.62,1504.8,138118.0,1611.87,2037.48
2012-04-01,1663.88,1256.52,1024.94,1642.08,1509.47,132728.0,1595.74,2033.34
2012-05-01,1558.7,1261.08,1011.75,1610.29,1514.59,122124.0,1601.95,2069.44
2012-06-01,1598.2,1262.2,1017.18,1624.57,1515.57,127488.0,1559.68,1991.28
2012-07-01,1613.29,1311.62,1029.34,1618.21,1575.28,126045.0,1536.99,1994.67
2012-08-01,1690.54,1343.62,1065.31,1667.55,1614.3,132488.0,1636.69,2103.71
2012-09-01,1770.69,1377.41,1095.35,1741.85,1664.1,137966.0,1706.56,2129.46
2012-10-01,1720.05,1326.9,1065.94,1718.76,1602.16,137222.0,1656.99,2091.44
2012-11-01,1714.4,1318.37,1070.21,1703.48,1588.93,141385.0,1643.0,2088.42
2012-12-01,1674.34,1268.07,1030.73,1662.05,1531.34,145151.0,1608.92,2019.55
2013-01-01,1662.99,1224.41,1048.75,1658.12,1513.1,152241.0,1594.24,1981.07
2013-02-01,1579.76,1208.62,1040.93,1626.99,1478.86,146227.0,1545.91,1908.75
2013-03-01,1596.17,1245.8,1050.29,1624.49,1516.18,150468.0,1532.95,1907.0
2013-04-01,1476.6,1120.96,950.11,1486.67,1371.53,143825.0,1423.38,1721.5
2013-05-01,1386.4,1066.38,911.93,1437.56,1323.87,139278.0,1448.09,1745.22
2013-06-01,1233.14,947.69,810.53,1297.14,1164.95,122229.0,1349.32,1591.97
2013-07-01,1322.49,993.72,869.31,1358.4,1223.94,129375.0,1470.89,1655.45
2013-08-01,1395.69,1055.5,899.57,1470.64,1297.71,136987.0,1567.66,1806.25
2013-09-01,1326.94,981.11,819.81,1368.5,1200.72,130412.0,1422.52,1597.29
2013-10-01,1323.19,973.71,824.67,1379.57,1199.55,130020.0,1398.64,1600.16
2013-11-01,1251.99,921.53,765.23,1328.99,1135.05,128191.0,1373.85,1538.83
2013-12-01,1204.94,876.24,727.73,1280.22,1075.49,126949.0,1350.03,1464.48
2014-01-01,1243.19,921.89,756.17,1383.7,1126.68,126968.0,1421.07,1537.77
2014-02-01,1325.79,959.41,791.06,1465.91,1164.75,134932.0,1484.86,1580.32
2014-03-01,1283.64,931.88,770.11,1417.89,1135.16,132433.0,1384.9,1478.9
2014-04-01,1291.29,930.93,765.05,1414.79,1136.81,132002.0,1389.33,1497.8
2014-05-01,1250.69,916.45,745.67,1354.37,1118.0,127154.0,1341.75,1468.9
2014-06-01,1327.19,969.11,775.62,1415.51,1176.78,134425.0,1406.61,1514.84
2014-07-01,1282.09,957.65,759.3,1398.09,1164.97,131808.0,1379.11,1507.52
2014-08-01,1287.07,979.88,775.23,1399.48,1181.61,133900.0,1377.37,1538.04
2014-09-01,1208.74,956.11,744.9,1352.31,1153.5,132429.0,1380.87,1546.74
