Date,US Coffee C,US Cotton #2,US Sugar #11,Orange Juice,US Cocoa,Lumber,London Cocoa,London Coffee,London Sugar
2010-01-01,135.93,75.7,26.63,,,,2251.0,1335.0,710.4
2010-01-04,141.85,76.18,27.62,128.55,3256.0,201.0,2222.0,1321.0,721.7
2010-01-05,141.0,73.11,27.64,138.5,3321.0,201.3,2275.0,1315.0,723.0
2010-01-06,141.6,73.6,28.41,139.0,3292.0,211.0,2261.0,1339.0,731.4
2010-01-07,141.9,73.04,28.0,138.45,3309.0,206.5,2284.0,1348.0,732.3
2010-01-08,145.35,72.55,27.53,146.7,3296.0,209.0,2270.0,1360.0,726.2
2010-01-11,143.7,74.08,26.75,131.85,3343.0,210.5,2277.0,1346.0,717.0
2010-01-12,143.1,72.7,27.36,136.4,3342.0,210.0,2278.0,1357.0,725.1
2010-01-13,145.15,73.55,28.04,132.7,3389.0,213.0,2288.0,1359.0,736.5
2010-01-14,144.35,72.7,27.76,132.95,3392.0,226.0,2297.0,1357.0,731.8
2010-01-15,140.75,72.05,27.62,131.75,3400.0,229.9,2305.0,1336.0,723.6
2010-01-18,141.13,72.07,27.8,,,,2290.0,1331.0,732.7
2010-01-19,140.9,71.73,28.98,133.35,3461.0,253.8,2318.0,1328.0,743.9
2010-01-20,139.2,70.94,29.11,135.8,3422.0,255.0,2303.0,1305.0,750.0
2010-01-21,138.7,71.96,29.26,136.75,3431.0,248.0,2327.0,1292.0,759.0
2010-01-22,139.6,71.13,28.78,138.65,3425.0,250.4,2340.0,1325.0,747.0
2010-01-25,139.4,69.93,29.8,142.05,3406.0,252.5,2324.0,1329.0,753.2
2010-01-26,138.25,70.04,29.3,142.85,3363.0,247.1,2309.0,1312.0,744.3
2010-01-27,133.55,69.25,28.36,146.15,3268.0,237.6,2246.0,1298.0,722.5
2010-01-28,132.95,69.11,29.0,143.3,3260.0,238.7,2245.0,1295.0,728.8
2010-01-29,131.7,69.17,29.9,136.1,3184.0,248.5,2233.0,1295.0,742.9
2010-01-31,131.95,69.17,29.59,,,,2236.0,1323.0,
2010-02-01,132.55,68.21,29.28,137.2,3152.0,258.5,2225.0,1322.0,733.6
2010-02-02,135.05,69.43,29.4,138.85,3132.0,261.0,2213.0,1339.0,734.5
2010-02-03,133.0,69.55,28.58,139.6,3144.0,269.0,2243.0,1324.0,744.2
2010-02-04,131.55,68.73,27.64,137.25,3090.0,279.0,2250.0,1310.0,742.8
2010-02-05,128.8,66.7,26.17,133.95,2972.0,271.1,2205.0,1295.0,724.5
2010-02-08,130.65,69.5,26.6,134.25,3019.0,271.5,2237.0,1296.0,738.0
2010-02-09,130.4,72.21,27.07,137.65,3003.0,270.0,2238.0,1300.0,749.6
2010-02-10,132.2,72.82,26.64,136.95,3012.0,261.6,2246.0,1295.0,744.5
2010-02-11,132.2,73.09,27.53,134.3,3089.0,264.0,2285.0,1300.0,745.1
2010-02-12,132.75,74.95,26.95,135.35,3093.0,270.9,2286.0,1297.0,741.2
2010-02-15,,,,,,,2298.0,1286.0,735.8
2010-02-16,133.45,75.8,27.36,138.3,3153.0,270.0,2299.0,1286.0,739.0
2010-02-17,132.25,76.08,26.12,137.9,3079.0,272.0,2257.0,1277.0,714.0
2010-02-18,134.1,78.16,26.47,138.3,3071.0,270.0,2250.0,1272.0,706.9
2010-02-19,134.75,79.02,26.8,136.7,3098.0,268.3,2263.0,1269.0,706.3
2010-02-22,129.85,79.75,24.79,136.15,3074.0,261.5,2260.0,1226.0,687.1
2010-02-23,130.35,79.55,24.37,138.25,2931.0,258.2,2177.0,1226.0,653.9
2010-02-24,130.45,79.22,25.11,137.3,2955.0,254.0,2184.0,1233.0,673.7
2010-02-25,127.7,81.46,24.45,138.35,2917.0,253.6,2174.0,1216.0,661.7
2010-02-26,129.05,82.55,24.13,143.65,2917.0,257.0,2181.0,1238.0,669.9
2010-03-01,129.55,83.21,22.26,150.6,2855.0,248.4,2155.0,1269.0,636.3
2010-03-02,130.2,81.87,22.64,151.15,2819.0,252.1,2133.0,1252.0,618.6
2010-03-03,129.7,82.93,22.05,151.25,2813.0,259.0,2125.0,1254.0,619.5
2010-03-04,127.85,82.16,21.67,152.2,2812.0,258.0,2142.0,1210.0,592.0
2010-03-05,128.0,82.39,22.19,152.7,2855.0,257.0,2156.0,1200.0,609.5
2010-03-08,128.7,81.8,21.57,150.9,2827.0,263.6,2144.0,1190.0,589.8
2010-03-09,130.25,80.38,20.32,149.15,2787.0,273.8,2127.0,1219.0,555.3
2010-03-10,130.5,79.96,19.69,149.55,2838.0,273.3,2178.0,1208.0,537.1
2010-03-11,131.45,78.72,19.27,153.1,2844.0,271.4,2171.0,1203.0,531.7
2010-03-12,130.15,80.63,19.67,151.85,2910.0,267.2,2203.0,1203.0,540.9
2010-03-15,128.65,80.58,19.39,151.65,2853.0,259.0,2175.0,1201.0,541.2
2010-03-16,130.35,81.63,18.24,150.4,2835.0,272.4,2155.0,1206.0,521.4
2010-03-17,131.2,81.02,18.33,148.5,2905.0,275.6,2205.0,1223.0,521.5
2010-03-18,133.15,82.25,19.03,144.1,2893.0,281.5,2213.0,1242.0,532.6
2010-03-19,130.3,82.04,18.64,145.55,2834.0,288.2,2198.0,1226.0,528.1
2010-03-22,133.0,82.33,17.84,144.55,2873.0,278.8,2211.0,1241.0,507.5
2010-03-23,134.75,82.79,16.57,142.5,2895.0,277.1,2218.0,1255.0,473.7
2010-03-24,134.3,81.38,17.67,142.1,2833.0,281.5,2201.0,1255.0,484.8
2010-03-25,137.0,80.32,17.05,141.15,2820.0,291.3,2198.0,1310.0,482.6
2010-03-26,135.85,79.82,17.0,136.2,2854.0,290.0,2216.0,1307.0,486.0
