Date,US Dollar Index,PHLX Euro,PHLX Australian Dollar,PHLX Canadian Dollar,PHLX Swiss Franc,PHLX British Pound,PHLX Yen
2010-01-03,77.47,144.1,92.49,97.11,97.65,,
2010-01-10,77.32,143.88,92.24,97.17,97.52,,
2010-01-17,78.28,141.39,90.08,94.53,96.02,,
2010-01-24,79.46,138.62,88.35,93.43,94.3,,
2010-01-31,80.44,136.78,86.84,93.39,93.19,,
2010-02-07,80.32,136.32,88.89,95.19,93.06,,
2010-02-14,80.64,136.14,89.9,96.2,92.97,,
2010-02-21,80.36,136.3,89.57,95.08,93.14,,
2010-02-28,80.43,136.23,90.77,97.13,93.12,,
2010-03-07,79.83,137.67,91.47,98.11,94.59,,
2010-03-14,80.72,135.34,91.59,98.3,94.23,,
2010-03-21,81.68,134.1,90.42,97.41,93.83,,
2010-03-28,81.29,135.82,92.1,99.15,94.85,,
2010-04-04,81.09,134.99,93.33,99.72,93.75,,
2010-04-11,80.82,135.02,92.4,98.74,94.2,,
2010-04-18,81.35,133.83,92.76,100.1,93.25,153.79,106.42
2010-04-25,81.87,132.97,92.46,98.24,92.78,152.7,106.55
2010-05-02,84.45,127.55,88.76,95.85,90.23,147.8,109.09
2010-05-09,86.09,123.57,88.59,96.63,88.21,145.35,108.13
2010-05-16,85.37,125.64,83.24,94.34,87.1,144.78,111.1
2010-05-23,86.48,122.73,84.71,94.84,86.28,144.5,109.81
2010-05-30,88.23,119.69,82.4,94.15,85.97,144.6,108.81
2010-06-06,87.51,121.11,85.04,96.85,87.0,145.49,109.12
2010-06-13,85.7,123.91,87.18,97.87,90.23,148.28,110.23
2010-06-20,85.31,123.71,87.41,96.58,91.5,150.66,112.14
2010-06-27,84.43,125.68,84.19,94.13,94.14,152.02,113.88
2010-07-04,83.95,126.41,87.78,96.74,94.5,150.65,112.88
2010-07-11,82.49,129.29,86.93,94.51,95.18,153.04,115.5
2010-07-18,82.46,129.03,89.54,96.52,94.83,154.36,114.23
2010-07-25,81.54,130.51,90.41,97.12,96.0,155.53,115.65
2010-08-01,80.41,132.82,91.83,97.37,96.25,159.48,116.88
2010-08-08,82.95,127.51,89.24,96.02,95.0,155.91,115.89
2010-08-15,83.06,127.08,89.22,95.36,96.58,155.32,116.75
2010-08-22,82.92,127.32,89.89,95.03,97.1,155.13,117.18
2010-08-29,82.1,128.94,91.66,96.2,98.3,154.61,118.46
2010-09-05,82.7,127.09,92.65,96.6,98.05,153.54,118.78
2010-09-12,81.4,130.35,93.61,96.96,98.99,156.2,116.54
2010-09-19,79.39,134.9,95.95,97.5,101.51,158.26,118.67
2010-09-26,78.09,137.77,96.99,98.01,102.52,158.34,120.03
2010-10-03,77.33,139.27,98.59,98.88,103.74,159.55,121.83
2010-10-10,77.04,139.72,98.91,98.83,104.31,159.82,122.82
2010-10-17,77.47,139.26,98.13,97.36,102.05,156.79,122.9
2010-10-24,77.27,139.16,97.97,98.04,101.61,160.23,124.27
2010-10-31,76.55,140.31,101.57,99.98,104.01,161.79,123.05
2010-11-07,78.08,136.9,98.66,99.09,102.0,161.34,121.32
2010-11-14,78.5,136.86,98.58,98.24,100.81,159.89,119.8
2010-11-21,80.36,132.33,96.28,98.03,99.78,156.03,118.98
2010-11-28,79.38,134.12,99.23,99.66,102.52,157.71,120.89
2010-12-05,80.07,132.28,98.52,99.07,102.01,158.11,119.12
2010-12-12,80.37,131.85,98.83,98.73,103.08,155.19,119.23
2010-12-19,80.5,131.14,100.37,98.99,104.3,154.27,120.55
2010-12-26,79.03,133.91,102.32,100.2,107.08,156.19,123.24
2011-01-02,81.01,129.1,99.65,100.84,103.41,155.46,120.43
2011-01-09,79.16,133.73,98.96,101.07,103.69,158.74,120.49
2011-01-16,78.21,136.14,98.99,100.46,104.34,160.04,121.1
2011-01-23,78.13,136.08,99.29,99.9,106.17,158.61,121.76
2011-01-30,78.04,135.88,101.42,101.18,104.75,160.98,121.66
2011-02-06,78.46,135.47,100.2,101.34,102.75,160.02,119.83
2011-02-13,77.66,136.85,101.46,101.43,105.73,162.34,120.34
2011-02-20,77.28,137.53,101.76,102.18,107.72,161.16,122.46
2011-02-27,76.4,139.85,101.38,102.91,108.0,162.71,121.49
2011-03-06,76.78,139.03,101.5,102.74,107.56,160.81,122.16
2011-03-13,75.72,141.82,99.66,101.61,110.8,162.34,124.01
2011-03-20,76.22,140.87,102.62,102.08,108.7,160.41,122.92
2011-03-27,75.83,142.36,103.85,103.8,108.28,161.13,118.88
2011-04-03,75.07,144.83,105.66,104.67,110.23,163.84,117.99
2011-04-10,74.83,144.27,105.62,104.24,112.07,163.23,120.2
2011-04-17,74.0,145.52,107.5,104.93,112.83,165.19,122.17
2011-04-24,72.93,148.05,109.72,105.8,115.11,167.03,123.11
2011-05-01,74.84,143.13,106.87,103.43,113.68,163.74,123.87
2011-05-08,75.76,141.15,105.76,103.26,112.03,161.89,123.61
2011-05-15,75.44,141.58,106.62,102.64,114.01,162.33,122.29
2011-05-22,74.95,143.21,106.9,102.44,117.67,165.02,123.94
2011-05-29,73.78,146.34,107.18,102.23,119.95,164.25,124.41
2011-06-05,74.8,143.46,105.36,102.05,118.55,162.26,124.67
2011-06-12,74.99,143.07,106.23,102.11,117.72,161.93,124.93
2011-06-19,75.67,141.88,104.9,101.29,119.93,159.59,124.36
2011-06-26,74.35,145.24,107.73,104.33,117.66,160.76,123.85
2011-07-03,75.18,142.64,107.55,103.85,119.45,160.59,124.06
2011-07-10,75.13,141.58,106.42,104.9,122.87,161.37,126.34
2011-07-17,74.2,143.62,108.52,105.49,122.17,163.03,127.4
2011-07-24,73.9,144.03,110.01,104.77,127.23,164.34,130.17
2011-07-31,74.6,142.9,104.42,101.84,130.39,163.91,127.51
2011-08-07,74.61,142.5,103.56,101.28,128.56,162.81,130.23
2011-08-14,74.01,144.02,104.08,101.0,127.38,164.57,130.65
2011-08-21,73.81,144.98,105.74,101.91,123.94,163.72,130.45
2011-08-28,74.76,142.05,106.46,101.49,126.92,162.2,129.73
2011-09-04,77.19,136.51,104.7,100.34,113.17,158.82,128.59
2011-09-11,76.6,137.94,103.69,102.22,114.15,157.89,130.22
2011-09-18,78.5,134.91,97.38,97.27,110.42,154.57,130.4
2011-09-25,78.55,133.88,97.05,95.24,110.16,155.79,129.79
2011-10-02,78.73,133.78,97.84,96.21,107.85,155.63,130.39
2011-10-09,76.62,138.77,103.39,99.0,112.15,158.31,129.54
2011-10-16,76.39,138.96,103.39,99.3,113.33,159.54,131.05
2011-10-23,75.07,141.49,107.15,100.84,115.84,161.26,131.9
2011-10-30,76.96,137.94,103.9,98.17,113.05,160.23,127.82
2011-11-06,76.94,137.5,102.72,98.93,110.99,160.64,129.59
2011-11-13,78.06,135.24,100.07,97.37,109.08,158.1,130.2
2011-11-20,79.69,132.26,96.94,95.23,107.44,154.38,128.68
2011-11-27,78.62,133.94,102.31,98.1,108.49,155.97,128.3
2011-12-04,78.63,133.86,102.18,98.31,108.35,156.7,128.84
2011-12-11,80.26,130.48,99.59,96.33,106.82,155.46,128.61
2011-12-18,79.93,130.49,101.55,97.95,106.74,155.91,128.03
2011-12-25,80.18,129.61,102.23,97.92,106.47,155.38,130.06
2012-01-01,81.25,127.13,102.36,97.2,104.67,154.25,129.93
2012-01-08,81.52,126.75,102.95,97.75,105.07,153.18,129.93
2012-01-15,80.22,129.31,104.76,98.7,107.03,155.75,129.83
2012-01-22,78.9,132.2,106.52,99.77,109.58,157.24,130.35
2012-01-29,78.92,131.55,107.84,100.62,108.95,158.18,130.56
2012-02-05,79.11,131.98,106.63,99.88,109.14,157.56,128.87
2012-02-12,79.33,131.45,107.18,100.34,108.8,158.25,125.73
2012-02-19,78.35,134.47,107.02,100.08,111.64,158.68,123.33
2012-02-26,79.4,131.98,107.39,101.08,109.42,158.33,122.23
2012-03-04,80.04,131.24,105.73,100.94,108.87,156.7,121.29
2012-03-11,79.79,131.79,105.86,100.83,109.24,158.49,119.9
2012-03-18,79.34,132.7,104.61,100.16,110.13,158.7,121.47
2012-03-25,79.0,133.42,103.59,100.21,110.86,160.15,120.69
2012-04-01,79.89,130.66,102.92,100.68,108.73,158.28,121.48
2012-04-08,79.89,130.77,103.83,100.08,108.76,158.47,123.59
2012-04-15,79.19,132.2,103.7,100.8,110.07,161.29,122.66
2012-04-22,78.71,132.53,104.71,101.97,110.31,162.65,124.7
2012-04-29,79.5,130.85,101.84,100.46,108.93,161.54,125.26
2012-05-06,80.26,129.17,100.28,99.98,107.56,160.61,125.12
2012-05-13,81.29,127.78,98.15,97.83,106.39,158.23,126.57
2012-05-20,82.4,125.17,97.69,97.14,104.2,156.63,125.53
2012-05-27,82.89,124.3,96.86,96.15,103.53,153.65,128.26
2012-06-03,82.51,125.16,99.04,97.37,104.2,154.76,125.87
2012-06-10,81.63,126.42,100.6,97.92,105.25,157.17,127.15
2012-06-17,82.26,125.72,100.72,97.6,104.7,155.9,124.35
2012-06-24,81.63,126.65,102.42,98.37,105.45,157.06,125.32
2012-07-01,83.38,122.91,101.87,98.08,102.33,154.93,125.55
2012-07-08,83.35,122.49,102.17,98.64,102.0,155.64,126.32
2012-07-15,83.48,121.58,103.74,98.81,101.23,156.2,127.36
2012-07-22,82.71,123.18,104.64,99.67,102.57,157.39,127.45
2012-07-29,82.38,123.88,105.58,99.88,103.1,156.44,127.46
2012-08-05,82.55,122.9,105.68,100.9,102.35,156.91,127.75
2012-08-12,82.6,123.32,104.25,101.08,102.7,156.98,125.68
2012-08-19,81.59,125.12,104.08,100.78,104.19,158.09,127.12
2012-08-26,81.21,125.79,103.26,101.45,104.75,158.67,127.61
2012-09-02,80.25,128.15,103.98,102.16,105.88,160.24,127.82
2012-09-09,78.85,131.3,105.6,102.9,107.9,162.17,127.59
2012-09-16,79.33,129.79,104.47,102.42,107.21,162.29,127.95
2012-09-23,79.94,128.59,103.8,101.67,106.42,161.7,128.35
2012-09-30,79.34,130.33,101.82,102.18,107.58,161.32,127.14
2012-10-07,79.67,129.53,102.27,102.09,107.13,160.75,127.51
2012-10-14,79.62,130.22,103.28,100.66,107.71,160.05,126.1
2012-10-21,80.07,129.38,103.65,100.33,106.99,161.12,125.56
2012-10-28,80.59,128.35,103.34,100.4,106.38,160.26,124.28
2012-11-04,81.03,127.11,103.9,99.85,105.41,158.93,125.79
2012-11-11,81.26,127.43,103.3,99.9,105.8,158.77,122.93
2012-11-18,80.19,129.73,104.61,100.8,107.74,160.33,121.34
2012-11-25,80.15,129.88,104.25,100.57,107.76,160.13,121.26
2012-12-02,80.41,129.28,104.87,101.16,107.03,160.43,121.22
2012-12-09,79.58,131.66,105.6,101.48,108.97,161.79,119.82
2012-12-16,79.62,131.88,104.06,100.71,109.18,161.72,118.73
2012-12-23,79.68,132.18,103.71,100.33,109.48,161.71,116.39
2012-12-30,80.5,130.69,104.77,101.31,108.14,160.71,113.44
2013-01-06,79.56,133.42,105.42,101.62,109.48,161.33,112.14
2013-01-13,80.04,133.21,105.08,100.84,107.03,158.75,110.98
2013-01-20,79.75,134.6,104.16,99.44,107.95,158.04,110.09
2013-01-27,79.21,136.41,104.07,100.34,110.09,156.95,107.79
2013-02-03,80.21,133.66,103.16,99.76,108.97,158.02,107.94
2013-02-10,80.58,133.62,102.95,99.37,108.5,155.18,106.93
2013-02-17,81.46,131.92,103.21,97.88,107.59,151.59,107.1
2013-02-24,82.28,130.19,101.95,97.38,106.04,150.39,106.83
2013-03-03,82.72,130.06,102.36,97.28,105.18,149.17,104.17
2013-03-10,82.13,130.77,104.07,98.08,106.55,151.16,104.95
2013-03-17,82.53,129.93,104.45,97.69,106.31,152.31,105.84
2013-03-24,83.22,128.18,104.11,98.37,105.31,151.95,106.21
2013-03-31,82.5,129.92,103.75,98.26,106.91,153.37,102.45
2013-04-07,82.13,131.12,104.98,98.67,107.85,153.4,101.64
2013-04-14,82.71,130.52,102.82,97.41,107.11,152.33,100.5
2013-04-21,82.47,130.32,102.84,98.35,106.12,154.75,101.98
2013-04-28,82.1,131.16,103.18,99.21,106.92,155.67,100.98
2013-05-05,83.14,129.91,100.15,99.01,104.43,153.63,98.39
2013-05-12,84.25,128.39,97.36,97.26,102.83,151.67,96.86
2013-05-19,83.7,129.35,96.5,96.94,103.99,151.27,98.77
2013-05-26,83.26,129.98,95.77,96.42,104.71,152.03,99.58
2013-06-02,81.67,132.19,94.98,98.06,106.84,155.59,102.51
2013-06-09,80.62,133.46,95.82,98.32,108.57,157.05,106.41
2013-06-16,82.41,131.23,92.5,95.65,107.0,154.19,102.16
2013-06-23,83.14,130.15,91.5,95.13,105.85,152.13,100.69
2013-06-30,84.44,128.29,90.67,94.54,103.75,148.88,98.81
2013-07-07,82.99,130.68,90.55,96.24,105.67,151.07,100.77
2013-07-14,82.62,131.43,91.93,96.46,106.31,152.74,99.38
2013-07-21,81.66,132.78,92.6,97.3,107.72,153.84,101.77
2013-07-28,81.91,132.76,89.02,96.26,107.63,152.95,101.06
2013-08-04,81.13,133.44,92.13,97.2,108.44,155.02,103.93
2013-08-11,81.26,133.3,91.93,96.74,108.38,156.23,102.48
2013-08-18,81.36,133.84,90.35,95.27,108.52,155.7,101.28
2013-08-25,82.09,132.23,89.02,94.91,107.56,155.08,101.86
2013-09-01,82.15,131.87,91.9,96.03,106.59,156.35,100.9
2013-09-08,81.45,132.96,92.51,96.6,107.58,158.76,100.63
2013-09-15,80.43,135.25,94.05,97.06,109.87,160.04,100.65
2013-09-22,80.29,135.23,93.17,97.05,110.41,161.4,101.77
2013-09-29,80.13,135.58,94.31,97.14,110.3,160.1,102.6
2013-10-06,80.41,135.41,94.63,96.6,109.66,159.56,101.47
2013-10-13,79.65,136.87,96.68,97.2,110.88,161.73,102.32
2013-10-20,79.19,138.03,95.84,95.72,112.05,161.64,102.69
2013-10-27,80.72,134.85,94.35,95.97,109.6,159.26,101.39
2013-11-03,81.3,133.71,93.77,95.45,108.55,160.25,100.96
2013-11-10,80.85,134.97,93.72,95.8,109.37,161.22,99.86
2013-11-17,80.71,135.54,91.64,95.09,110.26,162.33,98.74
2013-11-24,80.68,135.89,91.08,94.22,110.31,163.68,97.57
2013-12-01,80.31,137.04,91.04,94.03,112.13,163.56,97.17
2013-12-08,80.21,137.43,89.64,94.48,112.37,163.04,96.87
2013-12-15,80.58,136.73,89.21,94.0,111.61,163.27,96.09
2013-12-22,80.39,137.49,88.68,93.05,112.18,164.82,95.1
2013-12-29,80.79,135.88,89.46,94.03,110.49,164.2,95.36
2014-01-05,80.66,136.7,89.93,91.83,110.78,164.81,96.01
2014-01-12,81.22,135.4,87.82,91.25,109.86,164.23,95.86
2014-01-19,80.46,136.8,86.86,90.21,111.19,164.85,97.77
2014-01-26,81.31,134.85,87.56,89.88,110.36,164.37,98.02
2014-02-02,80.69,136.36,89.56,90.66,111.41,164.1,97.73
2014-02-09,80.15,136.91,90.34,91.09,111.53,167.48,98.17
2014-02-16,80.24,137.34,89.82,90.03,112.16,166.55,97.57
2014-02-23,79.69,137.99,89.22,90.38,113.34,167.45,98.25
2014-03-02,79.72,138.82,90.67,90.18,113.76,167.16,96.84
2014-03-09,79.45,139.05,90.27,90.05,114.6,166.49,98.66
2014-03-16,80.11,137.93,90.81,89.12,113.28,164.86,97.81
2014-03-23,80.18,137.49,92.47,90.41,112.74,166.43,97.25
2014-03-30,80.42,137.05,92.88,91.06,112.15,165.73,96.8
2014-04-06,79.45,138.77,93.96,91.06,114.08,167.33,98.42
2014-04-13,79.83,138.32,93.32,90.75,113.18,167.91,98.03
2014-04-20,79.75,138.35,92.82,90.58,113.42,168.05,97.88
2014-04-27,79.52,138.83,92.76,91.15,113.91,168.69,97.85
2014-05-04,79.9,137.7,93.62,91.73,113.01,168.49,98.17
2014-05-11,80.04,136.92,93.59,92.07,112.04,168.09,98.53
2014-05-18,80.39,136.35,92.31,92.08,111.7,168.32,98.07
2014-05-25,80.37,136.37,93.1,92.2,111.74,167.53,98.26
2014-06-01,80.41,136.45,93.33,91.47,111.33,168.02,97.55
2014-06-08,80.58,135.25,94.03,92.12,111.25,169.69,98.07
2014-06-15,80.37,135.99,93.89,92.95,111.76,170.13,97.98
2014-06-22,80.02,136.49,94.31,93.76,112.23,170.31,98.64
2014-06-29,80.27,136.12,93.57,93.87,111.93,171.6,97.97
2014-07-06,80.19,136.07,93.9,93.16,111.98,171.18,98.64
2014-07-13,80.52,135.23,93.9,93.17,111.17,170.89,98.67
2014-07-20,81.03,134.27,93.96,92.49,110.48,169.74,98.2
2014-07-27,81.3,134.3,93.13,91.61,110.94,168.21,97.48
2014-08-03,81.45,134.06,92.75,91.14,110.58,167.75,98.01
2014-08-10,81.42,133.99,93.21,91.78,110.77,166.94,97.7
2014-08-17,82.34,132.45,93.17,91.38,109.5,165.7,96.23
2014-08-24,82.75,131.36,93.39,91.91,106.75,165.98,96.08
2014-08-31,83.74,129.49,93.79,91.91,106.89,163.26,95.16
2014-09-07,84.24,129.66,90.39,90.14,107.15,162.68,93.17
2014-09-14,84.73,128.16,89.26,91.21,106.5,162.88,91.71
2014-09-21,85.64,126.93,87.65,89.66,105.09,162.5,91.54
2014-09-28,86.69,125.14,86.75,88.94,103.33,159.77,91.11
2014-10-05,85.91,126.24,86.86,89.27,104.49,160.75,92.88
2014-10-12,85.11,127.57,87.43,88.68,105.72,160.95,93.62
2014-10-19,85.73,126.71,87.87,89.04,105.04,160.9,92.43
2014-10-26,86.92,125.19,87.99,88.76,103.68,159.95,89.04
2014-11-02,87.64,124.58,86.38,88.28,103.69,158.66,87.26
2014-11-09,87.53,125.28,87.59,88.6,104.37,156.69,86.02
2014-11-16,88.31,123.81,86.69,89.03,103.26,156.55,84.9
2014-11-23,88.36,124.44,85.06,87.6,103.63,156.45,84.33
2014-11-30,89.33,122.83,83.16,87.44,101.97,155.8,82.31
2014-12-07,88.36,124.69,82.45,86.34,103.76,157.2,84.19
2014-12-14,89.6,122.29,81.43,86.18,101.61,156.26,83.66
2014-12-21,90.03,122.03,81.21,86.01,102.27,155.58,83.11
2014-12-28,91.08,120.02,80.9,84.85,99.83,153.27,83.0
2015-01-04,91.94,118.43,82.04,84.28,98.6,151.6,84.36
2015-01-11,92.52,115.61,82.21,83.44,116.44,151.45,85.02
2015-01-18,94.76,112.28,79.13,80.5,113.51,149.89,84.99
2015-01-25,94.8,112.86,77.69,78.55,108.56,150.68,85.14
2015-02-01,95.85,113.15,77.96,79.82,107.89,152.34,83.94
2015-02-08,94.2,113.9,77.62,80.31,107.25,153.99,84.17
2015-02-15,94.34,113.79,78.45,79.86,106.59,153.97,84.04
2015-02-22,95.32,111.96,78.12,79.89,104.86,154.35,83.59
2015-03-01,97.61,108.43,77.17,79.21,101.43,150.37,82.76
2015-03-08,100.33,104.96,76.38,78.27,99.46,147.45,82.37
2015-03-15,97.91,108.14,77.75,79.72,102.49,149.49,83.32
2015-03-22,97.29,108.93,77.47,79.27,103.92,148.73,83.94
2015-03-29,96.55,108.83,75.85,79.61,104.21,148.34,83.53
2015-04-05,99.34,105.76,76.78,79.6,101.88,146.32,83.21
2015-04-12,97.52,108.01,77.84,81.7,105.01,149.45,84.08
2015-04-19,96.92,108.73,78.22,82.08,104.84,151.88,84.13
2015-04-26,95.3,111.97,78.51,82.25,107.22,151.46,83.19
2015-05-03,94.79,112.04,79.33,82.85,107.37,154.43,83.47
2015-05-10,93.14,114.61,80.33,83.24,108.31,157.24,83.8
2015-05-17,96.11,110.13,78.23,81.42,105.95,154.9,82.27
2015-05-24,96.91,109.88,76.44,80.29,106.37,152.91,80.56
2015-05-31,96.31,111.0,76.26,80.36,106.44,152.76,79.67
2015-06-07,94.97,112.6,77.32,81.21,107.8,155.6,80.74
2015-06-14,94.08,113.65,77.56,81.53,108.99,158.84,81.5
2015-06-21,95.47,111.68,76.58,81.18,107.15,157.45,80.73
2015-06-28,96.11,110.85,76.35,79.72,105.97,156.1,81.26
2015-07-05,96.03,111.6,74.47,79.01,106.58,155.16,81.46
2015-07-12,97.86,108.46,73.71,77.1,103.99,155.99,80.61
2015-07-19,97.24,109.74,72.82,76.34,103.86,155.09,80.8
2015-07-26,97.34,109.83,73.09,76.39,103.47,156.22,80.7
2015-08-02,97.56,109.73,74.18,76.16,101.71,154.95,80.51
2015-08-09,96.52,110.97,73.79,76.35,102.45,156.45,80.44
2015-08-16,95.01,113.88,73.18,75.83,105.69,156.95,81.92
2015-08-23,96.11,111.8,71.65,75.73,103.85,153.9,82.15
2015-08-30,96.23,111.47,69.11,75.32,102.83,151.7,84.01
2015-09-06,95.19,113.36,70.93,75.4,103.07,154.28,82.93
2015-09-13,94.86,113.0,71.91,75.61,103.24,155.38,83.67
2015-09-20,96.27,111.94,70.28,75.01,102.14,151.82,82.92
2015-09-27,95.83,112.1,70.53,75.99,102.93,151.78,83.41
2015-10-04,94.81,113.58,73.35,77.25,103.98,153.13,83.18
2015-10-11,94.54,113.58,72.65,77.41,104.61,154.39,83.71
