Date,AUDUSD,NZDUSD,GBPUSD,USDCAD,Crude Oil WTI
2010-01-03,0.9246,0.7368,1.6028,1.0301,82.75
2010-01-10,0.9232,0.7383,1.6263,1.0288,78.0
2010-01-17,0.9008,0.7103,1.611,1.0577,74.54
2010-01-24,0.8846,0.7012,1.6004,1.0698,72.89
2010-01-31,0.8677,0.6876,1.5635,1.0688,71.19
2010-02-07,0.8874,0.6966,1.5689,1.0511,74.13
2010-02-14,0.8986,0.6993,1.5474,1.0399,79.81
2010-02-21,0.8951,0.6978,1.525,1.053,79.66
2010-02-28,0.9072,0.6966,1.5137,1.0301,81.5
2010-03-07,0.9153,0.7013,1.5185,1.0185,81.24
2010-03-14,0.9154,0.7082,1.5012,1.0173,80.68
2010-03-21,0.9041,0.7033,1.4903,1.0272,80.0
2010-03-28,0.9194,0.7061,1.5209,1.0114,84.87
2010-04-04,0.9331,0.7158,1.5375,1.0029,84.92
2010-04-11,0.9245,0.7084,1.536,1.0126,83.24
2010-04-18,0.9277,0.7173,1.5379,0.9997,85.12
2010-04-25,0.9246,0.7272,1.5271,1.0175,86.15
2010-05-02,0.8881,0.7144,1.4802,1.0427,75.11
2010-05-09,0.8858,0.7075,1.4539,1.0353,71.61
2010-05-16,0.8325,0.6786,1.4468,1.0593,70.04
2010-05-23,0.8476,0.6796,1.4466,1.0541,73.97
2010-05-30,0.8234,0.6706,1.4463,1.0625,71.51
2010-06-06,0.8503,0.69,1.4545,1.0328,73.78
2010-06-13,0.8721,0.7068,1.4829,1.0217,77.18
2010-06-20,0.8749,0.7140000000000001,1.5065,1.0356,78.86
2010-06-27,0.8417,0.6884,1.5202,1.0627,72.14
2010-07-04,0.8776,0.7115,1.5065,1.0332,76.09
2010-07-11,0.8690000000000001,0.7107,1.5291,1.0577,76.01
2010-07-18,0.8956,0.7274,1.5436,1.0362,78.98
2010-07-25,0.9042,0.726,1.5684,1.0297,78.95
2010-08-01,0.9183,0.7333,1.5947,1.0276,80.7
2010-08-08,0.8929,0.7058,1.5598,1.0425,75.39
2010-08-15,0.8942,0.7067,1.5534,1.0478,73.46
2010-08-22,0.8991,0.7108,1.5522,1.0513,75.17
2010-08-29,0.9166,0.7211,1.5448,1.0389,74.6
2010-09-05,0.9266,0.7285,1.5351,1.0372,76.45
2010-09-12,0.9363,0.7259,1.5629,1.0335,73.66
2010-09-19,0.9590000000000001,0.7340000000000001,1.5821,1.0244,76.49
2010-09-26,0.9718,0.7445,1.5817,1.0202,81.58
2010-10-03,0.9849,0.7559,1.5966,1.0109,82.66
2010-10-10,0.9908,0.7558,1.5993,1.0099,81.25
2010-10-17,0.9828,0.7467,1.5686,1.0259,81.69
2010-10-24,0.9837,0.7664,1.604,1.0189,81.43
2010-10-31,1.0162,0.797,1.6179,1.0004,86.85
2010-11-07,0.9867,0.7744,1.6136,1.0091,84.88
2010-11-14,0.9865,0.7787,1.5986,1.0179,81.51
2010-11-21,0.9647,0.7503,1.5594,1.0204,83.76
2010-11-28,0.9926,0.7674,1.5779,1.0038,89.19
2010-12-05,0.9856,0.7486,1.5817,1.0098,87.79
2010-12-12,0.9889,0.7369,1.5535,1.0134,88.02
2010-12-19,1.0048,0.7490000000000001,1.5444,1.0078,91.51
2010-12-26,1.0217,0.7795,1.5602,0.997,91.38
2011-01-02,0.9965,0.7608,1.5558,0.9913,88.03
2011-01-09,0.9895,0.7664,1.5863,0.9895,91.54
2011-01-16,0.9892,0.7581,1.6002,0.9940000000000001,89.11
2011-01-23,0.9934,0.7728,1.5863,1.0003,89.34
2011-01-30,1.0134,0.7691,1.6101,0.9879,89.03
2011-02-06,1.0025,0.7606,1.6006,0.9872,85.58
2011-02-13,1.0147,0.7618,1.6244,0.9862,86.2
2011-02-20,1.0175,0.7509999999999999,1.6119,0.9778,97.88
