Date,Euro Stoxx 50,DAX,TecDAX,CAC 40,IBEX 35,Italy 40
2010-01-04,,6048.3,834.46,4013.97,12145.1,2303.1
2010-01-05,,6031.86,847.86,4012.91,12204.4,2304.2
2010-01-06,,6034.33,856.01,4017.67,12222.5,2310.7
2010-01-07,,6019.36,858.59,4024.8,12166.3,2319.2
2010-01-08,,6037.61,862.52,4045.14,12163.0,2329.2
2010-01-11,,6040.5,853.41,4043.09,12074.5,2325.6
2010-01-12,,5943.0,842.09,4000.05,11966.1,2306.9
2010-01-13,,5963.14,851.87,4000.86,11958.3,2314.2
2010-01-14,,5988.88,862.83,4015.77,11999.8,2328.7
2010-01-15,,5875.97,841.14,3954.38,11845.0,2296.0
2010-01-18,,5918.55,834.81,3977.46,11870.7,2299.7
2010-01-19,,5976.48,839.07,4009.67,12022.6,2318.9
2010-01-20,,5851.53,826.27,3928.95,11709.0,2262.2
2010-01-21,,5746.97,822.09,3862.16,11444.0,2237.7
2010-01-22,,5695.32,808.4,3820.78,11373.4,2207.6
2010-01-25,,5631.37,808.36,3781.85,11249.3,2188.5
2010-01-26,,5668.93,809.58,3807.04,11347.3,2191.9
2010-01-27,,5643.2,803.71,3759.8,11042.2,2151.8
2010-01-28,,5540.33,807.85,3688.79,10829.3,2113.2
2010-01-29,,5608.79,807.25,3739.46,10947.7,2141.9
2010-02-01,,5654.48,812.9,3762.01,10995.2,2153.2
2010-02-02,,5709.66,825.35,3812.13,11140.9,2192.5
2010-02-03,,5672.09,822.55,3793.47,10888.4,2168.6
2010-02-04,,5533.24,797.36,3689.25,10241.7,2093.8
2010-02-05,,5434.34,775.94,3563.76,10103.3,2036.2
2010-02-08,,5484.85,771.54,3607.27,10206.3,2048.2
2010-02-09,,5498.26,784.18,3612.76,10275.4,2036.5
2010-02-10,,5536.37,780.81,3635.61,10455.0,2077.8
2010-02-11,,5503.93,780.68,3616.75,10281.7,2061.7
2010-02-12,,5500.39,780.59,3599.07,10224.9,2057.7
2010-02-15,,5511.1,789.12,3609.22,10293.6,2066.2
2010-02-16,,5592.12,799.81,3669.04,10393.9,2082.5
2010-02-17,,5648.34,813.12,3725.21,10498.6,2117.9
2010-02-18,,5680.41,815.73,3747.83,10574.2,2121.3
2010-02-19,,5722.05,816.22,3769.54,10676.7,2129.7
2010-02-22,,5688.44,816.59,3756.7,10570.5,2123.1
2010-02-23,,5604.07,805.91,3707.06,10312.9,2076.1
2010-02-24,,5615.51,799.26,3715.68,10254.0,2088.1
2010-02-25,,5532.33,777.62,3640.77,10126.2,2038.9
2010-02-26,,5598.46,788.13,3708.8,10333.6,2060.9
2010-03-01,,5713.51,799.74,3769.54,10434.9,2085.6
2010-03-02,,5776.56,803.54,3811.92,10521.5,2096.4
2010-03-03,,5817.88,816.69,3842.52,10664.5,2127.1
2010-03-04,,5795.32,815.24,3828.41,10745.3,2136.8
2010-03-05,,5877.36,823.35,3910.42,11019.8,2179.2
2010-03-08,,5875.91,828.17,3903.54,11078.3,2191.0
2010-03-09,,5885.89,829.79,3910.01,11002.8,2186.8
2010-03-10,,5936.72,843.67,3943.55,11121.0,2214.5
2010-03-11,,5928.63,836.5,3928.95,11045.4,2204.9
2010-03-12,,5945.11,833.89,3927.4,11077.0,2207.3
2010-03-15,,5903.56,827.09,3890.91,10957.8,2188.5
2010-03-16,,5970.99,830.12,3938.95,11059.3,2212.6
2010-03-17,,6024.28,831.17,3957.89,11166.8,2240.3
2010-03-18,,6012.31,823.9,3938.18,11073.5,2228.8
2010-03-19,,5982.43,818.94,3925.44,10990.8,2219.2
2010-03-22,,5987.5,816.02,3928.0,10861.9,2212.9
2010-03-23,,6017.27,818.66,3952.55,10996.2,2226.9
2010-03-24,,6039.0,824.53,3949.81,10866.3,2230.1
2010-03-25,,6132.95,832.23,4000.48,11091.4,2253.2
2010-03-26,,6120.05,826.75,3988.93,11071.1,2256.1
2010-03-29,,6156.85,820.76,4000.66,11091.0,2260.1
2010-03-30,,6142.45,809.86,3987.41,10980.7,2250.2
2010-03-31,,6153.55,815.97,3974.01,10871.3,2235.0
2010-04-01,,6235.56,825.48,4034.23,11067.9,2270.0
2010-04-05,,6235.56,,,,
2010-04-06,,6252.21,838.34,4053.94,11160.6,2283.7
2010-04-07,,6222.41,836.74,4026.97,11191.3,2264.6
2010-04-08,,6171.83,829.04,3978.46,11076.3,2232.2
2010-04-09,,6249.7,835.2,4050.54,11394.2,2260.0
2010-04-12,,6250.69,839.66,4050.5,11460.8,2278.4
2010-04-13,,6230.83,840.33,4031.99,11461.0,2269.0
2010-04-14,,6278.4,847.03,4057.7,11503.7,2296.8
2010-04-15,,6291.45,851.9,4065.65,11523.5,2302.6
2010-04-16,,6180.9,837.45,3986.63,11259.7,2250.5
2010-04-19,,6162.44,832.35,3970.47,11199.5,2228.9
2010-04-20,,6264.23,848.23,4026.65,11305.6,2276.4
2010-04-21,,6230.38,849.22,3977.67,11064.7,2254.2
2010-04-22,,6168.72,841.06,3924.65,10821.9,2212.3
2010-04-23,,6259.53,839.56,3951.3,10918.2,2223.0
2010-04-26,,6332.1,844.92,3997.39,10939.3,2228.6
2010-04-27,,6159.51,821.14,3844.6,10480.9,2155.6
2010-04-28,,6084.34,799.81,3787.0,10167.0,2103.2
2010-04-29,,6144.91,805.75,3840.62,10441.0,2122.2
2010-04-30,,6135.7,803.03,3816.99,10492.2,2109.2
2010-05-03,,6166.92,811.97,3828.46,10422.8,2115.7
2010-05-04,,6006.86,789.39,3689.29,9859.1,2016.4
2010-05-05,,5958.45,773.14,3636.03,9635.2,1990.8
2010-05-06,,5908.26,769.63,3556.11,9352.6,1905.9
2010-05-07,,5715.09,746.53,3392.59,9046.1,1843.5
2010-05-10,,6017.91,780.1,3720.29,10351.9,2051.4
2010-05-11,,6037.71,769.98,3693.2,10008.6,2041.9
2010-05-12,,6183.49,789.82,3733.87,10089.8,2057.1
2010-05-13,,6251.97,792.21,3731.54,9977.5,2042.3
2010-05-14,,6056.71,772.4,3560.36,9314.7,1935.0
2010-05-17,,6066.92,765.99,3543.55,9286.1,1939.4
2010-05-18,,6155.93,768.68,3617.32,9627.6,1987.1
2010-05-19,,5988.67,745.41,3511.67,9376.5,1918.5
2010-05-20,,5867.88,723.26,3432.52,9270.5,1886.1
2010-05-21,,5829.25,725.28,3430.74,9407.3,1911.0
2010-05-24,,5805.68,723.62,3430.93,9287.9,1861.5
2010-05-25,,5670.04,691.02,3331.29,9004.4,1798.2
2010-05-26,,5758.02,716.13,3408.59,9042.6,1836.9
2010-05-27,,5937.14,741.38,3525.31,9334.9,1920.4
2010-05-28,,5946.18,742.17,3515.06,9425.5,1905.1
2010-05-31,,5964.33,747.94,3507.56,9359.4,1911.8
2010-06-01,,5981.27,744.97,3503.08,9299.7,1885.9
2010-06-02,,5981.2,742.42,3501.5,9268.0,1876.5
2010-06-03,,6054.63,756.72,3557.34,9276.2,1904.9
2010-06-04,,5938.88,746.22,3455.61,8923.4,1832.6
2010-06-07,,5904.95,730.77,3413.72,8795.3,1822.5
2010-06-08,,5868.55,719.56,3380.36,8669.8,1813.8
2010-06-09,,5984.75,739.81,3446.77,8868.7,1850.0
2010-06-10,,6056.59,753.67,3516.64,9198.2,1896.8
2010-06-11,,6047.83,764.02,3555.52,9561.7,1923.1
2010-06-14,,6125.0,772.73,3626.04,9584.0,1974.8
2010-06-15,,6175.05,775.79,3661.51,9742.0,2013.4
2010-06-16,,6190.91,773.52,3675.93,9683.3,2011.4
2010-06-17,,6223.54,778.25,3683.08,9755.1,2012.0
2010-06-18,,6216.98,777.14,3687.21,9971.8,2030.0
2010-06-21,,6292.97,789.61,3736.15,10071.9,2035.6
2010-06-22,,6269.04,780.65,3705.32,10016.1,2015.9
2010-06-23,,6204.52,772.47,3641.79,9886.0,1991.5
2010-06-24,,6115.48,758.29,3555.36,9586.5,1950.7
2010-06-25,,6070.6,751.71,3519.73,9535.0,1952.6
2010-06-28,,6157.22,757.07,3576.45,9688.5,1969.1
2010-06-29,,5952.03,733.25,3432.99,9160.4,1881.7
2010-06-30,,5965.52,734.48,3442.89,9263.4,1889.0
2010-07-01,,5857.43,720.06,3339.9,9178.2,1853.1
2010-07-02,,5834.15,725.5,3348.37,9250.8,1865.8
2010-07-05,,5816.2,723.22,3332.46,9281.5,1843.7
