Date,AUDUSD,NZDUSD,GBPUSD,USDCAD,Crude Oil WTI
2010-01-01,0.8972,0.7232,1.617,1.052,
2010-01-04,0.9127,0.7342,1.6097,1.0417,81.51
2010-01-05,0.912,0.7337,1.5998,1.0396,81.77
2010-01-06,0.9203,0.7378,1.6025,1.0318,83.18
2010-01-07,0.9165,0.7325,1.5935,1.0347,82.66
2010-01-08,0.9246,0.737,1.6028,1.0301,82.75
2010-01-11,0.9316,0.7417,1.6104,1.0335,82.52
2010-01-12,0.9204,0.7382,1.6176,1.0396,80.79
2010-01-13,0.9244,0.7401,1.6288,1.031,79.65
2010-01-14,0.932,0.7421,1.6333,1.0234,79.39
2010-01-15,0.9232,0.738,1.6263,1.0288,78.0
2010-01-18,0.9264,0.7406,1.6332,1.0263,
2010-01-19,0.9248,0.7336,1.6369999999999998,1.0307,79.02
2010-01-20,0.9088,0.7216,1.6283,1.0463,77.62
2010-01-21,0.9009999999999999,0.7131,1.6199,1.0522,76.08
2010-01-22,0.9008,0.7096,1.611,1.0577,74.54
2010-01-25,0.9042,0.7140000000000001,1.6241,1.0584,75.26
2010-01-26,0.8984,0.7076,1.6143,1.0625,74.71
2010-01-27,0.8949,0.706,1.6162,1.064,73.67
2010-01-28,0.8933,0.7049,1.6125,1.0666,73.64
2010-01-29,0.8846,0.7012,1.6004,1.0698,72.89
2010-02-01,0.8918,0.7089,1.5956,1.0619,74.43
2010-02-02,0.8867,0.7133,1.5976,1.0581,77.23
2010-02-03,0.883,0.6986,1.5898,1.0623,76.98
2010-02-04,0.8640000000000001,0.6886,1.5751,1.0726,73.14
2010-02-05,0.8677,0.6894,1.5635,1.0688,71.19
2010-02-08,0.8647,0.6826,1.5599,1.0754,71.89
2010-02-09,0.878,0.6951,1.5706,1.0677,73.75
2010-02-10,0.8751,0.6944,1.5583,1.0629,74.52
2010-02-11,0.8911,0.6985,1.5695,1.0507,75.28
2010-02-12,0.8874,0.6974,1.5689,1.0511,74.13
2010-02-15,0.8891,0.6971,1.5658,1.0492,
2010-02-16,0.9021,0.7063,1.5787,1.0442,77.01
2010-02-17,0.8999,0.7026,1.5672,1.0461,77.33
2010-02-18,0.9021,0.6956,1.5627,1.0415,79.06
2010-02-19,0.8986,0.6994,1.5474,1.0399,79.81
2010-02-22,0.9002,0.7016,1.5483,1.0429,80.16
2010-02-23,0.89,0.6947,1.5414,1.0558,78.86
2010-02-24,0.8929,0.6940000000000001,1.5404,1.0546,80.0
2010-02-25,0.8885,0.6906,1.5268,1.0604,78.17
2010-02-26,0.8951,0.6982,1.525,1.053,79.66
2010-03-01,0.9012,0.6996,1.4991,1.0421,78.7
2010-03-02,0.9033,0.6970000000000001,1.4962,1.0362,79.68
2010-03-03,0.9057,0.6936,1.5105,1.0312,80.87
2010-03-04,0.9006,0.6861,1.5033,1.0314,80.21
2010-03-05,0.9072,0.6962,1.5137,1.0301,81.5
2010-03-08,0.9093,0.6996,1.5063,1.028,81.87
2010-03-09,0.9139,0.7034,1.5001,1.0263,81.49
2010-03-10,0.9147,0.7002,1.4983,1.0257,82.09
2010-03-11,0.9153,0.6996,1.5061,1.0243,82.11
