Date,XAGUSD,XAGEUR,XAGGBP,XAGCAD,XAGCHF,XAGAUD
2010-01-03,18.47,,,,,
2010-01-10,18.41,,,,,
2010-01-17,17.08,,,,,
2010-01-24,16.19,,,,,
2010-01-31,15.16,,,,,
2010-02-07,15.54,,,,,
2010-02-14,16.3,,,,,
2010-02-21,16.48,,,,,
2010-02-28,17.34,,,,,
2010-03-07,17.09,,,,,
2010-03-14,16.98,,,,,
2010-03-21,16.9,,,,,
2010-03-28,17.9,,,,,
2010-04-04,18.39,,,,,
2010-04-11,17.72,,,,,
2010-04-18,18.32,,,,,
2010-04-25,18.64,,,,,
2010-05-02,18.37,,,,,
2010-05-09,19.27,,,,,
2010-05-16,17.66,,,,,
2010-05-23,18.4,,,,,
2010-05-30,17.42,,,,,
2010-06-06,18.24,,,,,
2010-06-13,19.17,,,,,
2010-06-20,19.08,,,,,
2010-06-27,17.87,,,,,
2010-07-04,18.13,,,,,
2010-07-11,17.87,,,,,
2010-07-18,18.11,,,,,
2010-07-25,17.99,,,,,
2010-08-01,18.41,,,,,
2010-08-08,18.14,,,,,
2010-08-15,18.01,,,,,
2010-08-22,19.09,,,,,
2010-08-29,19.84,,,,,
2010-09-05,19.88,,,,,
2010-09-12,20.77,,,,,
2010-09-19,21.46,,,,,
2010-09-26,22.1,,,,,
2010-10-03,23.22,,,,,
2010-10-10,24.32,,,,,
2010-10-17,23.29,,,,,
2010-10-24,24.73,,,,,
2010-10-31,26.73,,,,,
2010-11-07,26.04,,,,,
2010-11-14,27.35,,,,,
2010-11-21,26.69,,,,,
2010-11-28,29.35,,,,,
2010-12-05,28.7,,,,,
2010-12-12,29.16,,,,,
2010-12-19,29.25,,,,,
2010-12-26,30.91,,,,,
2011-01-02,28.75,,,,,
2011-01-09,28.47,,,,,
2011-01-16,27.47,,,,,
2011-01-23,27.98,,,,,
2011-01-30,29.15,,,,,
2011-02-06,29.88,,,,,
2011-02-13,32.56,,,,,
2011-02-20,33.34,,,,,
2011-02-27,35.55,,,,,
2011-03-06,35.89,,,,,
2011-03-13,35.26,,,,,
2011-03-20,37.33,,,,,
2011-03-27,37.72,,,,,
2011-04-03,40.91,,,,,
2011-04-10,43.04,,,,,
2011-04-17,46.69,,,,,
2011-04-24,48.0,,,,,
2011-05-01,35.65,,,,,
2011-05-08,35.38,,,,,
2011-05-15,35.05,,,,,
2011-05-22,38.05,,,,,
2011-05-29,36.24,,,,,
2011-06-05,36.2,,,,,
2011-06-12,35.84,,,,,
2011-06-19,34.3,24.17,,,,
2011-06-26,33.86,23.31,,,,
2011-07-03,36.68,25.7,,,,
2011-07-10,39.28,27.75,,,,
2011-07-17,40.04,27.89,,,,
2011-07-24,39.86,27.69,,,,
2011-07-31,38.36,26.86,,,,
2011-08-07,39.07,27.42,,,,
2011-08-14,42.89,29.79,,,,
2011-08-21,41.7,28.76,,,,
2011-08-28,43.24,30.44,,,,
2011-09-04,41.49,30.39,,,,
2011-09-11,40.62,29.44,,,,
2011-09-18,31.17,23.09,,,,
2011-09-25,29.93,22.36,,,,
2011-10-02,31.16,23.3,,,,
2011-10-09,32.16,23.17,,,,
2011-10-16,31.33,22.55,,,,
2011-10-23,35.37,25.0,,,,
2011-10-30,34.15,24.75,,,,
2011-11-06,34.68,25.21,,,,
2011-11-13,32.31,23.88,,,,
2011-11-20,31.0,23.43,,,,
2011-11-27,32.57,24.3,,,,
2011-12-04,32.22,24.08,,,,
2011-12-11,29.68,22.77,,,,
2011-12-18,29.08,22.29,,,,
2011-12-25,27.73,21.42,,,,
2012-01-01,28.74,22.59,,,,
2012-01-08,29.73,23.45,,,,
2012-01-15,32.11,24.83,,,,
2012-01-22,33.9,25.63,,,,
2012-01-29,33.63,25.59,,,,
2012-02-05,33.49,25.42,,,,
2012-02-12,33.22,25.26,,,,
2012-02-19,35.39,26.3,,,,
2012-02-26,34.78,26.36,,,,
2012-03-04,34.2,26.08,,,,
2012-03-11,32.58,24.73,,,,
2012-03-18,32.21,24.28,,,,
2012-03-25,32.26,24.18,,,,
2012-04-01,31.7,24.25,,,,
2012-04-08,31.51,24.09,,,,
2012-04-15,31.69,23.96,,,,
2012-04-22,31.27,23.59,,,,
2012-04-29,30.34,23.19,,,,
2012-05-06,28.92,22.39,,,,
2012-05-13,28.73,22.48,,,,29.185
2012-05-20,28.52,22.79,,,,29.22
2012-05-27,28.68,23.06,,,,29.553
2012-06-03,28.5,22.77,,,,28.74
2012-06-10,28.73,22.74,,,,28.5
2012-06-17,26.94,21.43,,,,26.766
2012-06-24,27.47,21.7,,,,26.826
2012-07-01,27.09,22.05,,,,26.525
2012-07-08,27.32,22.3,,,,26.706
2012-07-15,27.34,22.49,,,,26.338
2012-07-22,27.74,22.53,,,,26.482
2012-07-29,27.81,22.46,,,,26.316
2012-08-05,28.12,22.87,,,,26.593000000000004
2012-08-12,28.09,22.76,,,,26.939
2012-08-19,30.81,24.59,,,,29.575
2012-08-26,31.73,25.23,,,,30.747
2012-09-02,33.69,26.27,,,,32.422
2012-09-09,34.67,26.42,,,,32.864000000000004
2012-09-16,34.52,26.6,,,,32.985
2012-09-23,34.5,26.83,,,,33.239000000000004
2012-09-30,34.51,26.48,,,,33.882
2012-10-07,33.47,25.84,,,,32.705999999999996
2012-10-14,32.06,24.62,,,,31.044
2012-10-21,32.09,24.78,,,,30.924
2012-10-28,30.89,24.09,,,,29.915
2012-11-04,32.61,25.65,,,,31.386999999999997
2012-11-11,32.31,25.33,,,,31.197
2012-11-18,34.14,26.32,,,,32.656
2012-11-25,33.42,25.72,,,,32.056999999999995
2012-12-02,33.07,25.59,,,,31.544
2012-12-09,32.25,24.49,,,,30.531
2012-12-16,30.0,22.75,,,,28.822
2012-12-23,30.03,22.72,,,,28.980999999999998
2012-12-30,30.25,23.13,,,,28.849
2013-01-06,30.46,22.83,,,,28.898000000000003
2013-01-13,31.88,23.92,,,,30.305
2013-01-20,31.18,23.18,,,,29.923000000000002
2013-01-27,31.83,23.3,,,,30.588
2013-02-03,31.42,23.53,,,,30.468000000000004
2013-02-10,29.77,22.3,,,,28.926
2013-02-17,28.71,21.79,,,,27.820999999999998
2013-02-24,28.58,21.96,,,,28.038
2013-03-03,28.98,22.3,,,,28.34
2013-03-10,28.77,21.99,,,,27.625
2013-03-17,28.71,22.13,,,,27.522
2013-03-24,28.37,22.06,,,,27.148000000000003
2013-03-31,27.34,21.04,,,,26.34
2013-04-07,25.89,19.75,,,,24.638
2013-04-14,23.22,17.79,,,,22.595
2013-04-21,24.03,18.44,,,,23.381
2013-04-28,24.12,18.4,,,,23.384
2013-05-05,23.87,18.35,,,,23.789
2013-05-12,22.28,17.35,,,,22.904
2013-05-19,22.43,17.34,,,,23.25
2013-05-26,22.26,17.13,,,,23.254
2013-06-02,21.69,16.41,,,,22.836
2013-06-09,22.09,16.54,,,,23.066999999999997
2013-06-16,20.13,15.35,,21.04,,21.834
2013-06-23,19.66,15.11,,20.68,,21.515
2013-06-30,18.86,14.7,,19.95,,20.804000000000002
2013-07-07,19.91,15.24,,20.7,,22.004
2013-07-14,19.51,14.85,,20.23,,21.269000000000002
2013-07-21,20.0,15.06,,20.56,,21.590999999999998
2013-07-28,19.94,15.01,,20.72,,22.399
2013-08-04,20.565,15.41,,21.16,,22.37
2013-08-11,23.25,17.44,,24.03,,25.313000000000002
2013-08-18,24.0,17.98,,25.24,,26.654
