Date,US Coffee C,US Cotton #2,US Sugar #11,Orange Juice,US Cocoa,Lumber,London Cocoa,London Coffee,London Sugar
2010-01-01,131.7,69.03,29.9,136.1,3184.0,248.5,2233.0,1295.0,742.9
2010-02-01,129.05,82.61,24.13,143.65,2917.0,257.0,2181.0,1238.0,669.9
2010-03-01,136.15,80.55,16.59,135.3,2969.0,287.2,2255.0,1324.0,504.0
2010-04-01,135.2,82.76,15.05,134.35,3229.0,291.5,2370.0,1292.0,470.1
2010-05-01,134.25,80.05,14.19,142.9,2965.0,225.5,2420.0,1338.0,468.6
2010-06-01,164.2,82.6,18.03,148.25,2894.0,195.0,2503.0,1699.0,528.8
2010-07-01,176.3,82.36,19.57,146.6,3091.0,209.0,2273.0,1741.0,585.7
2010-08-01,176.8,89.08,19.75,137.6,2698.0,204.5,1951.0,1602.0,578.7
2010-09-01,183.05,104.18,25.3,156.95,2814.0,227.0,1910.0,1726.0,617.0
2010-10-01,203.45,125.26,29.12,161.7,2797.0,257.0,1856.0,1965.0,722.6
2010-11-01,200.95,126.23,27.55,149.2,2772.0,247.0,1892.0,1763.0,710.0
2010-12-01,240.5,144.81,32.12,172.35,3035.0,302.0,2017.0,2082.0,777.5
2011-01-01,244.8,168.44,33.97,168.55,3352.0,310.0,2185.0,2100.0,811.6
2011-02-01,271.7,196.52,32.51,179.95,3757.0,288.9,2392.0,2339.0,743.8
2011-03-01,264.15,200.23,27.11,162.8,2952.0,303.4,1915.0,2525.0,711.7
2011-04-01,299.35,178.78,23.38,176.55,3390.0,237.0,1975.0,2531.0,615.1
2011-05-01,264.6,158.67,23.18,182.5,2999.0,243.5,1840.0,2575.0,672.0
2011-06-01,265.35,159.79,28.36,198.6,3170.0,244.9,1954.0,2453.0,739.0
2011-07-01,239.55,102.08,29.81,199.75,2974.0,248.5,1852.0,2039.0,777.4
2011-08-01,289.1,105.88,29.68,168.55,3098.0,241.6,1936.0,2298.0,770.8
2011-09-01,228.9,98.71,26.34,150.0,2608.0,211.1,1699.0,1964.0,663.3
2011-10-01,226.95,102.29,25.77,183.9,2696.0,224.2,1673.0,1779.0,689.6
2011-11-01,233.8,90.31,23.69,176.1,2162.0,218.2,1440.0,1944.0,613.6
2011-12-01,226.85,91.8,23.3,169.0,2109.0,247.1,1380.0,1766.0,602.0
2012-01-01,215.05,93.25,23.64,210.0,2291.0,248.2,1497.0,1838.0,630.2
2012-02-01,203.15,89.86,25.66,190.55,2383.0,265.8,1479.0,2009.0,652.4
2012-03-01,182.45,93.52,24.71,164.5,2219.0,260.9,1462.0,2031.0,643.6
2012-04-01,177.95,87.25,21.17,140.85,2263.0,284.9,1472.0,1961.0,574.6
2012-05-01,160.65,71.55,19.42,112.05,2083.0,281.0,1471.0,2211.0,558.6
2012-06-01,170.1,72.16,21.81,122.65,2289.0,273.4,1614.0,2103.0,611.3
2012-07-01,174.4,70.58,22.64,109.9,2376.0,281.0,1629.0,2223.0,616.8
2012-08-01,164.55,76.48,19.78,131.9,2656.0,288.1,1686.0,2038.0,566.4
2012-09-01,173.5,69.15,19.58,113.15,2516.0,279.0,1631.0,2188.0,574.5
2012-10-01,154.65,70.07,19.46,106.25,2388.0,318.8,1548.0,1940.0,541.8
2012-11-01,142.1,72.65,19.34,123.25,2538.0,340.1,1593.0,1933.0,516.1
2012-12-01,143.8,75.14,19.51,116.05,2236.0,373.9,1435.0,1963.0,523.7
2013-01-01,146.95,82.95,18.78,119.7,2205.0,352.7,1428.0,2018.0,499.4
2013-02-01,142.65,83.56,18.38,127.15,2146.0,380.3,1409.0,2058.0,519.7
2013-03-01,137.15,88.46,17.66,135.15,2170.0,391.2,1467.0,2023.0,503.3
2013-04-01,134.95,85.53,17.67,141.4,2368.0,345.5,1544.0,1965.0,505.1
2013-05-01,127.05,79.36,16.55,151.35,2191.0,306.3,1491.0,1844.0,477.3
2013-06-01,120.0,82.71,16.38,129.9,2194.0,297.6,1440.0,1731.0,502.3
2013-07-01,118.6,85.63,16.97,143.9,2298.0,310.5,1572.0,1842.0,490.7
2013-08-01,112.1,83.7,16.34,136.95,2413.0,320.4,1639.0,1749.0,477.9
2013-09-01,113.7,86.11,17.48,131.3,2640.0,344.1,1707.0,1582.0,486.1
2013-10-01,105.4,77.18,18.32,121.55,2677.0,361.5,1697.0,1460.0,483.3
2013-11-01,110.25,78.14,17.15,139.7,2791.0,364.8,1736.0,1623.0,464.0
2013-12-01,110.7,84.64,16.41,136.45,2709.0,360.1,1730.0,1685.0,449.0
2014-01-01,125.2,85.83,15.55,142.55,2911.0,353.8,1844.0,1819.0,424.0
2014-02-01,179.8,86.59,16.47,147.75,2935.0,350.0,1838.0,2118.0,476.3
2014-03-01,177.9,93.52,17.77,155.0,2955.0,335.8,1867.0,2154.0,474.2
2014-04-01,203.05,94.14,17.24,154.6,2974.0,335.9,1835.0,2167.0,476.9
2014-05-01,177.5,86.27,17.38,159.4,3071.0,312.3,1950.0,1948.0,470.9
