Date,Live Cattle,Lean Hogs,Feeder Cattle
2010-01-01,85.8,66.5,98.88
2010-02-01,90.3,72.8,101.05
2010-03-01,96.55,73.33,110.42
2010-04-01,99.925,89.53,112.8
2010-05-01,90.525,81.85,108.42
2010-06-01,91.25,79.22,113.05
2010-07-01,92.65,85.82,113.72
2010-08-01,97.25,75.15,114.1
2010-09-01,96.7,77.78,109.92
2010-10-01,98.85,66.2,110.32
2010-11-01,103.075,69.03,119.18
2010-12-01,107.9,79.75,121.88
2011-01-01,108.95,87.25,128.0
2011-02-01,110.25,88.8,130.07
2011-03-01,121.55,93.72,134.02
2011-04-01,117.05,95.28,131.9
2011-05-01,103.75,90.18,124.38
2011-06-01,112.75,94.4,138.07
2011-07-01,112.625,102.78,137.05
2011-08-01,113.0,85.5,132.45
2011-09-01,122.15,93.38,140.52
2011-10-01,119.8,87.47,140.05
2011-11-01,121.6,88.18,146.02
2011-12-01,122.9,84.3,146.35
2012-01-01,124.85,87.53,155.52
2012-02-01,127.65,89.43,157.23
2012-03-01,120.45,83.43,148.82
2012-04-01,118.75,83.68,149.82
2012-05-01,117.1,89.8,156.8
2012-06-01,116.55,96.63,151.45
2012-07-01,118.875,92.95,138.63
2012-08-01,118.075,74.18,144.6
2012-09-01,122.075,77.18,143.8
2012-10-01,126.75,78.28,146.3
2012-11-01,126.725,84.07,145.63
2012-12-01,129.9,85.72,151.4
2013-01-01,127.625,87.6,146.3
2013-02-01,128.0,81.0,142.0
2013-03-01,128.9,80.6,135.52
2013-04-01,128.4,90.1,139.55
2013-05-01,121.3,95.63,144.32
2013-06-01,118.15,101.28,149.45
2013-07-01,121.45,97.57,153.43
2013-08-01,122.7,87.63,156.93
2013-09-01,127.85,91.97,164.1
2013-10-01,134.5,89.18,165.32
2013-11-01,133.475,85.68,165.48
2013-12-01,134.5,85.43,166.7
2014-01-01,141.675,86.22,169.43
2014-02-01,151.95,106.85,171.7
2014-03-01,145.85,126.0,177.02
2014-04-01,145.825,117.68,181.2
2014-05-01,137.8,113.35,197.05
2014-06-01,153.0,132.65,212.77
2014-07-01,157.925,118.03,220.68
2014-08-01,155.9,98.13,218.65
2014-09-01,160.45,107.97,235.43
2014-10-01,169.5,88.03,234.15
2014-11-01,168.875,90.32,231.07
2014-12-01,165.7,81.2,219.45
2015-01-01,154.85,67.47,205.2
2015-02-01,158.0,67.47,201.9
2015-03-01,161.325,62.42,218.13
2015-04-01,159.5,76.95,217.55
2015-05-01,152.325,83.82,222.95
2015-06-01,147.85,76.2,214.73
2015-07-01,145.7,78.5,210.73
2015-08-01,145.5,68.03,201.82
2015-09-01,124.675,73.53,178.18
2015-10-01,139.25,59.2,190.9
2015-11-01,130.05,58.42,162.75
2015-12-01,135.8,59.8,166.9
2016-01-01,135.3,65.8,157.25
2016-02-01,139.5,69.97,158.15
2016-03-01,132.925,68.35,157.07
2016-04-01,123.1,77.9,145.52
2016-05-01,121.1,80.57,147.1
2016-06-01,120.0,82.85,144.3
2016-07-01,113.075,68.97,140.05
2016-08-01,111.95,62.85,140.52
2016-09-01,98.9,49.03,123.15
2016-10-01,103.1,47.95,121.85
2016-11-01,110.75,51.03,128.43
2016-12-01,119.0,66.15,130.45
2017-01-01,115.6,69.07,122.78
2017-02-01,126.6,67.6,125.07
2017-03-01,119.95,65.68,133.95
2017-04-01,138.0,66.97,149.55
2017-05-01,124.425,81.93,152.57
2017-06-01,119.1,90.63,147.93
2017-07-01,112.0,80.3,146.18
2017-08-01,104.525,61.4,142.73
2017-09-01,109.1,55.4,152.23
2017-10-01,120.5,68.0,159.43
2017-11-01,119.9,64.28,154.18
2017-12-01,123.0,71.78,146.0
2018-01-01,123.85,73.22,145.05
2018-02-01,127.5,67.22,144.75
2018-03-01,113.75,57.25,135.6
2018-04-01,123.75,66.3,140.18
2018-05-01,105.05,76.63,147.4
2018-06-01,107.0,82.88,151.32
2018-07-01,107.675,61.13,149.32
2018-08-01,106.8,50.42,149.45
2018-09-01,113.45,62.17,158.18
2018-10-01,115.85,58.45,153.48
2018-11-01,116.925,57.88,145.23
2018-12-01,124.8,60.97,148.85
2019-01-01,124.8,56.25,142.1
2019-02-01,129.95,55.88,142.88
2019-03-01,125.7,77.38,145.25
2019-04-01,123.75,84.3,141.6
2019-05-01,108.475,81.72,133.13
2019-06-01,110.5,72.1,136.85
2019-07-01,106.9,79.32,141.52
2019-08-01,105.0,63.53,132.4
2019-09-01,104.575,65.45,142.4
2019-10-01,111.675,66.0,145.95
2019-11-01,121.2,62.03,142.27
2019-12-01,124.7,71.43,145.32
2020-01-01,121.375,57.13,136.07
2020-02-01,112.7,62.28,131.27
2020-03-01,101.825,52.2,121.93
2020-04-01,90.0,59.13,119.18
2020-05-01,99.725,56.85,135.35
2020-06-01,91.65,45.17,132.85
2020-07-01,102.825,52.0,144.68
2020-08-01,104.5,53.6,140.3
2020-09-01,108.55,72.8,141.35
2020-10-01,105.975,65.57,137.4
2020-11-01,110.175,67.57,141.05
2020-12-01,112.95,70.28,138.95
2021-01-01,115.05,69.8,137.73
2021-02-01,113.1,87.15,138.68
2021-03-01,120.975,101.05,143.88
2021-04-01,116.0,110.13,133.6
2021-05-01,115.875,117.25,151.35
2021-06-01,118.55,118.78,152.07
