Date,US Dollar Index,PHLX Euro,PHLX Australian Dollar,PHLX Canadian Dollar,PHLX Swiss Franc,PHLX British Pound,PHLX Yen
2010-01-01,79.46,138.62,88.35,93.43,94.3,159.92,110.83
2010-02-01,80.36,136.3,89.57,95.08,93.14,152.36,112.44
2010-03-01,81.07,135.1,91.68,98.5,94.88,151.84,106.96
2010-04-01,81.87,132.97,92.46,98.24,92.78,152.7,106.55
2010-05-01,86.59,122.73,84.71,94.84,86.28,144.5,109.81
2010-06-01,86.02,122.36,84.01,93.95,92.81,149.47,113.11
2010-07-01,81.54,130.51,90.41,97.12,96.0,155.53,115.65
2010-08-01,83.2,126.86,89.05,93.97,98.55,153.49,118.8
2010-09-01,78.72,136.3,96.99,97.16,101.77,157.1,119.8
2010-10-01,77.27,139.16,97.97,98.04,101.61,160.23,124.27
2010-11-01,81.19,129.84,95.81,97.45,99.63,155.6,119.59
2010-12-01,79.03,133.91,102.32,100.2,107.08,156.19,123.24
2011-01-01,77.74,136.97,99.74,99.99,105.97,160.23,121.88
2011-02-01,76.89,138.04,101.84,102.9,107.65,162.6,122.21
2011-03-01,75.86,141.67,103.3,103.06,108.86,160.3,120.24
2011-04-01,72.93,148.05,109.72,105.8,115.11,167.03,123.11
2011-05-01,74.64,143.96,106.68,103.23,117.1,164.52,122.65
2011-06-01,74.3,145.08,107.22,103.79,119.04,160.52,124.19
2011-07-01,73.9,144.03,110.01,104.77,127.23,164.34,130.17
2011-08-01,74.12,143.79,107.02,102.27,124.08,162.56,130.51
2011-09-01,78.55,133.88,97.05,95.24,110.16,155.79,129.79
2011-10-01,76.17,138.6,105.46,99.97,114.03,160.88,127.92
2011-11-01,78.38,134.41,102.63,98.17,109.44,156.93,128.92
2011-12-01,80.18,129.61,102.23,97.92,106.47,155.38,130.06
2012-01-01,79.29,130.82,106.17,99.73,108.68,157.61,131.14
2012-02-01,78.74,133.32,107.66,101.11,110.61,159.19,123.19
2012-03-01,79.0,133.42,103.59,100.21,110.86,160.15,120.69
2012-04-01,78.78,132.41,104.21,101.29,110.21,162.33,125.34
2012-05-01,83.04,123.61,97.39,96.75,102.92,154.06,127.62
2012-06-01,81.63,126.65,102.42,98.37,105.45,157.06,125.32
2012-07-01,82.64,123.02,105.14,99.69,102.42,156.78,128.03
2012-08-01,81.21,125.79,103.26,101.45,104.75,158.67,127.61
2012-09-01,79.93,128.59,103.8,101.67,106.42,161.7,128.35
2012-10-01,79.92,129.58,103.79,100.02,107.37,161.29,125.31
2012-11-01,80.15,129.88,104.25,100.57,107.76,160.13,121.26
2012-12-01,79.77,131.95,103.96,100.78,109.3,162.62,115.25
2013-01-01,79.21,135.79,104.41,100.3,109.87,158.5,109.13
2013-02-01,81.95,130.56,102.27,97.04,106.76,151.62,107.93
2013-03-01,83.22,128.18,104.11,98.37,105.31,151.95,106.21
2013-04-01,81.75,131.67,103.73,99.29,107.58,155.34,102.64
2013-05-01,83.26,129.98,95.77,96.42,104.71,152.03,99.58
2013-06-01,83.14,130.15,91.5,95.13,105.85,152.13,100.69
2013-07-01,81.45,133.02,89.91,97.32,107.99,152.07,102.18
2013-08-01,82.09,132.23,89.02,94.91,107.56,155.08,101.86
2013-09-01,80.22,135.27,93.32,96.96,110.53,161.89,101.77
2013-10-01,80.19,135.85,94.58,95.86,110.27,160.4,101.68
2013-11-01,80.68,135.89,91.08,94.22,110.31,163.68,97.57
2013-12-01,80.04,137.56,89.18,94.16,111.96,165.58,94.91
2014-01-01,81.31,134.85,87.56,89.88,110.36,164.37,98.02
2014-02-01,79.69,137.99,89.22,90.38,113.34,167.45,98.25
2014-03-01,80.1,137.72,92.69,90.49,113.1,166.65,96.89
2014-04-01,79.47,138.67,92.86,91.25,113.61,168.72,97.84
2014-05-01,80.37,136.37,93.1,92.2,111.74,167.53,98.26
2014-06-01,79.78,136.92,94.32,93.71,112.76,171.06,98.69
2014-07-01,81.46,133.89,92.96,91.71,110.03,168.88,97.27
2014-08-01,82.75,131.36,93.39,91.91,106.75,165.98,96.08
2014-09-01,85.94,126.3,87.46,89.3,104.7,162.12,91.21
2014-10-01,86.92,125.19,87.99,88.76,103.68,159.95,89.04
2014-11-01,88.36,124.44,85.06,87.6,103.63,156.45,84.33
2014-12-01,90.27,120.97,81.68,86.07,100.57,155.9,83.55
2015-01-01,94.8,112.86,77.69,78.55,108.56,150.68,85.14
2015-02-01,95.32,111.96,78.12,79.89,104.86,154.35,83.59
2015-03-01,98.36,107.37,76.07,78.87,102.86,148.23,83.28
2015-04-01,94.6,112.2,79.12,82.87,107.22,153.51,83.73
2015-05-01,96.91,109.88,76.44,80.29,106.37,152.91,80.56
2015-06-01,95.49,111.38,77.05,80.09,106.85,157.08,81.65
2015-07-01,97.34,109.83,73.09,76.39,103.47,156.22,80.7
2015-08-01,95.82,112.11,71.09,76.1,103.4,153.42,82.47
2015-09-01,96.35,111.79,70.17,75.04,102.73,151.26,83.42
2015-10-01,96.95,110.07,71.37,76.5,101.24,154.26,82.91
2015-11-01,100.17,105.7,72.24,74.86,97.2,150.59,81.25
2015-12-01,98.63,108.59,72.7,71.94,99.86,147.37,83.12
2016-01-01,99.61,108.31,70.84,71.58,97.75,142.46,82.56
2016-02-01,98.21,108.76,71.4,73.86,100.18,139.17,88.74
2016-03-01,94.59,113.81,76.58,76.93,103.99,143.64,88.83
2016-04-01,93.08,114.47,76.07,79.67,104.22,146.1,94.02
2016-05-01,95.89,111.29,72.32,76.36,100.62,144.79,90.33
2016-06-01,96.14,111.07,74.44,77.32,102.48,133.09,96.86
2016-07-01,95.53,111.73,76.01,76.68,103.13,132.26,97.97
2016-08-01,96.02,111.58,75.19,76.31,101.66,131.41,96.7
2016-09-01,95.46,112.42,76.59,76.17,102.95,129.79,98.68
2016-10-01,98.44,109.85,76.07,74.57,101.12,122.43,95.4
2016-11-01,101.5,105.94,73.84,74.43,98.35,125.09,87.38
2016-12-01,102.21,105.25,72.04,74.39,98.24,123.5,85.48
2017-01-01,99.51,107.96,75.85,76.71,101.03,125.76,88.6
2017-02-01,101.12,105.78,76.52,75.18,99.39,123.83,88.65
2017-03-01,100.35,106.59,76.29,75.06,99.71,125.54,89.77
2017-04-01,99.05,108.98,74.89,73.26,100.48,129.51,89.65
2017-05-01,96.92,112.43,74.36,74.11,103.33,128.82,90.29
2017-06-01,95.63,114.24,76.91,77.14,104.38,131.75,89.0
2017-07-01,92.86,118.45,80.02,80.11,103.46,132.12,90.72
2017-08-01,92.67,119.13,79.48,80.1,104.33,129.27,90.95
2017-09-01,93.08,118.13,78.29,80.2,103.29,133.98,88.92
2017-10-01,94.55,116.45,76.55,77.58,100.25,132.82,87.98
2017-11-01,93.05,119.06,75.66,77.53,101.64,135.31,88.85
2017-12-01,92.12,120.05,78.04,79.53,102.61,135.1,88.73
2018-01-01,89.13,124.08,80.55,81.21,107.3,141.92,91.54
2018-02-01,90.61,121.97,77.59,77.94,105.86,137.63,93.75
2018-03-01,89.97,123.05,76.8,77.61,104.55,140.31,93.94
2018-04-01,91.84,120.79,75.31,77.88,100.94,137.66,91.5
2018-05-01,93.99,116.94,75.67,77.17,101.45,132.92,91.9
2018-06-01,94.64,116.95,74.0,76.1,100.97,132.09,90.1
2018-07-01,94.49,116.93,74.27,76.85,100.99,131.2,89.42
2018-08-01,95.14,116.13,71.93,76.65,103.21,129.64,90.19
2018-09-01,95.13,115.97,72.22,77.44,101.84,130.3,87.96
2018-10-01,97.13,113.14,70.76,75.99,99.16,127.68,88.54
2018-11-01,97.27,112.81,73.12,75.24,100.17,127.53,88.06
2018-12-01,96.17,114.72,70.47,73.33,101.88,127.54,91.2
2019-01-01,95.58,114.48,72.7,76.16,100.61,131.09,91.88
2019-02-01,96.16,113.71,70.97,75.92,100.18,132.64,89.78
2019-03-01,97.28,112.26,70.96,74.96,100.52,130.44,90.17
2019-04-01,97.48,112.17,70.5,74.66,98.11,130.36,89.75
2019-05-01,97.75,111.81,69.4,73.94,99.96,126.38,92.26
2019-06-01,96.13,113.78,70.23,76.29,102.42,126.95,92.68
2019-07-01,98.52,110.76,68.45,75.82,100.59,121.53,91.95
2019-08-01,98.92,110.03,67.38,74.85,101.02,121.58,94.1
2019-09-01,99.38,108.99,67.5,75.51,100.22,122.89,92.49
2019-10-01,97.35,111.55,68.92,75.97,101.39,129.4,92.55
2019-11-01,98.27,110.17,67.64,75.28,99.99,129.33,91.35
2019-12-01,96.39,112.13,70.15,76.82,103.44,132.59,92.02
2020-01-01,97.39,110.97,66.88,75.55,103.8,132.06,92.3
2020-02-01,98.13,110.28,65.08,74.58,103.66,128.21,92.5
2020-03-01,99.05,110.24,61.48,71.09,103.91,124.29,92.96
2020-04-01,99.02,109.55,65.09,71.73,103.58,125.95,93.3
