Date,XAGUSD,XAGEUR,XAGGBP,XAGCAD,XAGCHF,XAGAUD
2010-01-01,16.89,,,,,
2010-01-04,17.55,,,,,
2010-01-05,17.8,,,,,
2010-01-06,18.2,,,,,
2010-01-07,18.24,,,,,
2010-01-08,18.47,,,,,
2010-01-11,18.59,,,,,
2010-01-12,18.26,,,,,
2010-01-13,18.62,,,,,
2010-01-14,18.68,,,,,
2010-01-15,18.41,,,,,
2010-01-18,18.63,,,,,
2010-01-19,18.76,,,,,
2010-01-20,17.88,,,,,
2010-01-21,17.38,,,,,
2010-01-22,17.08,,,,,
2010-01-25,17.13,,,,,
2010-01-26,16.73,,,,,
2010-01-27,16.55,,,,,
2010-01-28,16.2,,,,,
2010-01-29,16.19,,,,,
2010-02-01,16.7,,,,,
2010-02-02,16.7,,,,,
2010-02-03,16.38,,,,,
2010-02-04,15.29,,,,,
2010-02-05,15.16,,,,,
2010-02-08,15.03,,,,,
2010-02-09,15.45,,,,,
2010-02-10,15.24,,,,,
2010-02-11,15.67,,,,,
2010-02-12,15.54,,,,,
2010-02-15,15.54,,,,,
2010-02-16,16.15,,,,,
2010-02-17,16.04,,,,,
2010-02-18,16.2,,,,,
2010-02-19,16.3,,,,,
2010-02-22,16.23,,,,,
2010-02-23,15.86,,,,,
2010-02-24,15.94,,,,,
2010-02-25,16.09,,,,,
2010-02-26,16.48,,,,,
2010-03-01,16.45,,,,,
2010-03-02,16.92,,,,,
2010-03-03,17.18,,,,,
2010-03-04,17.12,,,,,
2010-03-05,17.34,,,,,
2010-03-08,17.23,,,,,
2010-03-09,17.23,,,,,
2010-03-10,16.99,,,,,
2010-03-11,17.16,,,,,
2010-03-12,17.09,,,,,
2010-03-15,17.08,,,,,
2010-03-16,17.44,,,,,
2010-03-17,17.51,,,,,
2010-03-18,17.39,,,,,
2010-03-19,16.98,,,,,
2010-03-22,16.96,,,,,
2010-03-23,17.01,,,,,
2010-03-24,16.57,,,,,
2010-03-25,16.6,,,,,
2010-03-26,16.9,,,,,
2010-03-29,17.36,,,,,
2010-03-30,17.3,,,,,
2010-03-31,17.5,,,,,
2010-04-01,17.92,,,,,
2010-04-02,17.9,,,,,
2010-04-05,18.07,,,,,
2010-04-06,17.92,,,,,
2010-04-07,18.15,,,,,
2010-04-08,18.08,,,,,
2010-04-09,18.39,,,,,
2010-04-12,18.23,,,,,
