Date,AUDUSD,NZDUSD,GBPUSD,USDCAD,Crude Oil WTI
2010-01-01,0.8847,0.7012,1.6003,1.0698,72.89
2010-02-01,0.8951,0.6978,1.525,1.053,79.66
2010-03-01,0.9167,0.7106,1.5185,1.0153,83.76
2010-04-01,0.9246,0.7272,1.5271,1.0175,86.15
2010-05-01,0.8466,0.6805,1.4539,1.0451,73.97
2010-06-01,0.84,0.6848,1.4949,1.0646,75.63
2010-07-01,0.9042,0.726,1.5684,1.0297,78.95
2010-08-01,0.8909,0.6995,1.5351,1.0643,71.92
2010-09-01,0.9668,0.7343,1.5713,1.0291,79.97
2010-10-01,0.9837,0.7664,1.604,1.0189,81.43
2010-11-01,0.9577,0.7427,1.5553,1.0266,84.11
2010-12-01,1.0217,0.7795,1.5601,0.997,91.38
2011-01-01,0.9967,0.7714,1.6015,1.0012,92.19
2011-02-01,1.0186,0.7522,1.6258,0.9717,96.97
2011-03-01,1.0328,0.7615,1.6033,0.9702,106.72
2011-04-01,1.0967,0.8099,1.6704,0.9446,113.93
2011-05-01,1.0671,0.8238,1.6451,0.9685,102.7
2011-06-01,1.0722,0.8293,1.6049,0.9634,95.42
2011-07-01,1.0995,0.8791,1.6421,0.9553,95.7
2011-08-01,1.0702,0.8541,1.6254,0.9779,88.81
2011-09-01,0.9664,0.7609999999999999,1.5584,1.05,79.2
2011-10-01,1.0536,0.8064,1.6091,0.9996,93.19
2011-11-01,1.0276,0.78,1.5696,1.0194,100.36
2011-12-01,1.0228,0.7788,1.5537,1.0196,98.83
2012-01-01,1.0616,0.8248,1.5758,1.0029,98.48
2012-02-01,1.0732,0.8340000000000001,1.5917,0.9896,107.07
2012-03-01,1.0346,0.8185,1.6013,0.9979,103.02
2012-04-01,1.0426,0.818,1.6233,0.9871,104.87
2012-05-01,0.9729,0.753,1.5405,1.0333,86.53
2012-06-01,1.024,0.8016,1.5709,1.0167,84.96
2012-07-01,1.0502,0.8088,1.5677,1.0031,88.06
2012-08-01,1.0322,0.8035,1.5866,0.9865,96.47
2012-09-01,1.0378,0.83,1.6166,0.9838,92.19
2012-10-01,1.0375,0.8225,1.6130000000000002,0.9993,86.24
2012-11-01,1.0428,0.8201,1.6013,0.9943,88.91
2012-12-01,1.0394,0.8286,1.6253,0.9922,91.82
2013-01-01,1.0424,0.8388,1.5857,0.997,97.49
2013-02-01,1.0214,0.8247,1.5162,1.0306,92.05
2013-03-01,1.0419,0.8375,1.5203,1.0174,97.23
2013-04-01,1.0371,0.8552,1.5533,1.0073,93.46
2013-05-01,0.9573,0.7939,1.5199,1.0378,91.97
2013-06-01,0.9137,0.7743,1.5212,1.0519,96.56
2013-07-01,0.8982,0.7984,1.5208,1.0277,105.03
2013-08-01,0.89,0.7726,1.551,1.0537,107.65
2013-09-01,0.9317,0.8289,1.6186,1.031,102.33
2013-10-01,0.9459,0.8263,1.6042,1.0431,96.38
2013-11-01,0.9112,0.813,1.6367,1.0615,92.72
2013-12-01,0.8918,0.8211,1.6558,1.0623,98.42
2014-01-01,0.8756,0.8089,1.6436,1.1129,97.49
2014-02-01,0.8929,0.8390000000000001,1.6745,1.1065,102.59
2014-03-01,0.9264,0.8676,1.6663,1.105,101.58
2014-04-01,0.9288,0.8617,1.6873,1.0961,99.74
2014-05-01,0.9312,0.8501,1.6752,1.0843,102.71
2014-06-01,0.9432,0.8758,1.7106,1.0671,105.37
2014-07-01,0.9296,0.8501,1.6886,1.0906,98.17
2014-08-01,0.9338,0.8363,1.6599,1.0878,95.96
2014-09-01,0.8746,0.7808,1.6214,1.1199,91.16
2014-10-01,0.8798,0.7789,1.5998,1.1266,80.54
2014-11-01,0.851,0.7853,1.5649,1.1415,66.15
2014-12-01,0.8170000000000001,0.78,1.5575,1.1621,53.27
2015-01-01,0.7769,0.7262,1.5069,1.2732,48.24
2015-02-01,0.7812,0.7564,1.5434,1.2508,49.76
2015-03-01,0.7607,0.747,1.4818,1.2688,47.6
2015-04-01,0.7904,0.7617,1.5351,1.2076,59.63
2015-05-01,0.7641,0.7107,1.5291,1.2448,60.3
2015-06-01,0.7709,0.6764,1.571,1.2493,59.47
2015-07-01,0.7305,0.6593,1.5624,1.3089,47.12
2015-08-01,0.7114,0.634,1.5343,1.3137,49.2
2015-09-01,0.7019,0.6395,1.5129,1.3315,45.09
2015-10-01,0.7139,0.6777,1.5429,1.3078,46.59
2015-11-01,0.7228,0.6584,1.5056,1.3362,41.65
2015-12-01,0.728,0.6829,1.4739,1.3841,37.04
2016-01-01,0.7085,0.6483,1.4247,1.3973,33.62
2016-02-01,0.7142,0.6591,1.3916,1.354,33.75
2016-03-01,0.7658,0.6909,1.4362,1.3006,38.34
