Date,PHLX British Pound,PHLX Euro,U.K. 10Y,Germany 10Y
2010-01-01,159.92,138.62,3.9,3.2
2010-02-01,152.36,136.3,4.032,3.1069999999999998
2010-03-01,151.84,135.1,3.945,3.102
2010-04-01,152.7,132.97,3.9139999999999997,2.965
2010-05-01,144.5,122.73,3.588,2.653
2010-06-01,149.47,122.36,3.358,2.552
2010-07-01,155.53,130.51,3.332,2.6719999999999997
2010-08-01,153.49,126.86,2.8339999999999996,2.112
2010-09-01,157.1,136.3,2.946,2.285
2010-10-01,160.23,139.16,3.072,2.524
2010-11-01,155.6,129.84,3.222,2.667
2010-12-01,156.19,133.91,3.395,2.949
2011-01-01,160.23,136.97,3.659,3.1630000000000003
2011-02-01,162.6,138.04,3.6889999999999996,3.1710000000000003
2011-03-01,160.3,141.67,3.6910000000000003,3.358
2011-04-01,167.03,148.05,3.484,3.236
2011-05-01,164.52,143.96,3.299,3.0210000000000004
2011-06-01,160.52,145.08,3.39,3.028
2011-07-01,164.34,144.03,2.866,2.545
2011-08-01,162.56,143.79,2.605,2.222
2011-09-01,155.79,133.88,2.42,1.8880000000000001
2011-10-01,160.88,138.6,2.4419999999999997,2.025
2011-11-01,156.93,134.41,2.3169999999999997,2.281
2011-12-01,155.38,129.61,1.9769999999999999,1.825
2012-01-01,157.61,130.82,1.969,1.7930000000000001
2012-02-01,159.19,133.32,2.148,1.811
2012-03-01,160.15,133.42,2.202,1.798
2012-04-01,162.33,132.41,2.11,1.663
2012-05-01,154.06,123.61,1.568,1.2109999999999999
2012-06-01,157.06,126.65,1.7309999999999999,1.579
2012-07-01,156.78,123.02,1.4709999999999999,1.2830000000000001
2012-08-01,158.67,125.79,1.474,1.34
2012-09-01,161.7,128.59,1.715,1.4340000000000002
2012-10-01,161.29,129.58,1.8459999999999999,1.459
2012-11-01,160.13,129.88,1.7730000000000001,1.383
2012-12-01,162.62,131.95,1.8359999999999999,1.306
2013-01-01,158.5,135.79,2.095,1.6769999999999998
2013-02-01,151.62,130.56,1.972,1.4580000000000002
2013-03-01,151.95,128.18,1.7619999999999998,1.2819999999999998
2013-04-01,155.34,131.67,1.6740000000000002,1.2109999999999999
2013-05-01,152.03,129.98,2.0069999999999997,1.511
2013-06-01,152.13,130.15,2.438,1.73
2013-07-01,152.07,133.02,2.3569999999999998,1.676
2013-08-01,155.08,132.23,2.7769999999999997,1.855
2013-09-01,161.89,135.27,2.719,1.78
2013-10-01,160.4,135.85,2.623,1.679
2013-11-01,163.68,135.89,2.77,1.69
2013-12-01,165.58,137.56,3.032,1.9409999999999998
2014-01-01,164.37,134.85,2.7110000000000003,1.659
2014-02-01,167.45,137.99,2.7230000000000003,1.6269999999999998
2014-03-01,166.65,137.72,2.739,1.57
2014-04-01,168.72,138.67,2.6689999999999996,1.47
2014-05-01,167.53,136.37,2.5669999999999997,1.357
2014-06-01,171.06,136.92,2.6710000000000003,1.251
2014-07-01,168.88,133.89,2.616,1.17
2014-08-01,165.98,131.36,2.369,0.888
2014-09-01,162.12,126.3,2.426,0.946
2014-10-01,159.95,125.19,2.25,0.841
2014-11-01,156.45,124.44,1.9269999999999998,0.7020000000000001
2014-12-01,155.9,120.97,1.756,0.54
2015-01-01,150.68,112.86,1.341,0.313
2015-02-01,154.35,111.96,1.7890000000000001,0.324
2015-03-01,148.23,107.37,1.579,0.185
2015-04-01,153.51,112.2,1.835,0.364
2015-05-01,152.91,109.88,1.804,0.486
2015-06-01,157.08,111.38,2.03,0.77
2015-07-01,156.22,109.83,1.882,0.648
2015-08-01,153.42,112.11,1.95,0.795
2015-09-01,151.26,111.79,1.765,0.59
2015-10-01,154.26,110.07,1.926,0.523
2015-11-01,150.59,105.7,1.83,0.4755
2015-12-01,147.37,108.59,1.9609999999999999,0.6346
2016-01-01,142.46,108.31,1.561,0.33399999999999996
2016-02-01,139.17,108.76,1.337,0.10800000000000001
2016-03-01,143.64,113.81,1.4180000000000001,0.156
2016-04-01,146.1,114.47,1.598,0.282
2016-05-01,144.79,111.29,1.431,0.147
2016-06-01,133.09,111.07,0.871,-0.1266
2016-07-01,132.26,111.73,0.6859999999999999,-0.12
2016-08-01,131.41,111.58,0.642,-0.065
2016-09-01,129.79,112.42,0.748,-0.12
2016-10-01,122.43,109.85,1.246,0.163
2016-11-01,125.09,105.94,1.4180000000000001,0.27399999999999997
2016-12-01,123.5,105.25,1.24,0.20800000000000002
2017-01-01,125.76,107.96,1.4180000000000001,0.43700000000000006
2017-02-01,123.83,105.78,1.151,0.20800000000000002
2017-03-01,125.54,106.59,1.14,0.331
2017-04-01,129.51,108.98,1.087,0.324
2017-05-01,128.82,112.43,1.0490000000000002,0.311
2017-06-01,131.75,114.24,1.2590000000000001,0.465
2017-07-01,132.12,118.45,1.2309999999999999,0.5329999999999999
2017-08-01,129.27,119.13,1.036,0.359
2017-09-01,133.98,118.13,1.3659999999999999,0.46399999999999997
2017-10-01,132.82,116.45,1.3330000000000002,0.364
2017-11-01,135.31,119.06,1.331,0.36700000000000005
2017-12-01,135.1,120.05,1.188,0.42700000000000005
2018-01-01,141.92,124.08,1.5119999999999998,0.6970000000000001
2018-02-01,137.63,121.97,1.5019999999999998,0.654
2018-03-01,140.31,123.05,1.35,0.493
2018-04-01,137.66,120.79,1.4180000000000001,0.562
2018-05-01,132.92,116.94,1.229,0.34
2018-06-01,132.09,116.95,1.278,0.303
2018-07-01,131.2,116.93,1.331,0.445
2018-08-01,129.64,116.13,1.429,0.331
2018-09-01,130.3,115.97,1.574,0.47200000000000003
2018-10-01,127.68,113.14,1.4369999999999998,0.386
2018-11-01,127.53,112.81,1.364,0.315
2018-12-01,127.54,114.72,1.2690000000000001,0.24600000000000002
2019-01-01,131.09,114.48,1.22,0.149
2019-02-01,132.64,113.71,1.3030000000000002,0.182
2019-03-01,130.44,112.26,0.996,-0.071
2019-04-01,130.36,112.17,1.186,0.013000000000000001
2019-05-01,126.38,111.81,0.888,-0.203
2019-06-01,126.95,113.78,0.8320000000000001,-0.32799999999999996
2019-07-01,121.53,110.76,0.609,-0.442
2019-08-01,121.58,110.03,0.479,-0.703
2019-09-01,122.89,108.99,0.486,-0.5720000000000001
2019-10-01,129.4,111.55,0.631,-0.40299999999999997
2019-11-01,129.33,110.17,0.7,-0.36
2019-12-01,132.59,112.13,0.825,-0.187
2020-01-01,132.06,110.97,0.526,-0.434
2020-02-01,128.21,110.28,0.44,-0.608
2020-03-01,124.29,110.24,0.355,-0.469
2020-04-01,125.95,109.55,0.22699999999999998,-0.589
2020-05-01,123.44,111.0,0.185,-0.44799999999999995
2020-06-01,123.93,112.35,0.172,-0.45299999999999996
2020-07-01,130.83,117.79,0.105,-0.531
2020-08-01,133.67,119.37,0.313,-0.39799999999999996
2020-09-01,129.22,117.24,0.23199999999999998,-0.521
2020-10-01,129.42,116.59,0.263,-0.625
2020-11-01,133.3,119.32,0.306,-0.5710000000000001
2020-12-01,136.72,122.39,0.196,-0.575
2021-01-01,137.05,121.38,0.32899999999999996,-0.52
2021-02-01,139.29,120.74,0.823,-0.257
2021-03-01,137.8,117.28,0.846,-0.292
2021-04-01,138.17,120.18,0.843,-0.20600000000000002
2021-05-01,142.01,121.94,0.7959999999999999,-0.183
2021-06-01,141.01,121.25,0.8385,-0.1845
