Date,Open,High,Low,Close,Currency
2010-01-01,1.0539,1.0541,1.052,1.052,CAD
2010-01-04,1.052,1.052,1.0353,1.0417,CAD
2010-01-05,1.0417,1.0427,1.0337,1.0396,CAD
2010-01-06,1.0387,1.0412,1.0312,1.0318,CAD
2010-01-07,1.032,1.0375,1.0292,1.0347,CAD
2010-01-08,1.0343,1.0385,1.0295,1.0301,CAD
2010-01-11,1.0282,1.0345,1.0252,1.0335,CAD
2010-01-12,1.0335,1.0417,1.0314,1.0396,CAD
2010-01-13,1.0391,1.0413,1.029,1.031,CAD
2010-01-14,1.0305,1.0324,1.0223,1.0234,CAD
2010-01-15,1.0231,1.0316,1.0231,1.0288,CAD
2010-01-18,1.0303,1.0316,1.0248,1.0263,CAD
2010-01-19,1.0261,1.0349,1.0248,1.0307,CAD
2010-01-20,1.0313,1.0493,1.0304,1.0463,CAD
2010-01-21,1.0465,1.0526,1.0438,1.0522,CAD
2010-01-22,1.052,1.0604,1.0463,1.0577,CAD
2010-01-25,1.0576,1.0615,1.0532,1.0584,CAD
2010-01-26,1.0576,1.0694,1.0544,1.0625,CAD
2010-01-27,1.0627,1.069,1.0608,1.064,CAD
2010-01-28,1.0652,1.0668,1.0554,1.0666,CAD
2010-01-29,1.0665,1.0701,1.0623,1.0698,CAD
2010-02-01,1.0706,1.0723,1.0611,1.0619,CAD
2010-02-02,1.0614,1.0642,1.0564,1.0581,CAD
2010-02-03,1.0579,1.0631,1.0545,1.0623,CAD
2010-02-04,1.0629,1.0753,1.0595,1.0726,CAD
2010-02-05,1.0741,1.0783,1.0646,1.0688,CAD
2010-02-08,1.0687,1.0755,1.0655,1.0754,CAD
2010-02-09,1.0753,1.0778,1.0646,1.0677,CAD
2010-02-10,1.0667,1.0709,1.0596,1.0629,CAD
2010-02-11,1.0631,1.0633,1.0478,1.0507,CAD
2010-02-12,1.0505,1.0579,1.0488,1.0511,CAD
2010-02-15,1.0515,1.0535,1.0464,1.0492,CAD
2010-02-16,1.049,1.0501,1.0408,1.0442,CAD
2010-02-17,1.044,1.0473,1.0412,1.0461,CAD
2010-02-18,1.0466,1.05,1.0398,1.0415,CAD
2010-02-19,1.0457,1.0532,1.0388,1.0399,CAD
2010-02-22,1.0381,1.0441,1.0369,1.0429,CAD
2010-02-23,1.0433,1.0581,1.0381,1.0558,CAD
2010-02-24,1.0563,1.0595,1.0512,1.0546,CAD
2010-02-25,1.0538,1.0682,1.0513,1.0604,CAD
2010-02-26,1.0602,1.0619,1.0511,1.053,CAD
2010-03-01,1.0548,1.0576,1.0411,1.0421,CAD
2010-03-02,1.0417,1.0444,1.0307,1.0362,CAD
2010-03-03,1.0356,1.0367,1.0273,1.0312,CAD
2010-03-04,1.0323,1.0342,1.0271,1.0314,CAD
2010-03-05,1.0312,1.0333,1.0261,1.0301,CAD
2010-03-08,1.0286,1.0296,1.0251,1.028,CAD
2010-03-09,1.028,1.0322,1.0236,1.0263,CAD
2010-03-10,1.0262,1.0292,1.0215,1.0257,CAD
2010-03-11,1.0253,1.0323,1.0228,1.0243,CAD
2010-03-12,1.0242,1.0252,1.0154,1.0185,CAD
2010-03-15,1.0171,1.0233,1.0163,1.0188,CAD
2010-03-16,1.0192,1.0204,1.0135,1.0137,CAD
2010-03-17,1.0135,1.0149,1.0069,1.0095,CAD
2010-03-18,1.0102,1.0152,1.009,1.0149,CAD
2010-03-19,1.0145,1.0189,1.0061,1.0173,CAD
2010-03-22,1.0162,1.0246,1.0147,1.0181,CAD
2010-03-23,1.0183,1.0231,1.0152,1.0161,CAD
2010-03-24,1.0167,1.0283,1.0156,1.0264,CAD
2010-03-25,1.025,1.0255,1.0168,1.0246,CAD
