Quarter,Foreign Series,State & Local Govt Series (SLGS),Savings Bond,Total
2010-03-31,-0.5,-2.35,-2.32,-5.17
2010-06-30,0.5,-5.64,-2.19,-7.33
2010-09-30,-0.85,-4.49,-2.03,-7.38
2010-12-31,0.15,-10.8,-2.37,-13.02
2011-03-31,-0.2,-0.28,-2.22,-2.7
2011-06-30,-0.2,-11.0,-2.45,-13.7
2011-09-30,-0.1,-15.5,-2.1,-17.7
2011-12-31,-0.7,-14.6,-2.36,-17.6
2012-03-31,0.0,0.23,-1.5,-1.3
2012-06-30,0.6,0.7,-2.1,-0.8
2012-09-30,-0.6,9.2,-2.0,6.6
2012-12-31,0.0,-3.5,-2.34,-5.8
2013-03-31,0.0,4.1,-2.7,1.4
2013-06-30,0.0,-4.8,-2.2,-7.0
2013-09-30,0.0,-2.9,-2.2,-5.2
2013-12-31,0.0,-30.8,-2.3,-33.1
2014-03-31,0.0,-8.6,-2.2,-10.8
2014-06-30,0.0,-7.0,-2.3,-9.2
2014-09-30,0.0,3.32,-2.2,1.2
2014-12-31,0.0,-6.19,-2.45,-8.6
2015-03-31,-2.7,10.8,-2.3,5.8
2015-06-30,0.0,1.44,-2.56,-1.1
2015-09-30,0.0,-18.165,-2.43,-20.595
