Date,Value
1974-03-31,8.71
1974-06-30,9.18
1974-09-30,11.21
1974-12-31,12.5
1975-03-31,10.21
1975-06-30,8.5
1975-09-30,7.25333333333333
1975-12-31,7.18666666666667
1976-03-31,7.29333333333333
1976-06-30,7.71
1976-09-30,8.86666666666666
1976-12-31,9.75333333333334
1977-03-31,13.3766666666667
1977-06-30,14.21
1977-09-30,14.7266666666667
1977-12-31,12.46
1978-03-31,11.92
1978-06-30,10.9166666666667
1978-09-30,10.15
1978-12-31,10.9166666666667
1979-03-31,12.79
1979-06-30,14.4166666666667
1979-09-30,15.1033333333333
1979-12-31,16.1966666666667
1980-03-31,15.73
1980-06-30,14.14
1980-09-30,13.4966666666667
1980-12-31,14.1
1981-03-31,14.7233333333333
1981-06-30,14.49
1981-09-30,15.65
1981-12-31,16.1666666666667
1982-03-31,17.1633333333333
1982-06-30,17.0866666666667
1982-09-30,16.7866666666667
1982-12-31,16.9933333333333
1983-03-31,14.6333333333333
1983-06-30,14.8166666666667
1983-09-30,11.38
1983-12-31,11.5133333333333
1984-03-31,13.5433333333333
1984-06-30,14.7833333333333
1984-09-30,15.55
1984-12-31,16.2133333333333
1985-03-31,21.35
1985-06-30,23.35
1985-09-30,25.7833333333333
1985-12-31,22.7366666666667
1986-03-31,22.7233333333333
1986-06-30,18.2066666666667
1986-09-30,16.3233333333333
1986-12-31,19.0466666666667
1987-03-31,24.9333333333333
1987-06-30,22.6933333333333
1987-09-30,18.55
1987-12-31,18.2633333333333
1988-03-31,16.5733333333333
1988-06-30,15.99
1988-09-30,14.6366666666667
1988-12-31,14.37
1989-03-31,13.5066666666667
1989-06-30,13.45
1989-09-30,13.2666666666667
1989-12-31,13.9333333333333
1990-03-31,13.8066666666667
1990-06-30,13.63
1990-09-30,14.2866666666667
1990-12-31,13.8466666666667
1991-03-31,12.09
1991-06-30,10.4266666666667
1991-09-30,9.33
1991-12-31,8.01666666666666
1992-03-31,7.41666666666667
1992-06-30,6.89
1992-09-30,6.19333333333333
1992-12-31,6.42
1993-03-31,7.54666666666667
1993-06-30,6.71666666666667
1993-09-30,5.54
1993-12-31,5.51666666666667
1994-03-31,4.91
1994-06-30,6.15
1994-09-30,7.21
1994-12-31,8.67
1995-03-31,9.36
1995-06-30,9.12333333333333
1995-09-30,9.03
1995-12-31,8.52
1996-03-31,8.66
1996-06-30,9.69333333333333
1996-09-30,9.96333333333333
1996-12-31,8.88666666666666
1997-03-31,7.53
1997-06-30,7.15666666666667
1997-09-30,8.06333333333333
1997-12-31,7.88666666666667
1998-03-31,8.94666666666667
1998-06-30,9.09666666666666
1998-09-30,6.77666666666667
1998-12-31,4.57666666666667
1999-03-31,4.45333333333333
1999-06-30,4.68333333333333
1999-09-30,4.81
1999-12-31,5.37333333333333
2000-03-31,5.95666666666667
2000-06-30,6.71333333333333
2000-09-30,6.74333333333333
2000-12-31,6.66666666666667
2001-03-31,6.42
2001-06-30,5.86
2001-09-30,5.73
2001-12-31,4.96
2002-03-31,5.03333333333333
2002-06-30,5.82333333333333
2002-09-30,5.91
2002-12-31,5.9
2003-03-31,5.83
2003-06-30,5.44666666666667
2003-09-30,5.12333333333333
2003-12-31,5.29333333333333
2004-03-31,5.49333333333333
2004-06-30,5.85333333333334
2004-09-30,6.44333333333333
2004-12-31,6.72666666666667
2005-03-31,6.86
2005-06-30,7.04333333333333
2005-09-30,7.05
2005-12-31,7.49333333333333
2006-03-31,7.55333333333333
2006-06-30,7.47666666666667
2006-09-30,7.51
2006-12-31,7.64333333333333
2007-03-31,7.77666666666667
2007-06-30,8.13
2007-09-30,8.65666666666666
2007-12-31,8.77
2008-03-31,8.82666666666666
2008-06-30,8.75333333333333
2008-09-30,8.20333333333333
2008-12-31,6.30333333333333
2009-03-31,3.67333333333333
2009-06-30,2.90666666666667
2009-09-30,2.77333333333333
2009-12-31,2.79
2010-03-31,2.72666666666667
2010-06-30,2.88333333333333
2010-09-30,3.22
2010-12-31,3.17333333333333
2011-03-31,3.00333333333333
2011-06-30,2.65333333333333
2011-09-30,2.83
2011-12-31,2.71333333333333
2012-03-31,2.74333333333333
2012-06-30,2.64666666666667
2012-09-30,2.65
2012-12-31,2.64666666666667
2013-03-31,2.65333333333333
2013-06-30,2.64333333333333
2013-09-30,2.64333333333333
2013-12-31,2.68666666666667
2014-03-31,2.95333333333333
2014-06-30,3.38
2014-09-30,3.69
2014-12-31,3.67333333333333
2015-03-31,3.64333333333333
2015-06-30,3.49666666666667
2015-09-30,2.97666666666667
2015-12-31,2.84666666666667
2016-03-31,2.59333333333333
2016-06-30,2.36333333333333
2016-09-30,2.28
2016-12-31,2.08333333333333
2017-03-31,1.99333333333333
2017-06-30,1.96666666666667
2017-09-30,1.95333333333333
2017-12-31,1.91666666666667
2018-03-31,1.90666666666667
2018-06-30,2.01333333333333
2018-09-30,1.91666666666667
2018-12-31,1.95
2019-03-31,1.89666666666667
2019-06-30,1.71
2019-09-30,1.31666666666667
2019-12-31,1.15333333333333
2020-03-31,1.05333333333333
2020-06-30,0.31
2020-09-30,0.296666666666667
2020-12-31,0.266666666666667
2021-03-31,0.296666666666667
