Date,Open,High,Low,Close,Volume,Currency
2010-01-01,21.68,28.01,16.86,24.62,0,USD
2010-02-01,24.33,29.22,19.32,19.5,0,USD
2010-03-01,19.93,19.94,16.17,17.59,0,USD
2010-04-01,17.01,23.2,15.23,22.05,0,USD
2010-05-01,22.41,48.2,19.61,32.07,0,USD
2010-06-01,34.87,37.38,22.87,34.54,0,USD
2010-07-01,34.41,37.58,21.86,23.5,0,USD
2010-08-01,23.07,28.92,21.36,26.05,0,USD
2010-09-01,25.13,25.13,20.85,23.7,0,USD
2010-10-01,22.9,24.34,17.9,21.2,0,USD
2010-11-01,21.65,23.84,17.76,23.54,0,USD
2010-12-01,21.19,21.43,15.4,17.75,0,USD
2011-01-01,17.94,20.08,15.37,19.53,0,USD
2011-02-01,18.59,23.22,14.86,18.35,0,USD
2011-03-01,17.63,31.28,17.07,17.74,0,USD
2011-04-01,16.68,19.07,14.27,14.75,0,USD
2011-05-01,15.07,20.03,15.07,15.45,0,USD
2011-06-01,15.95,24.65,15.88,16.52,0,USD
2011-07-01,16.06,25.94,15.12,25.25,0,USD
2011-08-01,22.63,48.0,22.46,31.62,0,USD
2011-09-01,31.91,43.87,30.43,42.96,0,USD
2011-10-01,44.25,46.88,24.44,29.96,0,USD
2011-11-01,36.03,37.53,27.03,27.8,0,USD
2011-12-01,27.63,30.91,20.34,23.4,0,USD
2012-01-01,22.95,23.73,16.8,19.44,0,USD
2012-02-01,18.68,21.98,16.1,18.43,0,USD
2012-03-01,18.02,21.24,13.66,15.5,0,USD
2012-04-01,16.35,21.06,15.02,17.15,0,USD
2012-05-01,17.27,25.46,16.01,24.06,0,USD
2012-06-01,25.87,27.73,16.77,17.08,0,USD
2012-07-01,17.62,21.0,15.45,18.93,0,USD
2012-08-01,18.8,19.25,13.3,17.47,0,USD
2012-09-01,18.65,18.96,13.51,15.73,0,USD
2012-10-01,16.03,19.65,13.67,18.6,0,USD
2012-11-01,17.77,19.4,14.77,15.87,0,USD
2012-12-01,15.81,23.23,15.41,18.02,0,USD
2013-01-01,15.24,15.93,12.29,14.28,0,USD
2013-02-01,13.37,19.28,12.08,15.51,0,USD
2013-03-01,16.1,16.82,11.05,12.7,0,USD
2013-04-01,13.46,18.2,11.99,13.52,0,USD
2013-05-01,13.88,16.35,12.26,16.3,0,USD
2013-06-01,16.4,21.91,14.96,16.86,0,USD
2013-07-01,16.9,17.32,12.07,13.45,0,USD
2013-08-01,12.89,17.81,11.83,17.01,0,USD
2013-09-01,16.47,17.49,12.52,16.6,0,USD
2013-10-01,16.31,21.34,12.34,13.75,0,USD
2013-11-01,13.46,14.14,11.99,13.7,0,USD
2013-12-01,13.91,16.75,11.69,13.72,0,USD
2014-01-01,14.32,18.99,11.81,18.41,0,USD
2014-02-01,18.57,21.48,13.44,14.0,0,USD
2014-03-01,16.47,18.22,13.46,13.88,0,USD
2014-04-01,13.43,17.85,12.6,13.41,0,USD
2014-05-01,13.64,14.49,11.32,11.4,0,USD
2014-06-01,11.69,12.89,10.34,11.57,0,USD
2014-07-01,11.28,17.11,10.28,16.95,0,USD
2014-08-01,16.67,17.57,11.24,11.98,0,USD
2014-09-01,12.32,17.08,11.52,16.31,0,USD
2014-10-01,16.44,31.06,13.72,14.03,0,USD
2014-11-01,14.41,15.93,11.91,13.33,0,USD
2014-12-01,14.16,25.2,11.53,19.2,0,USD
2015-01-01,17.76,23.43,15.52,20.97,0,USD
2015-02-01,20.89,22.81,12.86,13.34,0,USD
2015-03-01,13.9,17.19,12.54,15.29,0,USD
2015-04-01,15.32,16.66,12.12,14.55,0,USD
2015-05-01,13.98,16.36,11.82,13.84,0,USD
2015-06-01,13.92,19.8,11.93,18.23,0,USD
2015-07-01,16.63,20.05,11.71,12.12,0,USD
2015-08-01,12.85,53.29,10.88,28.43,0,USD
2015-09-01,31.91,33.82,17.87,24.5,0,USD
2015-10-01,23.14,25.23,12.8,15.07,0,USD
2015-11-01,15.41,20.67,13.67,16.13,0,USD
2015-12-01,15.61,26.81,14.45,18.21,0,USD
2016-01-01,22.48,32.09,19.25,20.2,0,USD
2016-02-01,21.32,30.9,18.38,20.55,0,USD
2016-03-01,19.84,20.17,13.06,13.95,0,USD
2016-04-01,15.23,17.09,12.5,15.7,0,USD
2016-05-01,16.33,17.65,13.04,14.19,0,USD
2016-06-01,14.45,26.72,12.72,15.63,0,USD
2016-07-01,15.59,17.04,11.4,11.87,0,USD
2016-08-01,11.89,14.93,11.02,13.42,0,USD
2016-09-01,13.07,20.51,11.65,13.29,0,USD
2016-10-01,13.75,17.95,12.21,17.06,0,USD
2016-11-01,16.54,23.01,12.16,13.33,0,USD
2016-12-01,13.4,14.72,10.93,14.04,0,USD
2017-01-01,14.07,14.07,10.3,11.99,0,USD
2017-02-01,11.79,12.96,9.97,12.92,0,USD
2017-03-01,12.31,15.11,10.6,12.37,0,USD
2017-04-01,12.59,16.28,10.22,10.82,0,USD
2017-05-01,10.92,16.3,9.56,10.41,0,USD
2017-06-01,10.42,15.16,9.37,11.18,0,USD
2017-07-01,11.07,13.05,8.84,10.26,0,USD
2017-08-01,10.19,17.28,9.52,10.59,0,USD
2017-09-01,10.33,14.06,9.36,9.51,0,USD
2017-10-01,9.59,13.2,9.11,10.18,0,USD
2017-11-01,9.79,14.51,8.56,11.28,0,USD
2017-12-01,11.19,14.58,8.9,11.04,0,USD
2018-01-01,10.95,15.42,8.92,13.54,0,USD
2018-02-01,13.05,50.3,12.5,19.85,0,USD
2018-03-01,19.96,26.22,13.31,19.97,0,USD
2018-04-01,21.07,25.72,14.57,15.93,0,USD
2018-05-01,15.78,18.78,10.91,15.43,0,USD
2018-06-01,14.92,19.61,11.22,16.09,0,USD
2018-07-01,17.7,18.08,11.44,12.83,0,USD
2018-08-01,13.09,16.86,10.17,12.86,0,USD
2018-09-01,13.13,15.63,11.1,12.12,0,USD
2018-10-01,11.99,28.84,11.34,21.23,0,USD
2018-11-01,20.96,23.81,16.09,18.07,0,USD
2018-12-01,16.04,36.2,15.94,25.42,0,USD
2019-01-01,27.54,28.53,16.54,16.57,0,USD
2019-02-01,16.63,17.89,13.44,14.78,0,USD
2019-03-01,14.57,18.33,12.37,13.71,0,USD
2019-04-01,13.9,14.39,11.03,13.12,0,USD
2019-05-01,12.86,23.38,12.74,18.71,0,USD
2019-06-01,19.41,19.75,13.19,15.08,0,USD
2019-07-01,13.85,16.55,11.69,16.12,0,USD
2019-08-01,15.41,24.81,13.73,18.98,0,USD
2019-09-01,20.96,21.15,13.31,16.24,0,USD
2019-10-01,16.02,21.46,12.19,13.22,0,USD
2019-11-01,12.99,14.17,11.42,12.62,0,USD
2019-12-01,12.69,17.99,11.71,13.78,0,USD
2020-01-01,13.46,19.99,11.75,18.84,0,USD
2020-02-01,18.64,49.48,13.38,40.11,0,USD
2020-03-01,34.86,85.47,24.93,53.54,0,USD
2020-04-01,57.38,60.59,30.54,34.15,0,USD
2020-05-01,38.17,40.32,25.92,27.51,0,USD
2020-06-01,28.94,44.44,23.54,30.43,0,USD
2020-07-01,30.96,33.67,23.55,24.46,0,USD
2020-08-01,25.75,27.09,20.28,26.41,0,USD
2020-09-01,25.86,38.28,24.84,26.37,0,USD
2020-10-01,25.78,41.16,24.03,38.02,0,USD
2020-11-01,38.57,38.78,19.51,20.57,0,USD
2020-12-01,20.21,31.46,19.97,22.75,0,USD
2021-01-01,23.04,37.51,21.09,33.09,0,USD
2021-02-01,31.45,33.96,19.69,27.95,0,USD
2021-03-01,25.2,31.9,18.68,19.4,0,USD
2021-04-01,19.4,19.9,15.38,18.61,0,USD
2021-05-01,18.59,28.93,15.9,16.76,0,USD
