Date,Open,High,Low,Close,Volume,Currency
2010-01-03,16.885,18.42,16.87,18.458,95,USD
2010-01-10,18.755,18.795,18.28,18.411,155,USD
2010-01-17,18.48,18.775,17.01,16.918,148,USD
2010-01-24,17.095,17.095,16.1,16.183,161,USD
2010-01-31,16.19,16.72,15.01,14.823,207,USD
2010-02-07,15.015,15.585,15.0,15.449,618,USD
2010-02-14,15.66,16.39,15.66,16.413,67,USD
2010-02-21,16.43,16.52,15.61,16.5,40425,USD
2010-02-28,16.5,17.475,16.32,17.362,3598,USD
2010-03-07,17.385,17.54,16.88,17.024,1748,USD
2010-03-14,17.06,17.52,16.99,17.017,746,USD
2010-03-21,16.835,16.95,16.59,16.894,350,USD
2010-03-28,16.99,17.945,16.98,17.876,151,USD
2010-04-04,17.895,18.41,17.895,18.34,175,USD
2010-04-11,18.55,18.55,18.02,17.669,41,USD
2010-04-18,17.89,18.07,17.815,18.189,5,USD
2010-04-25,18.31,18.765,18.055,18.611,24411,USD
2010-05-02,18.625,18.855,17.09,18.429,4402,USD
2010-05-09,18.45,19.8,18.245,19.202,711,USD
2010-05-16,19.16,19.31,17.5,17.631,745,USD
2010-05-23,17.92,18.6,17.565,18.411,345,USD
2010-05-30,18.505,18.63,17.415,17.29,56,USD
2010-06-06,17.47,18.3,17.31,18.222,56,USD
2010-06-13,18.575,19.18,18.55,19.175,5,USD
2010-06-20,18.91,18.91,18.5,19.105,7,USD
2010-06-27,18.73,18.775,17.62,17.698,17538,USD
2010-07-04,17.855,18.205,17.555,18.053,655,USD
2010-07-11,18.105,18.42,17.74,17.773,561,USD
2010-07-18,17.86,18.19,17.44,18.096,857,USD
2010-07-25,18.03,18.21,17.43,17.987,261,USD
2010-08-01,18.435,18.475,18.435,18.459,3,USD
2010-08-08,18.13,18.525,18.1,18.097,2,USD
2010-08-15,18.375,18.55,18.12,17.982,14,USD
2010-08-22,17.925,19.06,17.925,19.039,4,USD
2010-08-29,19.07,19.93,18.83,19.915,9579,USD
2010-09-05,19.87,20.11,19.585,19.802,2013,USD
2010-09-12,20.0,20.96,19.99,20.79,943,USD
2010-09-19,20.9,21.44,20.55,21.383,421,USD
2010-09-26,21.57,21.96,21.31,22.037,101,USD
2010-10-03,22.005,23.245,22.0,23.087,32,USD
2010-10-10,23.365,24.35,23.04,24.272,19,USD
2010-10-17,24.23,24.435,23.535,23.125,71,USD
2010-10-24,23.34,24.7,23.34,24.56,271,USD
2010-10-31,24.865,26.82,24.115,26.744,229,USD
2010-11-07,26.59,28.915,26.035,25.938,271,USD
2010-11-14,26.4,26.935,25.055,27.175,181,USD
2010-11-21,27.525,27.65,27.175,26.695,27,USD
2010-11-28,26.735,29.415,26.45,29.241,60886,USD
2010-12-05,29.495,30.69,28.01,28.576,1492,USD
2010-12-12,28.945,29.765,28.4,29.113,313,USD
2010-12-19,29.365,29.51,28.83,29.31,406,USD
2010-12-26,28.87,30.9,28.86,30.91,432,USD
2011-01-02,30.45,31.195,28.425,28.661,517,USD
2011-01-09,28.9,29.81,28.1,28.309,147,USD
2011-01-16,28.175,29.325,27.09,27.416,225,USD
2011-01-23,27.175,27.95,26.505,27.934,375,USD
2011-01-30,27.775,29.155,27.775,29.064,245,USD
2011-02-06,29.135,30.205,29.135,29.992,294,USD
2011-02-13,30.41,32.645,30.4,32.298,173,USD
2011-02-20,33.4,34.01,32.035,32.898,37706,USD
2011-02-27,33.34,35.62,33.25,35.317,8339,USD
2011-03-06,35.67,36.73,34.07,35.933,2234,USD
2011-03-13,36.265,36.325,33.6,35.06,2069,USD
2011-03-20,35.75,38.13,35.705,37.058,1266,USD
2011-03-27,37.18,37.92,36.45,37.737,591,USD
2011-04-03,38.325,40.925,38.3,40.6,206,USD
2011-04-10,40.97,42.805,39.835,42.566,82,USD
2011-04-17,42.94,46.27,42.75,46.062,166,USD
2011-04-24,47.235,49.52,44.76,48.584,44696,USD
2011-05-01,47.97,48.085,33.535,35.283,8050,USD
2011-05-08,35.54,39.38,32.595,35.011,1214,USD
2011-05-15,35.215,35.695,33.095,35.082,274,USD
2011-05-22,34.61,38.825,34.395,37.857,839,USD
2011-05-29,38.325,38.65,35.175,36.187,1115,USD
2011-06-05,36.75,37.83,36.1,36.326,344,USD
2011-06-12,36.05,36.05,34.62,35.739,100,USD
2011-06-19,35.8,36.7,34.935,34.641,73,USD
2011-06-26,33.955,35.14,33.465,33.694,38407,USD
2011-07-03,33.83,36.82,33.83,36.536,3159,USD
2011-07-10,36.66,39.355,34.85,39.063,1574,USD
2011-07-17,39.77,40.87,38.435,40.113,1496,USD
2011-07-24,40.45,41.42,39.435,40.092,576,USD
2011-07-31,39.625,42.2,37.79,38.197,253,USD
2011-08-07,39.08,40.215,37.215,39.101,424,USD
2011-08-14,39.47,42.195,39.36,42.428,318,USD
2011-08-21,43.655,44.15,40.48,40.947,159,USD
2011-08-28,40.805,43.395,40.425,43.02,23234,USD
2011-09-04,43.005,43.28,40.58,41.573,1210,USD
2011-09-11,41.225,41.35,39.475,40.781,1003,USD
2011-09-18,40.71,40.71,30.275,30.051,694,USD
2011-09-25,30.785,32.85,26.585,30.041,487,USD
2011-10-02,29.965,32.53,28.41,30.958,315,USD
2011-10-09,32.25,32.42,31.56,32.14,98,USD
2011-10-16,32.02,32.445,30.105,31.173,106,USD
2011-10-23,31.355,35.455,31.355,35.27,108,USD
2011-10-30,34.27,34.795,32.87,34.07,140,USD
2011-11-06,34.33,35.04,34.1,34.671,236,USD
2011-11-13,34.6,34.6,31.38,32.413,17,USD
2011-11-20,31.175,33.0,31.02,31.012,32,USD
2011-11-27,32.06,33.555,31.135,32.621,19879,USD
2011-12-04,32.735,33.15,31.46,32.173,1073,USD
2011-12-11,31.755,31.755,28.65,29.615,543,USD
2011-12-18,29.6,29.975,28.68,29.046,230,USD
2011-12-25,28.97,28.97,26.385,27.875,367,USD
2012-01-01,28.165,29.63,28.11,28.653,316,USD
2012-01-08,28.82,30.64,28.755,29.493,478,USD
2012-01-15,30.5,32.035,29.9,31.647,355,USD
2012-01-22,32.55,33.75,31.68,33.747,239,USD
2012-01-29,33.265,34.335,32.99,33.725,536,USD
2012-02-05,33.5,34.4,33.25,33.576,276,USD
2012-02-12,33.63,33.85,32.7,33.2,376,USD
2012-02-19,33.52,35.59,33.52,35.332,163,USD
2012-02-26,35.38,37.48,33.75,34.481,32165,USD
2012-03-04,34.785,34.785,32.455,34.175,1677,USD
2012-03-11,33.94,33.965,31.62,32.573,424,USD
2012-03-18,32.65,32.99,31.19,32.248,283,USD
2012-03-25,32.14,32.99,31.645,32.469,208,USD
2012-04-01,33.105,33.105,31.285,31.716,31,USD
2012-04-08,31.76,32.385,31.59,31.38,157,USD
2012-04-15,31.545,31.725,31.465,31.644,122,USD
2012-04-22,31.56,31.61,30.625,31.347,22090,USD
2012-04-29,31.26,31.38,29.88,30.38,3749,USD
2012-05-06,30.15,30.15,28.485,28.858,280,USD
2012-05-13,28.25,28.71,26.895,28.694,226,USD
2012-05-20,28.35,28.705,27.3,28.37,174,USD
2012-05-27,28.225,28.515,27.26,28.497,293,USD
2012-06-03,28.38,29.245,27.94,28.461,71,USD
2012-06-10,28.62,29.055,28.17,28.734,35,USD
2012-06-17,28.445,28.77,26.65,26.657,203,USD
2012-06-24,26.68,27.84,26.07,27.58,25969,USD
2012-07-01,27.44,28.37,26.885,26.889,1316,USD
2012-07-08,27.125,27.5,26.445,27.344,952,USD
2012-07-15,27.13,27.395,26.77,27.279,1368,USD
2012-07-22,26.95,27.62,26.775,27.478,318,USD
2012-07-29,27.57,28.23,26.965,27.79,199,USD
2012-08-05,27.895,28.045,27.75,28.055,20,USD
2012-08-12,27.845,28.14,27.685,27.995,94,USD
2012-08-19,28.385,30.75,28.385,30.606,105,USD
2012-08-26,30.9,31.7,30.195,31.37,15462,USD
2012-09-02,31.66,33.685,31.52,33.633,1329,USD
2012-09-09,33.655,34.75,32.51,34.603,688,USD
2012-09-16,34.665,35.09,34.0,34.567,1081,USD
2012-09-23,33.905,34.75,33.675,34.517,618,USD
2012-09-30,34.375,34.98,34.375,34.516,161,USD
2012-10-07,33.88,34.05,33.625,33.633,317,USD
2012-10-14,32.57,33.2,32.04,32.073,69,USD
2012-10-21,32.15,32.305,31.65,32.011,62,USD
2012-10-28,31.77,32.47,30.9,30.835,57,USD
2012-11-04,30.785,32.665,30.785,32.59,101,USD
2012-11-11,32.215,32.865,32.195,32.361,17,USD
2012-11-18,33.335,33.385,32.99,34.111,5,USD
2012-11-25,34.005,34.395,33.14,33.204,17650,USD
2012-12-02,33.5,33.85,32.53,33.053,1691,USD
2012-12-09,33.14,33.7,32.255,32.223,2295,USD
2012-12-16,32.29,32.46,29.62,30.142,1518,USD
2012-12-23,30.085,30.205,29.925,29.92,304,USD
2012-12-30,30.09,31.335,29.21,29.896,169,USD
2013-01-06,30.395,30.825,29.91,30.367,325,USD
2013-01-13,30.62,32.06,30.62,31.902,138,USD
2013-01-20,31.835,32.315,31.65,31.18,18,USD
2013-01-27,31.0,32.26,30.9,31.942,73,USD
2013-02-03,31.705,32.02,31.345,31.425,88,USD
2013-02-10,31.16,31.175,29.77,29.839,270,USD
2013-02-17,30.04,30.045,28.315,28.456,70,USD
2013-02-24,28.975,29.39,27.955,28.451,27652,USD
2013-03-03,28.635,29.19,28.35,28.909,985,USD
2013-03-10,28.86,29.29,28.57,28.817,343,USD
2013-03-17,28.815,29.19,28.425,28.666,645,USD
2013-03-24,28.46,28.785,28.12,28.292,295,USD
