Date,Open,High,Low,Close,Volume,Currency
2010-01-01,79.63,83.95,72.43,72.89,5382176,USD
2010-02-01,72.84,80.51,69.5,79.66,6565245,USD
2010-03-01,79.84,83.85,78.06,83.76,6518016,USD
2010-04-01,83.36,87.09,80.53,86.15,7250597,USD
2010-05-01,86.2,87.15,64.24,73.97,7889090,USD
2010-06-01,73.97,79.38,69.51,75.63,7257468,USD
2010-07-01,75.37,79.69,71.09,78.95,6207460,USD
2010-08-01,78.95,82.97,70.76,71.92,6805724,USD
2010-09-01,71.7,80.18,71.67,79.97,6815300,USD
2010-10-01,79.84,84.43,79.25,81.43,6452285,USD
2010-11-01,81.45,88.63,80.06,84.11,6756924,USD
2010-12-01,83.66,92.06,83.63,91.38,5433708,USD
2011-01-01,91.31,92.84,85.11,92.19,6926521,USD
2011-02-01,92.2,103.41,83.85,96.97,6102587,USD
2011-03-01,96.97,106.95,96.22,106.72,6871362,USD
2011-04-01,106.62,114.18,105.31,113.93,5618373,USD
2011-05-01,113.89,114.83,94.63,102.7,7595837,USD
2011-06-01,102.68,103.31,89.61,95.42,7330360,USD
2011-07-01,95.12,100.62,93.45,95.7,5452386,USD
2011-08-01,96.2,98.6,75.71,88.81,8279367,USD
2011-09-01,88.73,90.52,77.11,79.2,6453126,USD
2011-10-01,78.92,94.65,74.95,93.19,6565706,USD
2011-11-01,92.58,103.37,89.17,100.36,6243532,USD
2011-12-01,100.51,102.44,92.52,98.83,4698800,USD
2012-01-01,99.7,103.74,97.4,98.48,5408833,USD
2012-02-01,98.38,109.95,95.44,107.07,5538657,USD
2012-03-01,106.82,110.55,102.13,103.02,5736277,USD
2012-04-01,103.27,105.49,100.68,104.87,4480321,USD
2012-05-01,104.89,106.43,85.86,86.53,5810128,USD
2012-06-01,86.44,87.03,77.28,84.96,5945512,USD
2012-07-01,84.65,92.94,82.1,88.06,5269103,USD
2012-08-01,88.03,98.29,86.92,96.47,5080600,USD
2012-09-01,96.38,100.42,88.95,92.19,4335249,USD
2012-10-01,92.15,93.66,84.66,86.24,5239616,USD
2012-11-01,86.1,89.8,84.05,88.91,5166251,USD
2012-12-01,88.85,91.99,85.21,91.82,3593351,USD
2013-01-01,91.78,98.24,91.52,97.49,4375081,USD
2013-02-01,97.42,98.15,91.57,92.05,4119266,USD
2013-03-01,91.76,97.35,89.33,97.23,4027589,USD
2013-04-01,97.36,97.8,85.61,93.46,5429036,USD
2013-05-01,93.08,97.17,90.11,91.97,5867253,USD
2013-06-01,91.73,99.01,91.26,96.56,4916860,USD
2013-07-01,96.58,109.32,96.07,105.03,5382056,USD
2013-08-01,105.26,112.24,102.22,107.65,5303338,USD
2013-09-01,107.07,110.7,101.05,102.33,4583075,USD
2013-10-01,102.31,104.38,95.95,96.38,5141894,USD
2013-11-01,96.32,96.65,91.77,92.72,4511012,USD
2013-12-01,92.71,100.75,92.56,98.42,3659774,USD
2014-01-01,98.5,98.97,91.24,97.49,4490645,USD
2014-02-01,97.4,103.8,96.26,102.59,3934627,USD
2014-03-01,103.0,105.22,97.37,101.58,4594016,USD
2014-04-01,101.53,104.99,98.86,99.74,4714462,USD
2014-05-01,99.72,104.5,98.74,102.71,4379246,USD
2014-06-01,102.92,107.73,101.6,105.37,4121475,USD
2014-07-01,105.44,106.09,97.6,98.17,5137189,USD
2014-08-01,97.7,98.67,92.5,95.96,4588921,USD
2014-09-01,95.81,95.91,90.43,91.16,5557590,USD
2014-10-01,91.36,92.96,79.44,80.54,7174305,USD
2014-11-01,80.59,80.98,65.69,66.15,5847457,USD
2014-12-01,66.0,69.54,52.44,53.27,6562649,USD
2015-01-01,53.76,55.11,43.58,48.24,7310209,USD
2015-02-01,47.59,54.24,46.67,49.76,8462976,USD
2015-03-01,49.45,52.48,42.03,47.6,7689546,USD
2015-04-01,47.55,59.85,47.05,59.63,7634513,USD
2015-05-01,59.79,62.58,56.51,60.3,6344954,USD
2015-06-01,60.29,61.82,56.83,59.47,6539339,USD
2015-07-01,58.98,58.98,46.68,47.12,7172691,USD
2015-08-01,46.86,49.33,37.75,49.2,8238564,USD
2015-09-01,48.1,48.87,43.21,45.09,7968083,USD
2015-10-01,45.38,50.92,42.58,46.59,8305810,USD
2015-11-01,46.43,48.36,38.99,41.65,7878875,USD
2015-12-01,41.73,42.23,33.98,37.04,8700648,USD
2016-01-01,37.6,38.39,26.19,33.62,10390700,USD
2016-02-01,33.83,34.69,26.05,33.75,11465263,USD
2016-03-01,33.9,41.9,33.37,38.34,10882563,USD
2016-04-01,38.14,46.78,35.24,45.92,11617769,USD
2016-05-01,45.9,50.21,43.03,49.1,11199153,USD
2016-06-01,48.82,51.67,45.83,48.33,10418660,USD
2016-07-01,48.38,49.35,40.57,41.6,9343707,USD
2016-08-01,41.35,48.75,39.19,44.7,11585269,USD
2016-09-01,44.85,48.32,42.55,48.24,12372886,USD
2016-10-01,48.04,51.93,46.63,46.86,10823292,USD
2016-11-01,46.77,49.9,42.2,49.44,13497589,USD
2016-12-01,49.07,54.51,48.98,53.72,10640054,USD
2017-01-01,54.2,55.24,50.71,52.81,10114917,USD
2017-02-01,52.76,54.94,51.22,54.01,9093946,USD
2017-03-01,53.95,54.44,47.01,50.6,12599859,USD
2017-04-01,50.69,53.76,48.2,49.33,9716527,USD
2017-05-01,49.17,52.0,43.76,48.32,14249820,USD
2017-06-01,48.63,49.17,42.05,46.04,15230802,USD
2017-07-01,46.28,50.41,43.65,50.17,14568829,USD
2017-08-01,50.21,50.43,45.58,47.23,17166576,USD
2017-09-01,47.08,52.86,46.56,51.67,12237164,USD
2017-10-01,51.64,54.85,49.1,54.38,11946724,USD
2017-11-01,54.65,59.05,53.89,57.4,12531845,USD
2017-12-01,57.42,60.51,55.82,60.42,9489097,USD
2018-01-01,60.2,66.66,60.1,64.73,12772633,USD
2018-02-01,64.76,66.3,58.07,61.64,11985177,USD
2018-03-01,61.55,66.55,59.95,64.94,12378191,USD
2018-04-01,64.91,69.56,61.81,68.57,12705612,USD
2018-05-01,68.56,72.83,65.8,67.04,15037802,USD
2018-06-01,67.07,74.46,63.59,74.15,12857592,USD
2018-07-01,73.62,75.27,67.03,68.76,10914480,USD
2018-08-01,68.43,70.5,64.43,69.8,10416153,USD
2018-09-01,69.89,73.73,66.86,73.25,10094682,USD
2018-10-01,73.29,76.9,64.81,65.31,13035102,USD
2018-11-01,64.88,65.39,49.41,50.93,15118402,USD
2018-12-01,52.45,54.55,42.36,45.41,12163663,USD
2019-01-01,45.8,55.37,44.35,53.79,14017838,USD
2019-02-01,54.01,57.81,51.23,57.22,10550973,USD
2019-03-01,57.22,60.73,54.52,60.14,11960121,USD
2019-04-01,60.24,66.6,60.13,63.91,13334765,USD
2019-05-01,63.4,63.93,53.05,53.5,16249845,USD
2019-06-01,53.42,59.93,50.6,58.47,12463663,USD
2019-07-01,59.27,60.94,54.72,58.58,11800413,USD
2019-08-01,57.85,57.99,50.52,55.1,14039077,USD
2019-09-01,55.0,63.38,52.84,54.07,13078971,USD
2019-10-01,54.28,56.92,50.99,54.18,11553248,USD
2019-11-01,54.15,58.74,54.07,55.17,9469834,USD
2019-12-01,55.47,62.34,55.35,61.06,9265867,USD
2020-01-01,61.6,65.65,50.97,51.56,12543109,USD
2020-02-01,51.01,54.5,43.85,44.76,13334216,USD
2020-03-01,43.7,48.66,19.27,20.48,16677635,USD
2020-04-01,20.1,29.13,-40.32,18.84,14555098,USD
2020-05-01,19.04,35.77,18.05,35.49,5909374,USD
2020-06-01,35.21,41.63,34.27,39.27,7638191,USD
2020-07-01,39.84,42.4,38.54,40.27,6788429,USD
2020-08-01,40.39,43.78,39.58,42.61,6371190,USD
2020-09-01,42.83,43.43,36.13,40.22,6748369,USD
2020-10-01,39.9,41.7,34.92,35.79,7349711,USD
2020-11-01,35.24,46.26,33.64,45.34,7028875,USD
2020-12-01,45.08,49.28,43.92,48.52,6208085,USD
2021-01-01,48.4,53.93,47.18,52.2,7212459,USD
2021-02-01,51.99,63.81,51.64,61.5,7596885,USD
2021-03-01,61.95,67.98,57.25,59.16,9791844,USD
2021-04-01,59.58,65.46,57.63,63.48,384489,USD
2021-05-01,63.47,67.52,61.56,66.32,337542,USD
