Date,Open,High,Low,Close,Volume,Currency
2010-01-03,1097.1,1139.2,1097.1,1138.2,710,USD
2010-01-10,1143.0,1161.2,1121.0,1130.1,417,USD
2010-01-17,1131.1,1138.4,1083.0,1089.2,207,USD
2010-01-24,1100.4,1100.4,1073.2,1083.0,112638,USD
2010-01-31,1081.0,1124.9,1045.2,1052.2,10013,USD
2010-02-07,1067.5,1097.1,1061.6,1089.5,3264,USD
2010-02-14,1094.8,1127.0,1092.4,1121.3,3137,USD
2010-02-21,1123.4,1127.4,1088.7,1118.3,1222,USD
2010-02-28,1119.3,1145.0,1113.6,1134.8,756,USD
2010-03-07,1134.6,1136.3,1099.9,1101.5,246,USD
2010-03-14,1104.2,1131.4,1101.4,1107.4,256,USD
2010-03-21,1102.1,1104.7,1085.5,1104.2,109,USD
2010-03-28,1110.7,1127.7,1101.1,1125.1,63072,USD
2010-04-04,1122.3,1164.8,1119.9,1161.1,5158,USD
2010-04-11,1168.5,1169.0,1130.4,1136.3,1585,USD
2010-04-18,1133.9,1154.6,1124.0,1153.1,546,USD
2010-04-25,1160.1,1181.3,1148.6,1180.1,747,USD
2010-05-02,1178.6,1210.8,1159.2,1210.0,473,USD
2010-05-09,1202.0,1246.5,1189.2,1227.4,668,USD
2010-05-16,1233.3,1235.9,1177.0,1175.7,671,USD
2010-05-23,1184.0,1218.5,1184.0,1212.2,122353,USD
2010-05-30,1217.0,1228.2,1196.9,1216.2,9968,USD
2010-06-06,1220.4,1252.1,1211.0,1228.9,3037,USD
2010-06-13,1230.2,1261.5,1217.7,1257.2,1954,USD
2010-06-20,1257.4,1264.8,1226.9,1255.8,903,USD
2010-06-27,1254.5,1262.0,1200.8,1207.4,755,USD
2010-07-04,1207.3,1213.0,1185.3,1209.6,185,USD
2010-07-11,1206.2,1217.4,1186.7,1188.0,230,USD
2010-07-18,1182.2,1198.6,1180.0,1187.7,147,USD
2010-07-25,1192.6,1192.6,1158.7,1181.7,59917,USD
2010-08-01,1181.8,1211.0,1174.7,1203.4,4731,USD
2010-08-08,1205.8,1216.0,1191.0,1214.9,2149,USD
2010-08-15,1218.0,1237.6,1218.0,1227.2,787,USD
2010-08-22,1228.9,1243.3,1211.5,1236.0,790,USD
2010-08-29,1237.1,1254.3,1233.0,1249.2,396,USD
2010-09-05,1256.1,1260.2,1239.0,1244.5,63,USD
2010-09-12,1242.6,1279.6,1242.6,1275.6,230,USD
2010-09-19,1281.7,1297.4,1271.8,1296.0,182,USD
2010-09-26,1297.8,1320.0,1287.5,1316.1,7625,USD
2010-10-03,1318.3,1363.2,1312.0,1344.2,848,USD
2010-10-10,1346.7,1383.9,1343.6,1371.1,718,USD
2010-10-17,1358.0,1372.6,1317.5,1324.4,710,USD
2010-10-24,1333.6,1358.7,1321.1,1357.1,743,USD
2010-10-31,1360.3,1398.0,1327.5,1397.3,410,USD
2010-11-07,1390.5,1423.2,1360.1,1365.4,433,USD
2010-11-14,1363.7,1372.6,1329.5,1352.2,187,USD
2010-11-21,1369.4,1377.8,1364.5,1362.3,19,USD
2010-11-28,1364.0,1415.1,1352.6,1405.4,114506,USD
2010-12-05,1414.0,1431.1,1372.0,1384.3,4802,USD
2010-12-12,1384.5,1407.6,1362.5,1378.6,1169,USD
2010-12-19,1379.5,1390.0,1373.7,1380.0,397,USD
2010-12-26,1373.5,1420.7,1373.5,1421.1,1121,USD
2011-01-02,1415.6,1423.9,1355.5,1368.5,708,USD
2011-01-09,1369.0,1392.5,1356.7,1360.4,716,USD
2011-01-16,1365.1,1376.2,1338.6,1341.0,176,USD
2011-01-23,1352.3,1352.3,1307.7,1340.7,73441,USD
2011-01-30,1339.0,1360.0,1323.3,1348.3,20656,USD
