Date,Open,High,Low,Close,Volume,Currency
2010-01-01,640.0,668.5,576.5,586.5,944430,USD
2010-02-01,581.0,643.75,551.5,628.75,884423,USD
2010-03-01,630.25,692.75,622.0,683.75,1099745,USD
2010-04-01,689.5,736.5,683.0,731.75,949711,USD
2010-05-01,736.0,747.5,585.75,637.75,1026595,USD
2010-06-01,640.0,692.75,611.25,644.75,1026038,USD
2010-07-01,639.5,661.75,607.0,648.25,1064092,USD
2010-08-01,658.0,695.5,614.5,641.25,933980,USD
2010-09-01,631.0,716.25,630.75,706.75,1171395,USD
2010-10-01,716.0,735.75,691.75,700.75,1059799,USD
2010-11-01,700.75,761.0,694.5,729.25,1136037,USD
2010-12-01,720.25,788.0,718.5,762.5,856094,USD
2011-01-01,781.5,849.5,757.25,835.5,1048388,USD
2011-02-01,840.5,975.0,828.0,932.25,1211697,USD
2011-03-01,926.0,999.5,924.75,993.0,1451781,USD
2011-04-01,996.0,1064.5,990.0,1033.5,971787,USD
2011-05-01,1039.0,1041.25,874.5,962.0,1068329,USD
2011-06-01,961.75,994.5,857.0,926.5,1307733,USD
2011-07-01,926.0,986.25,905.25,971.0,1036175,USD
2011-08-01,972.75,1000.0,851.75,973.5,1263280,USD
2011-09-01,971.25,973.75,873.0,883.5,1239090,USD
2011-10-01,873.0,977.0,849.25,950.5,1268508,USD
2011-11-01,954.5,1002.25,931.5,965.25,1271501,USD
2011-12-01,961.0,979.25,881.0,924.0,883648,USD
2012-01-01,931.25,977.0,931.0,949.25,989068,USD
2012-02-01,952.0,1039.75,944.25,1002.75,1081798,USD
2012-03-01,1009.75,1045.25,999.75,1014.25,1096784,USD
2012-04-01,1016.0,1037.25,983.75,1007.25,954392,USD
2012-05-01,1009.75,1015.5,867.25,870.75,1206023,USD
2012-06-01,871.0,876.5,805.75,848.5,1032936,USD
2012-07-01,865.5,931.0,846.5,906.25,1005263,USD
2012-08-01,898.5,1003.0,898.5,995.0,992715,USD
2012-09-01,996.5,1019.25,949.0,980.75,1078821,USD
2012-10-01,980.75,1030.0,951.5,958.0,1264406,USD
2012-11-01,952.0,959.0,914.0,950.25,885496,USD
2012-12-01,948.75,959.75,897.0,927.0,629095,USD
2013-01-01,938.5,996.75,920.25,993.0,1130361,USD
2013-02-01,995.0,1031.75,925.75,938.25,944191,USD
2013-03-01,925.75,936.0,892.75,915.5,851425,USD
2013-04-01,919.0,935.0,815.5,845.75,955204,USD
2013-05-01,845.75,885.5,820.25,844.75,1136450,USD
2013-06-01,838.25,902.75,834.25,883.25,1013700,USD
2013-07-01,879.0,931.5,875.5,910.5,842847,USD
2013-08-01,918.75,985.75,891.5,969.5,793718,USD
2013-09-01,957.0,971.75,900.0,913.0,983107,USD
2013-10-01,915.0,948.75,903.5,932.5,1224915,USD
2013-11-01,934.25,948.25,885.0,943.0,864454,USD
2013-12-01,938.25,957.25,915.0,944.25,697116,USD
2014-01-01,944.75,946.0,898.0,917.0,1034790,USD
2014-02-01,909.0,942.5,897.75,920.75,805339,USD
2014-03-01,923.75,947.0,884.0,894.0,871299,USD
2014-04-01,897.0,931.5,873.0,903.25,839426,USD
2014-05-01,906.0,918.5,891.5,892.5,1011212,USD
2014-06-01,892.5,943.75,878.5,915.0,816045,USD
2014-07-01,913.5,916.25,871.5,887.0,919974,USD
2014-08-01,885.0,891.75,852.5,864.75,858510,USD
2014-09-01,864.75,869.75,795.25,805.5,906320,USD
2014-10-01,797.0,811.5,716.75,741.75,1251151,USD
2014-11-01,743.25,755.75,633.0,656.75,916282,USD
2014-12-01,639.0,655.25,510.5,512.25,790783,USD
2015-01-01,530.75,534.0,453.75,478.25,949604,USD
2015-02-01,499.75,601.75,494.0,593.75,821981,USD
2015-03-01,599.0,599.0,504.25,526.5,880210,USD
2015-04-01,524.75,603.5,511.0,599.25,783338,USD
2015-05-01,602.75,628.75,565.25,593.0,871627,USD
2015-06-01,595.0,601.75,559.25,573.75,1030131,USD
2015-07-01,575.5,578.25,480.0,488.75,1069755,USD
2015-08-01,481.75,513.75,420.5,485.75,1015530,USD
2015-09-01,502.25,505.75,455.0,464.0,1138966,USD
2015-10-01,467.75,494.75,427.75,455.25,1124534,USD
2015-11-01,455.0,475.75,405.5,419.5,1049604,USD
2015-12-01,407.0,411.5,323.5,326.25,1073092,USD
2016-01-01,333.75,346.0,245.25,304.0,1114321,USD
2016-02-01,309.75,330.75,272.25,324.5,1033145,USD
2016-03-01,320.0,381.0,319.0,355.0,1029587,USD
2016-04-01,351.0,421.5,312.0,413.0,1000100,USD
2016-05-01,411.0,454.75,379.25,453.5,1021365,USD
2016-06-01,444.0,470.5,418.75,442.5,1018127,USD
2016-07-01,437.25,444.75,364.75,371.25,1045142,USD
2016-08-01,370.25,448.75,353.5,414.5,1020594,USD
2016-09-01,411.5,450.0,398.25,446.75,1206965,USD
2016-10-01,448.0,480.0,438.0,440.25,877466,USD
2016-11-01,443.75,457.5,400.25,448.25,1221427,USD
2016-12-01,450.75,505.5,450.75,501.0,924328,USD
2017-01-01,503.75,514.5,468.75,493.75,1063425,USD
2017-02-01,487.75,507.25,482.5,489.25,971592,USD
2017-03-01,493.75,501.25,444.0,469.5,1353054,USD
2017-04-01,473.0,502.0,450.75,454.0,946863,USD
2017-05-01,454.5,485.5,411.75,445.5,1446969,USD
2017-06-01,451.25,454.5,402.5,436.5,1278004,USD
2017-07-01,441.75,502.25,422.75,489.0,1125222,USD
2017-08-01,495.25,511.75,458.0,504.75,1171357,USD
2017-09-01,512.0,556.25,500.0,548.25,1295887,USD
2017-10-01,547.0,554.0,514.0,551.0,1263684,USD
2017-11-01,553.75,573.5,540.25,557.0,1215198,USD
2017-12-01,552.75,606.0,542.5,600.25,883923,USD
2018-01-01,603.5,630.5,596.25,611.5,1170460,USD
2018-02-01,614.75,624.25,539.25,577.0,1194638,USD
2018-03-01,570.75,624.75,556.5,619.75,1236318,USD
2018-04-01,621.25,665.0,599.75,655.5,1234191,USD
2018-05-01,658.25,705.0,639.75,685.5,1596915,USD
2018-06-01,684.0,684.0,630.75,675.75,1300278,USD
2018-07-01,671.75,683.0,625.0,654.25,1016793,USD
2018-08-01,649.0,693.75,636.25,690.25,1178966,USD
2018-09-01,689.75,727.5,673.0,724.25,1213973,USD
2018-10-01,725.0,752.25,689.75,709.25,1535997,USD
2018-11-01,699.25,713.75,543.75,550.75,1454240,USD
2018-12-01,564.0,600.0,483.25,510.75,855069,USD
2019-01-01,503.5,587.75,491.25,584.5,1062961,USD
2019-02-01,573.0,627.75,567.0,625.0,942683,USD
2019-03-01,625.5,633.25,594.75,605.25,1146229,USD
2019-04-01,605.0,651.0,604.75,638.0,1050439,USD
2019-05-01,635.25,666.75,564.0,577.5,1555808,USD
2019-06-01,564.5,603.25,535.5,595.0,962488,USD
2019-07-01,591.25,612.25,567.0,601.75,1039904,USD
2019-08-01,595.75,599.25,532.0,561.0,1125543,USD
2019-09-01,563.75,673.5,547.0,590.25,1398943,USD
2019-10-01,586.25,602.5,557.5,567.0,1487666,USD
2019-11-01,568.25,596.5,557.0,572.0,1243022,USD
2019-12-01,568.5,631.75,565.5,614.0,1017566,USD
2020-01-01,618.0,643.0,495.5,501.0,1612340,USD
2020-02-01,495.25,523.75,435.5,441.0,1412721,USD
2020-03-01,437.0,475.0,263.0,292.75,1392304,USD
2020-04-01,287.0,383.0,181.0,236.75,1335393,USD
2020-05-01,240.0,310.25,210.0,283.75,1064755,USD
2020-06-01,297.75,370.5,291.75,352.25,1106606,USD
2020-07-01,354.0,388.5,349.0,365.0,1022363,USD
2020-08-01,365.5,389.25,357.5,362.0,1063086,USD
2020-09-01,362.25,368.75,306.0,329.5,1416824,USD
2020-10-01,334.0,351.25,295.75,305.0,1269749,USD
2020-11-01,302.0,399.0,286.25,387.0,1160830,USD
2020-12-01,390.5,435.0,380.5,420.75,1129785,USD
2021-01-01,423.0,465.75,413.75,450.25,1243490,USD
2021-02-01,447.25,548.0,445.25,532.0,1324422,USD
2021-03-01,530.25,564.5,482.0,505.25,1494420,USD
2021-04-01,496.5,549.63,487.88,534.38,50820,USD
2021-05-01,537.63,570.88,529.88,565.5,58803,USD
