Date,Open,High,Low,Close,Volume,Currency
2010-01-03,415.75,426.25,413.25,423.0,590370,USD
2010-01-10,421.75,425.0,368.0,371.5,845987,USD
2010-01-17,371.5,375.25,362.25,364.75,476330,USD
2010-01-24,366.75,369.25,355.25,356.5,512565,USD
2010-01-31,356.25,368.25,347.5,351.5,759460,USD
2010-02-07,354.0,365.5,347.25,361.5,750478,USD
2010-02-14,362.25,368.75,353.25,360.0,409081,USD
2010-02-21,360.0,380.0,360.0,378.0,505045,USD
2010-02-28,378.0,381.0,364.25,364.75,122281,USD
2010-03-07,367.0,367.75,351.75,354.0,36476,USD
2010-03-14,365.0,376.5,362.0,374.5,378580,USD
2010-03-21,373.5,376.25,354.0,356.25,425439,USD
2010-03-28,356.0,360.0,343.5,344.5,442537,USD
2010-04-04,344.75,359.0,343.75,345.75,615069,USD
2010-04-11,346.5,365.0,345.25,364.0,770565,USD
2010-04-18,362.5,363.25,347.75,353.0,480936,USD
2010-04-25,353.0,370.0,345.0,366.25,353669,USD
2010-05-02,366.0,372.75,353.5,364.75,63538,USD
2010-05-09,363.75,379.0,356.0,356.75,11402,USD
2010-05-16,364.0,372.5,353.5,369.0,592519,USD
2010-05-23,368.5,373.75,358.25,359.0,563814,USD
2010-05-30,358.75,361.0,339.75,340.0,545673,USD
2010-06-06,340.75,349.75,335.0,349.5,724438,USD
2010-06-13,349.0,364.25,348.5,360.75,547769,USD
2010-06-20,363.0,367.25,339.5,340.5,584360,USD
2010-06-27,339.5,367.25,324.5,364.0,341796,USD
2010-07-04,362.25,378.5,359.25,375.25,41325,USD
2010-07-11,375.0,397.75,365.75,394.75,170973,USD
2010-07-18,386.25,391.25,369.75,371.25,311808,USD
2010-07-25,369.0,393.25,361.75,392.75,367242,USD
2010-08-01,391.5,425.25,385.0,405.0,461077,USD
2010-08-08,402.75,414.0,390.5,411.75,500954,USD
2010-08-15,409.0,423.0,405.75,421.25,331375,USD
2010-08-22,420.0,425.0,399.75,421.0,354771,USD
2010-08-29,423.25,452.0,416.25,449.75,224281,USD
2010-09-05,449.75,465.5,442.25,464.0,49658,USD
