Date,Open,High,Low,Close,Volume,Currency
2010-01-03,2.138,2.212,2.13,2.2003,251677,USD
2010-01-10,2.2145,2.2272,2.0369,2.046,252259,USD
2010-01-17,2.046,2.055,1.9319,1.9416,125909,USD
2010-01-24,1.939,1.9692,1.8903,1.9029,99213,USD
2010-01-31,1.913,2.0574,1.8272,1.8748,280239,USD
2010-02-07,1.889,1.9767,1.865,1.9189,236563,USD
2010-02-14,1.92,2.078,1.908,2.0699,162431,USD
2010-02-21,2.073,2.0913,1.9642,2.0249,103826,USD
2010-02-28,2.0391,2.1079,2.0059,2.0974,225977,USD
2010-03-07,2.1038,2.1442,2.0661,2.094,224439,USD
2010-03-14,2.096,2.144,2.0435,2.0767,182972,USD
2010-03-21,2.077,2.1046,2.0253,2.0697,114462,USD
2010-03-28,2.0784,2.2289,2.0765,2.2167,96234,USD
2010-04-04,2.2336,2.2822,2.2072,2.226,242668,USD
2010-04-11,2.23,2.262,2.1873,2.2169,244875,USD
2010-04-18,2.2113,2.2539,2.1402,2.2505,149455,USD
2010-04-25,2.255,2.295,2.1939,2.2885,85780,USD
2010-05-02,2.3199,2.3574,2.0568,2.0795,326242,USD
2010-05-09,2.0851,2.175,2.0528,2.0606,251107,USD
2010-05-16,2.0616,2.0698,1.8636,1.8967,206013,USD
2010-05-23,1.9002,2.0303,1.8368,1.9802,108784,USD
2010-05-30,2.0046,2.0579,1.9441,1.9577,185082,USD
2010-06-06,1.9473,2.0534,1.923,2.0053,234626,USD
2010-06-13,2.0085,2.151,2.006,2.1289,223348,USD
2010-06-20,2.1321,2.1725,2.0359,2.1122,148724,USD
2010-06-27,2.11,2.1148,1.9046,1.9155,162022,USD
2010-07-04,1.9241,2.0439,1.8968,2.0257,191424,USD
2010-07-11,2.03,2.0641,1.9759,2.0113,205696,USD
2010-07-18,2.0099,2.0742,1.9842,2.0505,168003,USD
2010-07-25,2.05,2.063,1.9745,2.0427,109963,USD
2010-08-01,2.0881,2.2088,2.0874,2.1472,277481,USD
2010-08-08,2.1489,2.1743,1.9875,1.9956,280813,USD
2010-08-15,2.0006,2.0419,1.9682,1.971,203639,USD
2010-08-22,1.973,2.0543,1.9256,2.0443,131096,USD
2010-08-29,2.0517,2.0719,1.9727,2.0573,232024,USD
2010-09-05,2.053,2.1104,2.0265,2.1044,227968,USD
2010-09-12,2.1045,2.1526,2.0702,2.0992,274326,USD
2010-09-19,2.1052,2.1647,2.0763,2.1306,147154,USD
2010-09-26,2.1295,2.2985,2.0949,2.2938,128154,USD
2010-10-03,2.295,2.3341,2.2246,2.2819,255322,USD
2010-10-10,2.2856,2.3226,2.2177,2.2308,236481,USD
2010-10-17,2.231,2.2815,2.1862,2.2516,159738,USD
2010-10-24,2.2642,2.2825,2.2013,2.2201,91906,USD
2010-10-31,2.2377,2.395,2.2364,2.3848,238253,USD
2010-11-07,2.401,2.4571,2.3495,2.3632,261429,USD
2010-11-14,2.3645,2.3925,2.2383,2.2744,217603,USD
2010-11-21,2.274,2.34,2.228,2.3162,97745,USD
2010-11-28,2.3213,2.4987,2.296,2.4874,222126,USD
2010-12-05,2.4943,2.5161,2.4315,2.4575,267984,USD
2010-12-12,2.4534,2.5025,2.4348,2.4737,239288,USD
2010-12-19,2.47,2.5486,2.4513,2.5408,118752,USD
2010-12-26,2.5425,2.555,2.4612,2.5437,76960,USD
2011-01-02,2.5424,2.5881,2.4678,2.4863,284932,USD
2011-01-09,2.509,2.6464,2.493,2.6452,257843,USD
2011-01-16,2.643,2.6759,2.5962,2.6508,143563,USD
2011-01-23,2.656,2.7033,2.5723,2.6902,124692,USD
2011-01-30,2.6972,2.8041,2.669,2.7167,239321,USD
2011-02-06,2.7189,2.7801,2.668,2.6958,271648,USD
2011-02-13,2.706,2.7932,2.6731,2.7129,223164,USD
2011-02-20,2.7285,3.0625,2.7276,2.9309,110938,USD
2011-02-27,2.9505,3.093,2.91,3.0893,204621,USD
2011-03-06,3.0905,3.1372,2.9829,3.029,253437,USD
2011-03-13,3.0298,3.1024,2.916,3.0243,263216,USD
2011-03-20,3.0336,3.0985,3.0147,3.0548,120998,USD
2011-03-27,3.051,3.144,3.0036,3.1345,115364,USD
2011-04-03,3.1344,3.33,3.1344,3.3197,233692,USD
2011-04-10,3.3225,3.3225,3.1515,3.2242,257952,USD
2011-04-17,3.2255,3.239,3.1197,3.1992,130114,USD
2011-04-24,3.199,3.27,3.1529,3.2558,99291,USD
2011-05-01,3.283,3.2919,2.7695,2.8457,346736,USD
2011-05-08,2.86,3.0224,2.8479,2.9422,307809,USD
2011-05-15,2.9332,2.9408,2.8071,2.9183,215429,USD
2011-05-22,2.905,3.0,2.8279,2.9905,139308,USD
2011-05-29,2.9858,3.0691,2.9715,3.0567,184706,USD
2011-06-05,3.0639,3.1486,3.0015,3.1051,264547,USD
2011-06-12,3.0979,3.1536,2.9347,2.9833,256265,USD
2011-06-19,2.9833,2.9854,2.7327,2.7503,183307,USD
