Date,Open,High,Low,Close,Volume,Currency
2010-01-01,13.49,13.49,13.49,12.71,1,EUR
2010-02-01,13.2,13.2,13.2,12.86,566,EUR
2010-03-01,13.05,13.6,12.6,12.82,0,EUR
2010-04-01,12.82,15.98,12.66,15.95,0,EUR
2010-05-01,15.96,16.67,14.34,15.15,0,EUR
2010-06-01,15.55,15.55,15.55,15.19,122,EUR
2010-07-01,15.21,15.48,13.35,14.13,0,EUR
2010-08-01,19.9,19.9,19.9,19.9,0,EUR
2010-09-01,15.03,15.76,15.03,15.41,26857,EUR
2010-10-01,15.37,15.9,14.59,14.63,184019,EUR
2010-11-01,14.59,15.37,14.15,14.76,217392,EUR
2010-12-01,14.7,15.07,13.7,14.02,119093,EUR
2011-01-01,14.35,14.35,14.35,14.76,93,EUR
2011-02-01,14.39,15.12,14.39,15.3,3726,EUR
2011-03-01,15.06,17.2,15.06,16.88,17706,EUR
2011-04-01,16.55,16.85,16.17,16.7,1181,EUR
2011-05-01,16.6,17.2,15.9,16.69,5976,EUR
2011-06-01,16.74,16.74,12.1,13.36,8223,EUR
2011-07-01,13.35,13.35,11.59,12.11,1997,EUR
2011-08-01,12.15,13.36,10.5,12.84,4797,EUR
2011-09-01,12.7,12.7,10.4,10.66,7536,EUR
2011-10-01,10.25,10.78,9.75,10.12,10732,EUR
2011-11-01,9.67,10.09,6.98,8.35,39529,EUR
2011-12-01,8.43,9.0,6.3,6.97,146942,EUR
2012-01-01,6.6,7.9,6.15,7.84,19182,EUR
2012-02-01,8.09,9.35,7.45,8.34,10160,EUR
2012-03-01,8.57,9.0,6.5,6.98,22784,EUR
2012-04-01,6.89,7.5,5.89,7.48,5785,EUR
2012-05-01,7.5,7.5,6.22,6.27,7583,EUR
2012-06-01,6.16,8.37,6.16,8.2,5521,EUR
2012-07-01,8.2,8.24,6.5,6.88,19622,EUR
2012-08-01,6.91,8.3,6.91,8.03,4135,EUR
2012-09-01,8.15,8.36,7.21,7.93,8213,EUR
2012-10-01,7.88,8.22,7.53,8.23,12983,EUR
2012-11-01,8.13,8.75,5.89,6.2,75799,EUR
2012-12-01,6.08,7.21,5.61,6.45,287243,EUR
2013-01-01,6.5,6.55,3.23,3.31,45441,EUR
2013-02-01,3.28,5.34,3.22,4.8,20940,EUR
2013-03-01,4.76,4.87,3.38,4.74,63383,EUR
2013-04-01,4.67,5.17,2.49,3.07,17504,EUR
2013-05-01,2.96,4.01,2.91,3.91,21283,EUR
2013-06-01,3.81,4.73,3.76,4.18,92045,EUR
2013-07-01,4.13,4.8,3.41,4.31,40840,EUR
2013-08-01,4.35,4.61,4.25,4.55,6847,EUR
2013-09-01,4.53,5.86,4.37,5.02,25062,EUR
2013-10-01,5.16,5.35,4.53,4.8,4837,EUR
2013-11-01,4.59,4.86,4.32,4.36,121155,EUR
2013-12-01,4.35,5.03,4.34,4.83,220653,EUR
2014-01-01,4.83,5.54,4.5,5.5,31064,EUR
2014-02-01,5.85,7.19,5.85,7.06,19939,EUR
2014-03-01,7.28,7.28,3.97,4.64,30828,EUR
2014-04-01,4.66,5.74,4.55,5.4,22616,EUR
2014-05-01,5.37,5.37,4.6,5.05,18937,EUR
2014-06-01,4.94,5.87,4.94,5.81,12759,EUR
2014-07-01,5.99,6.22,5.53,6.19,7366,EUR
2014-08-01,6.29,6.48,5.81,6.38,3704,EUR
2014-09-01,6.32,6.37,5.65,5.82,16926,EUR
2014-10-01,5.78,6.31,5.5,6.34,7850,EUR
2014-11-01,6.5,7.21,6.47,7.04,73841,EUR
2014-12-01,7.03,7.26,6.45,7.25,265767,EUR
2015-01-01,6.92,7.34,6.63,7.08,25240,EUR
