Date,Open,High,Low,Close,Volume,Currency
2010-01-01,2.075,2.1927,1.8899,1.9031,696714,USD
2010-02-01,1.913,2.1275,1.8419,2.0788,812597,USD
2010-03-01,2.1862,2.3212,2.1372,2.31,836047,USD
2010-04-01,2.2995,2.4075,2.2202,2.3963,874644,USD
2010-05-01,2.3994,2.4411,1.9008,2.0198,896496,USD
2010-06-01,2.0225,2.193,1.9609,2.0606,852760,USD
2010-07-01,2.0599,2.1574,1.948,2.1066,722665,USD
2010-08-01,2.1191,2.1993,1.8241,1.8894,929912,USD
2010-09-01,1.8575,2.0525,1.845,2.0448,836527,USD
2010-10-01,2.032,2.2011,2.0301,2.1045,912853,USD
2010-11-01,2.0595,2.2854,2.0595,2.2652,880847,USD
2010-12-01,2.1848,2.465,2.1848,2.4532,846624,USD
2011-01-01,2.4288,2.5078,2.3414,2.4906,699934,USD
2011-02-01,2.498,2.856,2.4238,2.7296,741349,USD
2011-03-01,2.8944,3.125,2.773,3.1076,780585,USD
2011-04-01,3.1096,3.48,3.0983,3.4648,858799,USD
2011-05-01,3.4132,3.4155,2.8428,3.1504,1168519,USD
2011-06-01,3.0475,3.0708,2.7348,3.0316,932233,USD
2011-07-01,2.9691,3.1816,2.9112,3.1129,756202,USD
2011-08-01,3.0644,3.145,2.5854,3.032,1011213,USD
2011-09-01,2.8687,2.9186,2.5137,2.626,860705,USD
2011-10-01,2.542,2.8667,2.4673,2.6429,856661,USD
2011-11-01,2.6,2.7585,2.444,2.5677,903817,USD
2011-12-01,2.56,2.7189,2.4732,2.6863,739171,USD
2012-01-01,2.6647,2.9677,2.6647,2.8874,766158,USD
2012-02-01,2.8973,3.1548,2.841,3.0423,845441,USD
2012-03-01,3.2641,3.4455,3.2138,3.3899,943755,USD
2012-04-01,3.3225,3.4278,3.1052,3.1844,1118907,USD
2012-05-01,3.1094,3.1234,2.805,2.825,1114738,USD
2012-06-01,2.72,2.7523,2.5376,2.7272,1013006,USD
2012-07-01,2.637,2.9456,2.57,2.9146,921628,USD
2012-08-01,2.7721,3.205,2.7625,3.1056,1002551,USD
2012-09-01,2.9665,3.4258,2.8031,3.342,940412,USD
